Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$8.56,$8.67,$8.49,$8.58,$8.58,0.255,"$116,836,443",-34.87,"$6,076,422,339",0.215
2026-03-27,$8.91,$8.97,$8.50,$8.73,$8.56,-3.89,"$179,383,431",-0.170,"$6,063,384,049",-3.99
2026-03-26,$9.38,$9.38,$8.82,$9.12,$8.92,-4.89,"$179,689,464",-8.87,"$6,315,519,277",-4.89
2026-03-25,$9.25,$9.48,$9.18,$9.32,$9.38,1.38,"$197,186,324",-7.19,"$6,640,001,112",1.42
2026-03-24,$9.09,$9.26,$9.02,$9.15,$9.25,1.71,"$212,452,127",-34.81,"$6,547,337,600",1.73
2026-03-23,$8.69,$9.26,$8.59,$8.91,$9.09,4.60,"$325,907,274",63.96,"$6,435,899,483",4.57
2026-03-22,$8.89,$8.94,$8.60,$8.78,$8.69,-2.20,"$198,766,675",83.01,"$6,154,628,406",-3.19
2026-03-21,$9.11,$9.16,$8.98,$9.06,$8.98,-1.48,"$108,608,964",-41.62,"$6,357,102,762",-1.49
2026-03-20,$9.04,$9.17,$8.98,$9.08,$9.11,0.764,"$186,026,360",-10.76,"$6,453,313,769",0.820
2026-03-19,$9.23,$9.31,$8.91,$9.12,$9.04,-2.03,"$208,462,806",-10.52,"$6,400,849,821",-2.04
2026-03-18,$9.80,$9.91,$9.13,$9.52,$9.23,-5.83,"$232,967,830",-4.51,"$6,534,409,749",-5.87
2026-03-17,$9.92,$9.99,$9.71,$9.85,$9.80,-1.18,"$243,959,102",-41.12,"$6,941,650,377",-1.38
2026-03-16,$9.50,$10.06,$9.43,$9.73,$9.94,4.65,"$414,353,604",104.80,"$7,038,524,886",4.89
2026-03-15,$9.16,$9.51,$9.13,$9.32,$9.48,3.44,"$202,323,276",60.32,"$6,710,141,248",3.49
2026-03-14,$9.09,$9.16,$8.93,$9.08,$9.16,0.784,"$126,196,246",-55.65,"$6,483,785,522",0.765
2026-03-13,$9.06,$9.56,$9.04,$9.19,$9.09,0.331,"$284,550,550",55.23,"$6,434,587,140",0.322
2026-03-12,$9.00,$9.09,$8.85,$9.00,$9.06,0.658,"$183,310,282",-1.89,"$6,413,910,388",0.636
2026-03-11,$8.98,$9.14,$8.88,$9.00,$9.00,0.196,"$186,839,593",-6.33,"$6,373,378,285",0.181
2026-03-10,$8.87,$9.16,$8.86,$8.97,$8.98,1.33,"$199,462,154",-7.57,"$6,361,874,626",1.44
2026-03-09,$8.52,$9.05,$8.52,$8.74,$8.86,3.91,"$215,789,257",35.72,"$6,271,783,052",3.93
2026-03-08,$8.70,$8.76,$8.47,$8.61,$8.52,-2.02,"$158,996,340",39.86,"$6,034,886,512",-1.98
2026-03-07,$8.79,$8.84,$8.66,$8.75,$8.70,-1.13,"$113,678,757",-35.20,"$6,157,051,995",-1.13
2026-03-06,$9.20,$9.29,$8.69,$8.99,$8.79,-4.45,"$175,438,017",-26.41,"$6,227,560,376",-4.44
2026-03-05,$9.35,$9.48,$9.09,$9.28,$9.20,-1.59,"$238,396,009",-16.20,"$6,516,985,579",-1.60
2026-03-04,$8.81,$9.58,$8.71,$9.11,$9.35,6.17,"$284,474,219",52.25,"$6,623,106,662",6.05
2026-03-03,$8.95,$9.00,$8.61,$8.84,$8.82,-1.43,"$186,852,861",-20.09,"$6,245,463,159",-1.45
2026-03-02,$8.67,$9.20,$8.60,$8.86,$8.95,3.20,"$233,824,654",5.67,"$6,337,150,217",3.22
2026-03-01,$8.85,$9.17,$8.55,$8.81,$8.67,-2.00,"$221,280,929",-18.24,"$6,139,259,083",-1.99
2026-02-28,$8.71,$8.89,$8.23,$8.67,$8.85,1.56,"$270,646,469",44.02,"$6,263,653,823",1.59
2026-02-27,$9.10,$9.27,$8.62,$8.92,$8.71,-4.28,"$187,927,227",-18.24,"$6,165,703,154",-4.30
2026-02-26,$9.25,$9.32,$8.88,$9.14,$9.10,-1.60,"$229,844,132",-35.06,"$6,442,863,086",-1.32
2026-02-25,$8.20,$9.53,$8.19,$8.79,$9.22,12.45,"$353,915,629",100.48,"$6,528,878,866",12.43
2026-02-24,$8.27,$8.33,$8.08,$8.22,$8.20,-0.864,"$176,534,398",-23.00,"$5,806,995,673",-0.821
2026-02-23,$8.67,$8.68,$8.19,$8.45,$8.27,-4.64,"$229,272,933",130.54,"$5,855,085,192",-4.52
2026-02-22,$8.87,$8.89,$8.62,$8.76,$8.66,-2.42,"$99,452,380",-20.06,"$6,132,304,109",-2.47
2026-02-21,$8.95,$9.00,$8.86,$8.92,$8.88,-0.738,"$124,410,091",-40.04,"$6,287,449,949",-0.603
2026-02-20,$8.57,$8.98,$8.47,$8.74,$8.93,4.22,"$207,485,256",54.06,"$6,325,600,878",4.25
2026-02-19,$8.60,$8.73,$8.39,$8.57,$8.57,-0.309,"$134,680,474",-1.19,"$6,067,915,272",-0.310
2026-02-18,$8.83,$8.96,$8.55,$8.73,$8.60,-2.62,"$136,304,360",-2.87,"$6,086,795,255",-2.60
2026-02-17,$8.93,$8.98,$8.70,$8.86,$8.83,-1.18,"$140,324,669",-1.91,"$6,249,053,912",-1.14
2026-02-16,$8.77,$8.95,$8.68,$8.83,$8.93,1.73,"$143,049,956",-31.64,"$6,321,087,493",1.70
2026-02-15,$9.09,$9.22,$8.62,$8.93,$8.78,-3.40,"$209,247,167",11.79,"$6,215,219,288",-3.44
2026-02-14,$8.77,$9.19,$8.76,$8.95,$9.09,3.66,"$187,179,053",7.32,"$6,436,774,393",3.64
2026-02-13,$8.41,$8.87,$8.31,$8.59,$8.77,4.31,"$174,406,420",2.41,"$6,210,859,034",4.47
2026-02-12,$8.31,$8.57,$8.20,$8.37,$8.40,0.976,"$170,301,454",-28.21,"$5,945,208,974",1.06
