Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$98.61,$98.61,$96.44,$97.93,$98.03,-0.590,"$117,155,969",-12.93,"$1,496,855,770",-0.572
2026-03-27,$105.10,$106.58,$97.69,$101.99,$98.60,-6.19,"$134,552,799",-15.28,"$1,505,465,113",-6.27
2026-03-26,$112.65,$112.70,$104.12,$108.66,$105.19,-6.62,"$158,825,693",-19.78,"$1,606,157,447",-6.56
2026-03-25,$112.35,$116.37,$111.30,$113.14,$112.57,0.200,"$197,981,040",26.35,"$1,718,839,983",0.285
2026-03-24,$110.05,$112.29,$108.04,$110.66,$112.25,2.00,"$156,689,566",-40.31,"$1,713,960,770",2.06
2026-03-23,$106.34,$111.71,$104.84,$108.22,$109.99,3.43,"$262,501,417",37.53,"$1,679,438,732",3.38
2026-03-22,$108.75,$110.04,$105.42,$107.65,$106.39,-2.17,"$190,862,076",109.56,"$1,624,492,492",-3.10
2026-03-21,$111.31,$112.45,$109.80,$110.84,$109.80,-1.36,"$91,078,677",-42.42,"$1,676,488,096",-1.38
2026-03-20,$111.69,$112.98,$108.91,$111.22,$111.33,-0.320,"$158,177,486",-34.74,"$1,699,882,279",-0.127
2026-03-19,$115.33,$118.80,$110.89,$114.12,$111.47,-3.35,"$242,397,308",1.90,"$1,702,036,379",-3.33
2026-03-18,$119.71,$122.02,$113.06,$117.53,$115.31,-3.67,"$237,876,205",-15.99,"$1,760,695,166",-3.67
2026-03-17,$122.25,$123.38,$119.71,$121.26,$119.71,-2.08,"$283,162,296",-37.25,"$1,827,809,953",-2.07
2026-03-16,$116.67,$124.34,$116.18,$119.85,$122.23,4.77,"$451,281,614",40.84,"$1,866,364,572",5.15
2026-03-15,$111.28,$117.67,$110.14,$113.83,$116.24,4.46,"$320,411,317",136.78,"$1,774,884,842",4.47
2026-03-14,$112.28,$113.37,$109.90,$111.70,$111.27,-0.896,"$135,319,779",-53.96,"$1,698,993,281",-0.891
2026-03-13,$111.67,$118.47,$111.46,$113.47,$112.27,0.536,"$293,902,873",76.63,"$1,714,275,460",0.497
2026-03-12,$110.16,$112.66,$107.21,$110.44,$111.72,1.41,"$166,397,630",3.25,"$1,705,804,276",1.33
2026-03-11,$111.70,$113.36,$109.03,$111.09,$110.25,-1.30,"$161,154,796",-17.94,"$1,683,424,999",-1.27
2026-03-10,$106.57,$114.41,$106.57,$109.81,$111.67,4.78,"$196,394,126",-1.78,"$1,705,088,827",4.85
2026-03-09,$105.67,$108.73,$105.11,$106.51,$106.51,0.792,"$199,954,353",23.89,"$1,626,294,104",0.816
2026-03-08,$108.85,$109.32,$104.51,$107.08,$105.65,-2.94,"$161,396,551",70.51,"$1,613,123,821",-2.91
2026-03-07,$110.98,$111.29,$108.47,$109.89,$108.81,-1.96,"$94,653,974",-44.34,"$1,661,461,374",-2.02
2026-03-06,$116.94,$118.45,$109.68,$114.03,$111.06,-5.03,"$170,062,030",-22.04,"$1,695,727,495",-5.20
2026-03-05,$115.93,$119.43,$114.27,$116.70,$117.15,1.05,"$218,146,602",-18.56,"$1,788,754,601",1.06
2026-03-04,$111.21,$118.36,$109.69,$113.79,$115.92,4.24,"$267,870,369",-13.57,"$1,769,993,251",4.09
2026-03-03,$122.29,$122.39,$108.37,$116.11,$111.37,-8.93,"$309,922,665",-24.33,"$1,700,509,730",-9.10
2026-03-02,$113.61,$126.26,$112.38,$118.69,$122.52,7.84,"$409,588,454",29.08,"$1,870,744,324",7.82
2026-03-01,$112.10,$118.25,$110.91,$113.72,$113.63,1.37,"$317,314,541",144.23,"$1,735,042,780",1.28
2026-02-28,$112.95,$113.23,$105.18,$110.89,$112.20,-0.666,"$129,923,182",-31.32,"$1,713,169,489",-0.619
2026-02-27,$114.50,$121.14,$111.09,$114.91,$112.90,-1.40,"$189,167,015",-4.09,"$1,723,833,426",-1.37
2026-02-26,$118.95,$120.28,$111.27,$116.24,$114.46,-3.77,"$197,236,744",-34.43,"$1,747,763,916",-3.34
2026-02-25,$114.52,$123.84,$114.04,$117.70,$118.42,3.40,"$300,818,746",65.39,"$1,808,167,961",3.45
2026-02-24,$114.58,$116.22,$111.93,$114.30,$114.47,-0.0983,"$181,886,042",-31.44,"$1,747,874,751",-0.0856
2026-02-23,$117.94,$119.37,$111.54,$115.85,$114.57,-2.86,"$265,309,627",139.44,"$1,749,371,626",-2.63
2026-02-22,$121.57,$121.57,$117.32,$119.53,$117.66,-3.21,"$110,802,878",-41.00,"$1,796,576,510",-3.27
2026-02-21,$115.92,$124.03,$114.74,$119.08,$121.64,4.94,"$187,808,891",-37.63,"$1,857,330,222",4.90
2026-02-20,$124.29,$126.49,$115.76,$120.63,$115.96,-6.70,"$301,124,338",69.43,"$1,770,636,011",-6.61
2026-02-19,$122.97,$124.39,$120.17,$122.92,$124.17,0.981,"$177,727,089",-22.21,"$1,896,014,514",1.0014
2026-02-18,$126.64,$128.41,$121.29,$124.82,$122.94,-2.92,"$228,466,313",12.30,"$1,877,216,853",-2.84
2026-02-17,$126.98,$129.80,$124.00,$126.83,$126.53,-0.350,"$203,437,501",-40.34,"$1,932,043,141",-0.308
2026-02-16,$125.84,$128.41,$123.64,$126.20,$126.92,0.857,"$340,983,659",19.31,"$1,938,008,861",0.825
2026-02-15,$128.18,$131.38,$122.98,$127.11,$125.89,-1.79,"$285,798,703",34.29,"$1,922,155,520",-1.91
2026-02-14,$118.76,$130.46,$118.62,$124.04,$128.34,8.06,"$212,823,447",-7.73,"$1,959,619,295",8.07
2026-02-13,$115.07,$120.08,$109.83,$115.93,$118.75,3.20,"$230,663,186",-24.17,"$1,813,241,043",3.26
2026-02-12,$107.56,$115.00,$106.07,$110.91,$115.00,6.92,"$304,192,717",10.38,"$1,756,011,458",7.11
2026-02-11,$109.38,$112.65,$104.86,$108.57,$107.37,-1.83,"$275,589,633",114.83,"$1,639,483,680",-1.84
2026-02-10,$112.56,$113.08,$108.17,$110.80,$109.39,-2.82,"$128,282,559",-47.01,"$1,670,219,542",-2.98
2026-02-09,$112.44,$114.72,$109.15,$112.26,$112.74,0.265,"$242,082,000",24.60,"$1,721,447,312",0.00758
2026-02-08,$113.85,$114.76,$111.27,$113.16,$112.73,-0.986,"$194,292,862",-18.92,"$1,721,316,825",-1.14
2026-02-07,$113.79,$115.95,$110.43,$113.55,$114.03,0.218,"$239,634,344",-55.35,"$1,741,206,442",0.135
2026-02-06,$100.95,$114.88,$94.62,$106.08,$113.88,12.81,"$536,708,035",-6.32,"$1,738,860,246",12.57
2026-02-05,$123.80,$124.95,$99.84,$112.44,$101.17,-18.28,"$572,944,080",65.57,"$1,544,709,923",-18.37
2026-02-04,$124.92,$128.45,$120.00,$124.33,$123.93,-0.797,"$346,045,937",20.02,"$1,892,254,187",-0.766
2026-02-03,$128.26,$129.73,$121.15,$126.01,$124.88,-2.63,"$288,316,134",-9.27,"$1,906,869,968",-2.72
2026-02-02,$124.31,$130.16,$120.92,$125.94,$128.37,3.27,"$317,767,468",38.18,"$1,960,143,259",3.18
