Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.0901,$0.0922,$0.0888,$0.0907,$0.0916,1.72,"$20,692,220",-6.22,"$553,452,647",1.77
2026-03-27,$0.0939,$0.0949,$0.0896,$0.0921,$0.09,-4.11,"$22,064,083",-13.44,"$543,823,565",-4.10
2026-03-26,$0.0988,$0.0989,$0.0927,$0.0961,$0.0939,-5.00,"$25,490,086",5.01,"$567,082,935",-4.94
2026-03-25,$0.0974,$0.0998,$0.0973,$0.0983,$0.0987,1.34,"$24,273,971",-17.04,"$596,528,364",1.30
2026-03-24,$0.0971,$0.0981,$0.0948,$0.0969,$0.0975,0.417,"$29,258,429",-33.59,"$588,888,541",0.544
2026-03-23,$0.0925,$0.097,$0.0917,$0.0945,$0.097,4.80,"$44,055,555",26.76,"$585,703,761",4.71
2026-03-22,$0.0972,$0.0972,$0.0916,$0.0946,$0.0926,-4.70,"$34,756,013",121.66,"$559,335,449",-5.69
2026-03-21,$0.0999,$0.101,$0.0982,$0.0992,$0.0982,-1.75,"$15,680,180",-40.05,"$593,083,458",-1.70
2026-03-20,$0.0992,$0.101,$0.0987,$0.0998,$0.0999,0.655,"$26,156,285",-4.93,"$603,349,092",0.709
2026-03-19,$0.103,$0.104,$0.098,$0.101,$0.0992,-3.74,"$27,511,929",-21.14,"$599,102,622",-3.63
2026-03-18,$0.108,$0.109,$0.101,$0.105,$0.103,-4.64,"$34,887,905",3.78,"$621,637,732",-4.65
2026-03-17,$0.110,$0.111,$0.107,$0.109,$0.108,-2.28,"$33,617,198",-36.76,"$651,979,001",-0.816
2026-03-16,$0.104,$0.111,$0.104,$0.107,$0.111,6.39,"$53,154,594",63.58,"$657,345,827",6.84
2026-03-15,$0.101,$0.104,$0.100,$0.102,$0.104,2.49,"$32,493,570",43.36,"$615,260,724",2.55
2026-03-14,$0.103,$0.103,$0.0995,$0.102,$0.101,-1.61,"$22,665,452",-51.69,"$599,976,431",-1.63
2026-03-13,$0.101,$0.107,$0.101,$0.103,$0.103,1.68,"$46,919,712",45.29,"$609,929,663",1.67
2026-03-12,$0.100,$0.101,$0.0977,$0.1000,$0.101,1.0093,"$32,294,161",-20.32,"$599,915,873",0.979
2026-03-11,$0.0983,$0.103,$0.0968,$0.0995,$0.100,1.81,"$40,531,438",10.63,"$594,101,756",1.82
