Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.230,$0.255,$0.225,$0.239,$0.246,6.98,"$80,859,735",31.99,"$642,641,637",7.24
2026-03-27,$0.242,$0.244,$0.227,$0.236,$0.230,-5.09,"$61,260,476",-24.08,"$599,231,238",-5.20
2026-03-26,$0.261,$0.261,$0.236,$0.250,$0.242,-7.05,"$80,695,805",-49.80,"$632,121,848",-6.56
2026-03-25,$0.242,$0.267,$0.241,$0.252,$0.259,6.92,"$160,746,336",19.94,"$676,515,734",7.11
2026-03-24,$0.228,$0.251,$0.224,$0.236,$0.242,6.33,"$134,021,143",81.46,"$631,616,787",6.31
2026-03-23,$0.205,$0.228,$0.203,$0.216,$0.228,10.78,"$73,856,441",34.50,"$594,125,962",10.62
2026-03-22,$0.221,$0.223,$0.204,$0.213,$0.206,-6.69,"$54,913,732",-9.86,"$537,084,737",-7.18
2026-03-21,$0.226,$0.236,$0.220,$0.226,$0.222,-1.95,"$60,919,720",-33.25,"$578,638,593",-1.96
2026-03-20,$0.212,$0.241,$0.212,$0.223,$0.226,6.46,"$91,259,587",36.14,"$590,207,112",6.64
2026-03-19,$0.224,$0.227,$0.202,$0.216,$0.212,-5.14,"$67,035,332",-18.27,"$553,442,404",-5.15
2026-03-18,$0.240,$0.242,$0.215,$0.230,$0.224,-6.99,"$82,023,072",-22.27,"$583,498,155",-6.89
2026-03-17,$0.238,$0.243,$0.228,$0.237,$0.240,0.688,"$105,527,072",-51.14,"$626,643,644",0.491
2026-03-16,$0.197,$0.254,$0.195,$0.221,$0.239,21.50,"$215,959,929",127.28,"$623,582,726",21.36
2026-03-15,$0.179,$0.202,$0.178,$0.189,$0.197,9.95,"$95,020,752",244.44,"$513,837,552",9.88
2026-03-14,$0.178,$0.184,$0.173,$0.179,$0.179,0.530,"$27,587,109",-68.45,"$467,628,701",0.548
2026-03-13,$0.177,$0.193,$0.174,$0.181,$0.178,0.429,"$87,440,617",95.21,"$465,078,174",0.477
2026-03-12,$0.160,$0.177,$0.157,$0.168,$0.177,10.72,"$44,793,398",0.201,"$462,868,986",10.98
2026-03-11,$0.154,$0.164,$0.153,$0.158,$0.160,3.62,"$44,703,577",24.35,"$417,057,576",3.95
2026-03-10,$0.144,$0.157,$0.143,$0.149,$0.154,7.06,"$35,950,048",67.01,"$401,213,924",7.21
2026-03-09,$0.141,$0.146,$0.141,$0.143,$0.143,1.57,"$21,526,023",14.95,"$374,244,581",1.43
2026-03-08,$0.143,$0.145,$0.140,$0.142,$0.141,-1.13,"$18,727,172",27.91,"$368,981,381",-1.12
2026-03-07,$0.146,$0.146,$0.142,$0.144,$0.143,-1.90,"$14,641,417",-39.78,"$373,168,997",-1.93
2026-03-06,$0.153,$0.154,$0.144,$0.149,$0.146,-4.49,"$24,313,954",3.74,"$380,505,490",-4.48
2026-03-05,$0.155,$0.157,$0.150,$0.154,$0.153,-1.74,"$23,437,844",-31.01,"$398,355,411",-1.80
2026-03-04,$0.148,$0.158,$0.147,$0.152,$0.155,4.89,"$33,973,710",5.05,"$405,660,199",4.77
2026-03-03,$0.152,$0.152,$0.145,$0.149,$0.148,-2.23,"$32,340,764",5.82,"$387,176,918",-2.25
2026-03-02,$0.151,$0.159,$0.147,$0.152,$0.152,0.758,"$30,562,363",18.40,"$396,077,838",0.817
2026-03-01,$0.157,$0.162,$0.148,$0.154,$0.151,-3.99,"$25,811,965",-18.28,"$392,869,556",-3.97
2026-02-28,$0.156,$0.158,$0.145,$0.154,$0.157,0.385,"$31,584,663",31.05,"$409,126,792",0.428
2026-02-27,$0.162,$0.166,$0.154,$0.160,$0.156,-3.53,"$24,101,903",-2.39,"$407,382,247",-3.43
2026-02-26,$0.167,$0.169,$0.158,$0.164,$0.162,-3.45,"$24,692,481",-26.09,"$421,873,136",-3.09
2026-02-25,$0.153,$0.175,$0.153,$0.162,$0.167,9.30,"$33,410,805",62.81,"$435,317,048",9.26
2026-02-24,$0.154,$0.156,$0.151,$0.153,$0.153,-0.803,"$20,521,324",-2.09,"$398,422,479",-0.698
2026-02-23,$0.160,$0.160,$0.152,$0.156,$0.154,-3.62,"$20,958,549",41.53,"$401,223,184",-3.21
2026-02-22,$0.165,$0.165,$0.158,$0.161,$0.159,-3.55,"$14,808,565",-22.12,"$414,534,988",-3.72
2026-02-21,$0.168,$0.170,$0.165,$0.167,$0.165,-1.86,"$19,015,485",-26.08,"$430,570,736",-1.69
2026-02-20,$0.163,$0.170,$0.161,$0.165,$0.168,3.20,"$25,725,282",11.17,"$437,968,086",3.24
2026-02-19,$0.164,$0.167,$0.159,$0.163,$0.163,-0.846,"$23,140,979",-8.49,"$424,227,824",-0.880
2026-02-18,$0.171,$0.174,$0.163,$0.168,$0.164,-4.06,"$25,287,542",-8.75,"$427,996,177",-4.10
2026-02-17,$0.173,$0.174,$0.169,$0.172,$0.171,-1.32,"$27,711,761",-8.63,"$446,310,721",-1.30
2026-02-16,$0.174,$0.175,$0.170,$0.173,$0.173,-0.171,"$30,329,181",-23.94,"$452,204,406",-0.173
2026-02-15,$0.181,$0.181,$0.169,$0.176,$0.174,-4.25,"$39,876,535",5.69,"$452,989,965",-4.17
2026-02-14,$0.165,$0.184,$0.165,$0.174,$0.181,9.85,"$37,730,536",89.18,"$472,695,560",9.90
2026-02-13,$0.159,$0.168,$0.156,$0.162,$0.165,3.51,"$19,944,237",0.605,"$430,099,164",3.70
2026-02-12,$0.154,$0.162,$0.154,$0.157,$0.159,3.11,"$19,824,224",-17.85,"$414,760,950",3.13
2026-02-11,$0.157,$0.159,$0.151,$0.155,$0.154,-1.60,"$24,131,308",32.94,"$402,178,129",-1.51
2026-02-10,$0.161,$0.162,$0.155,$0.159,$0.156,-2.80,"$18,152,630",-14.95,"$408,355,218",-3.12
2026-02-09,$0.163,$0.164,$0.156,$0.161,$0.162,-0.676,"$21,343,459",9.73,"$421,523,491",-0.875
2026-02-08,$0.165,$0.167,$0.161,$0.164,$0.163,-1.39,"$19,451,625",-37.40,"$425,246,401",-1.52
