Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$8.78,$8.96,$8.71,$8.83,$8.87,0.9959,"$65,046,131",-51.53,"$3,829,154,116",0.956
2026-03-27,$9.09,$9.13,$8.67,$8.92,$8.78,-3.33,"$134,198,254",-12.36,"$3,792,879,286",-3.50
2026-03-26,$9.68,$9.68,$8.99,$9.37,$9.10,-6.00,"$153,120,086",8.53,"$3,930,323,830",-5.90
2026-03-25,$9.63,$9.78,$9.57,$9.66,$9.67,0.406,"$141,084,859",-3.63,"$4,176,954,137",0.645
2026-03-24,$9.53,$9.62,$9.36,$9.53,$9.61,0.821,"$146,394,451",-41.07,"$4,150,187,991",0.887
2026-03-23,$9.02,$9.72,$8.95,$9.31,$9.53,5.62,"$248,418,782",64.66,"$4,113,698,911",5.58
2026-03-22,$9.26,$9.32,$8.91,$9.13,$9.02,-2.50,"$150,865,276",70.89,"$3,896,400,943",-3.77
2026-03-21,$9.57,$9.63,$9.38,$9.49,$9.38,-1.99,"$88,283,950",-43.71,"$4,048,996,230",-1.99
2026-03-20,$9.48,$9.63,$9.44,$9.53,$9.57,0.982,"$156,840,407",-0.676,"$4,131,302,497",1.11
2026-03-19,$9.68,$9.73,$9.35,$9.56,$9.46,-2.20,"$157,907,614",-40.56,"$4,085,811,775",-2.22
2026-03-18,$10.21,$10.34,$9.51,$9.93,$9.68,-5.18,"$265,666,302",19.97,"$4,178,529,596",-5.16
2026-03-17,$10.48,$10.50,$10.20,$10.35,$10.20,-2.65,"$221,434,836",-32.98,"$4,406,069,810",-2.73
2026-03-16,$9.95,$10.50,$9.91,$10.21,$10.49,5.42,"$330,421,317",121.41,"$4,529,800,777",5.66
2026-03-15,$9.72,$10.01,$9.67,$9.83,$9.93,2.12,"$149,236,397",40.49,"$4,287,245,567",2.13
2026-03-14,$9.72,$9.77,$9.54,$9.69,$9.72,-0.00198,"$106,227,024",-62.26,"$4,197,785,719",-0.031
2026-03-13,$9.68,$10.24,$9.67,$9.83,$9.73,0.501,"$281,443,390",83.74,"$4,199,085,387",0.498
2026-03-12,$9.55,$9.72,$9.46,$9.60,$9.68,1.31,"$153,171,000",-7.44,"$4,178,259,075",1.30
2026-03-11,$9.53,$9.82,$9.50,$9.60,$9.55,0.228,"$165,482,884",-30.24,"$4,124,602,315",0.393
2026-03-10,$9.25,$9.91,$9.25,$9.48,$9.52,2.84,"$237,212,060",7.16,"$4,108,453,060",3.01
2026-03-09,$8.82,$9.44,$8.82,$9.08,$9.24,4.73,"$221,357,299",90.72,"$3,988,545,615",4.72
2026-03-08,$8.91,$9.00,$8.75,$8.87,$8.82,-0.974,"$116,061,697",16.77,"$3,808,799,945",-0.963
2026-03-07,$9.02,$9.07,$8.89,$8.97,$8.91,-1.25,"$99,396,361",-42.93,"$3,845,850,562",-1.39
2026-03-06,$9.38,$9.45,$8.90,$9.19,$9.03,-3.67,"$174,157,832",14.30,"$3,900,228,943",-3.75
2026-03-05,$9.50,$9.56,$9.28,$9.43,$9.39,-1.16,"$152,365,681",-47.79,"$4,052,200,299",-1.19
2026-03-04,$9.18,$9.71,$9.02,$9.35,$9.50,3.48,"$291,857,290",54.25,"$4,101,136,135",3.40
2026-03-03,$9.17,$9.30,$8.95,$9.15,$9.19,0.141,"$189,208,995",-18.82,"$3,966,462,367",0.121
2026-03-02,$9.03,$9.42,$8.88,$9.13,$9.18,1.59,"$233,074,822",-0.037,"$3,961,680,442",1.56
2026-03-01,$9.17,$9.38,$8.87,$9.11,$9.03,-1.44,"$233,160,976",-19.67,"$3,900,911,950",-1.43
2026-02-28,$8.96,$9.23,$8.46,$8.95,$9.17,2.34,"$290,251,563",35.84,"$3,957,396,200",2.27
2026-02-27,$9.30,$9.46,$8.85,$9.14,$8.96,-3.67,"$213,670,320",-21.84,"$3,869,590,968",-3.65
2026-02-26,$9.50,$9.61,$9.11,$9.38,$9.30,-2.04,"$273,372,784",-39.28,"$4,016,271,558",-1.80
2026-02-25,$8.29,$9.79,$8.27,$8.96,$9.47,14.21,"$450,244,191",225.75,"$4,089,952,343",14.16
2026-02-24,$8.36,$8.43,$8.21,$8.33,$8.30,-0.771,"$138,217,915",-32.36,"$3,582,702,096",-0.696
2026-02-23,$8.87,$8.89,$8.29,$8.60,$8.36,-5.84,"$204,330,047",81.79,"$3,607,823,240",-5.71
2026-02-22,$9.12,$9.12,$8.80,$8.97,$8.86,-2.78,"$112,401,993",2.33,"$3,826,448,835",-2.85
2026-02-21,$9.16,$9.42,$9.11,$9.20,$9.12,-0.435,"$109,846,086",-41.45,"$3,938,544,102",-0.309
2026-02-20,$8.90,$9.33,$8.89,$9.07,$9.15,2.85,"$187,623,089",37.24,"$3,950,750,748",2.82
2026-02-19,$8.85,$8.92,$8.69,$8.84,$8.90,0.531,"$136,712,189",5.59,"$3,842,476,560",0.528
2026-02-18,$9.14,$9.18,$8.82,$9.00,$8.85,-3.14,"$129,472,865",14.25,"$3,822,313,501",-3.17
2026-02-17,$9.26,$9.29,$9.03,$9.18,$9.14,-1.31,"$113,323,166",-14.23,"$3,947,327,856",-1.28
2026-02-16,$9.28,$9.37,$9.08,$9.25,$9.26,-0.237,"$132,130,165",-19.60,"$3,998,376,582",-0.262
2026-02-15,$9.59,$9.71,$9.16,$9.44,$9.28,-3.22,"$164,340,621",10.36,"$4,008,878,353",-3.14
2026-02-14,$9.15,$9.69,$9.14,$9.39,$9.59,4.76,"$148,907,165",6.89,"$4,138,734,358",4.76
2026-02-13,$8.90,$9.23,$8.75,$9.01,$9.15,2.85,"$139,307,833",-7.21,"$3,950,628,284",3.02
2026-02-12,$8.63,$8.95,$8.63,$8.77,$8.88,2.87,"$150,135,659",-16.36,"$3,834,756,213",2.94
2026-02-11,$8.74,$8.90,$8.47,$8.68,$8.63,-1.34,"$179,507,230",38.72,"$3,725,243,581",-1.32
2026-02-10,$9.05,$9.09,$8.67,$8.89,$8.74,-3.35,"$129,402,793",-11.44,"$3,774,943,805",-3.43
2026-02-09,$9.09,$9.18,$8.73,$9.01,$9.05,-0.349,"$146,116,319",14.70,"$3,909,194,207",-0.501
2026-02-08,$9.22,$9.26,$9.03,$9.15,$9.10,-1.30,"$127,384,628",-49.31,"$3,928,867,690",-1.43
2026-02-07,$9.27,$9.35,$8.95,$9.20,$9.23,-0.387,"$251,292,757",-43.49,"$3,985,881,335",-0.401
2026-02-06,$8.29,$9.41,$7.73,$8.68,$9.27,11.79,"$444,697,624",-14.88,"$4,001,920,787",11.86
2026-02-05,$9.73,$9.79,$8.28,$9.02,$8.29,-14.82,"$522,466,734",103.99,"$3,577,592,718",-14.90
2026-02-04,$9.90,$10.13,$9.58,$9.84,$9.74,-1.68,"$256,123,077",-9.89,"$4,204,051,168",-1.61
2026-02-03,$10.13,$10.22,$9.56,$9.95,$9.90,-2.33,"$284,239,341",7.81,"$4,272,728,687",-2.45
