Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$472.50,$483.56,$471.56,$477.52,$482.48,2.11,"$78,670,495",-40.40,"$9,656,070,857",2.18
2026-03-27,$461.75,$472.57,$459.61,$466.53,$472.17,2.26,"$131,994,770",94.19,"$9,449,751,816",2.21
2026-03-26,$473.75,$473.75,$458.86,$467.09,$461.99,-2.48,"$67,973,109",-10.40,"$9,245,600,343",-2.44
2026-03-25,$477.47,$479.62,$471.52,$475.53,$473.53,-0.826,"$75,862,119",-1.38,"$9,476,377,922",-0.851
2026-03-24,$476.94,$479.43,$470.02,$476.00,$477.60,0.138,"$76,924,857",7.92,"$9,557,672,884",0.205
2026-03-23,$467.52,$482.95,$463.90,$472.75,$476.63,1.95,"$71,281,165",20.16,"$9,538,144,581",1.66
2026-03-22,$462.88,$469.68,$458.42,$464.97,$468.88,1.30,"$59,323,875",41.93,"$9,382,771,716",1.05
2026-03-21,$474.54,$476.29,$464.02,$469.72,$464.02,-2.22,"$41,797,689",-43.53,"$9,285,259,319",-2.21
2026-03-20,$455.42,$474.50,$455.42,$464.96,$474.50,4.19,"$74,017,305",19.91,"$9,494,810,280",4.23
2026-03-19,$456.80,$459.95,$451.34,$455.84,$455.26,-0.338,"$61,729,242",-21.07,"$9,109,582,009",-0.304
2026-03-18,$470.83,$472.24,$447.99,$461.93,$456.66,-3.01,"$78,204,005",47.87,"$9,137,350,587",-3.03
2026-03-17,$478.72,$479.83,$470.93,$475.10,$470.93,-1.63,"$52,885,494",-38.42,"$9,422,680,496",-1.71
2026-03-16,$469.95,$483.40,$466.17,$474.67,$479.14,1.96,"$85,874,551",38.47,"$9,586,750,435",2.07
2026-03-15,$467.61,$469.62,$461.07,$466.94,$469.45,0.393,"$62,014,724",10.52,"$9,392,717,641",0.404
2026-03-14,$460.70,$467.80,$454.73,$462.70,$467.57,1.49,"$56,114,239",-54.30,"$9,354,912,151",1.42
2026-03-13,$455.03,$472.51,$454.89,$460.87,$461.05,1.32,"$122,782,780",128.00,"$9,224,078,347",1.31
2026-03-12,$455.39,$459.93,$452.25,$455.66,$455.08,-0.0673,"$53,851,832",-22.92,"$9,104,586,590",-0.0516
2026-03-11,$446.92,$459.17,$446.02,$451.86,$455.33,1.88,"$69,865,593",-14.04,"$9,109,286,283",1.94
2026-03-10,$444.42,$453.10,$444.08,$447.07,$446.69,0.509,"$81,281,500",-0.970,"$8,936,235,466",0.543
2026-03-09,$442.60,$455.21,$442.60,$446.17,$444.29,0.381,"$82,077,524",50.59,"$8,888,015,838",0.419
2026-03-08,$450.00,$454.85,$442.45,$447.44,$442.45,-1.68,"$54,503,048",9.75,"$8,850,924,538",-1.64
