Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,"$66,327","$67,181","$65,953","$66,553","$66,750",0.638,"$6,895,898,220",-44.27,"$1,335,543,980,604",0.667
2026-03-27,"$68,761","$69,073","$65,593","$67,437","$66,320",-3.55,"$12,372,850,954",15.39,"$1,326,690,254,523",-3.58
2026-03-26,"$71,307","$71,372","$68,240","$69,926","$68,786",-3.54,"$10,722,651,995",11.93,"$1,375,931,262,523",-3.56
2026-03-25,"$70,526","$71,912","$70,416","$71,044","$71,322",1.13,"$9,579,426,428",-14.20,"$1,426,660,899,625",1.09
2026-03-24,"$70,778","$71,285","$68,984","$70,400","$70,554",-0.317,"$11,164,883,270",-25.24,"$1,411,294,062,053",-0.312
2026-03-23,"$67,847","$71,604","$67,600","$69,457","$70,775",4.32,"$14,934,086,989",72.19,"$1,415,714,969,126",4.23
2026-03-22,"$69,263","$69,456","$67,570","$68,549","$67,906",-1.96,"$8,672,859,483",68.40,"$1,358,322,420,155",-2.14
2026-03-21,"$70,535","$70,949","$69,391","$70,067","$69,391",-1.62,"$5,150,024,129",-51.75,"$1,388,039,857,494",-1.62
2026-03-20,"$69,922","$71,231","$69,560","$70,312","$70,534",0.876,"$10,673,115,234",-13.66,"$1,410,901,432,550",0.928
2026-03-19,"$71,267","$71,510","$68,996","$70,414","$69,886",-1.94,"$12,361,046,934",-0.711,"$1,397,928,216,778",-1.99
2026-03-18,"$73,950","$74,565","$70,710","$72,632","$71,304",-3.58,"$12,449,539,568",-11.96,"$1,426,297,410,720",-3.61
2026-03-17,"$74,829","$75,876","$73,632","$74,578","$73,977",-1.14,"$14,140,467,823",-11.14,"$1,479,755,926,845",-1.13
2026-03-16,"$72,845","$74,850","$72,413","$73,733","$74,823",2.72,"$15,913,429,651",98.31,"$1,496,678,780,947",2.95
2026-03-15,"$71,208","$73,008","$70,914","$71,953","$72,681",2.07,"$8,024,544,662",30.86,"$1,453,810,885,371",2.12
2026-03-14,"$70,951","$71,284","$70,439","$70,962","$71,172",0.311,"$6,131,926,323",-64.16,"$1,423,597,839,829",0.314
2026-03-13,"$70,500","$73,787","$70,500","$71,435","$70,951",0.640,"$17,107,492,053",39.85,"$1,419,140,315,167",0.624
2026-03-12,"$70,213","$70,655","$69,238","$70,155","$70,512",0.426,"$12,232,402,556",-7.57,"$1,410,338,004,266",0.391
2026-03-11,"$69,918","$71,225","$69,084","$70,117","$70,239",0.459,"$13,234,764,556",-18.67,"$1,404,851,250,908",0.445
2026-03-10,"$68,439","$71,532","$68,439","$69,585","$69,929",2.18,"$16,273,358,657",6.09,"$1,398,624,935,890",2.15
2026-03-09,"$66,054","$69,350","$66,023","$67,471","$68,459",3.64,"$15,339,811,479",53.91,"$1,369,177,336,868",3.53
2026-03-08,"$67,273","$68,070","$65,815","$66,822","$66,128",-1.70,"$9,966,976,811",49.92,"$1,322,538,839,238",-1.70
2026-03-07,"$68,139","$68,398","$67,059","$67,717","$67,272",-1.27,"$6,648,401,643",-51.61,"$1,345,384,250,342",-1.33
2026-03-06,"$70,858","$71,303","$67,853","$69,549","$68,182",-3.78,"$13,738,695,764",-11.03,"$1,363,555,105,746",-3.80
2026-03-05,"$72,683","$73,408","$70,757","$71,930","$70,874",-2.49,"$15,442,420,878",-34.47,"$1,417,348,772,708",-2.47
2026-03-04,"$68,300","$73,846","$67,569","$70,597","$72,672",6.40,"$23,564,228,640",43.12,"$1,453,271,928,329",6.24
2026-03-03,"$68,844","$69,139","$66,416","$68,202","$68,407",-0.635,"$16,464,802,784",-9.35,"$1,367,965,929,972",-0.673
2026-03-02,"$65,751","$69,775","$65,363","$67,440","$68,872",4.75,"$18,163,315,984",38.08,"$1,377,233,231,314",4.78
2026-03-01,"$66,993","$68,035","$65,173","$66,483","$65,730",-1.88,"$13,154,215,602",-9.80,"$1,314,380,720,515",-1.90
2026-02-28,"$65,874","$67,449","$63,269","$65,899","$67,002",1.71,"$14,582,784,711",7.99,"$1,339,786,092,278",1.70
2026-02-27,"$67,464","$68,053","$65,240","$66,660","$65,883",-2.34,"$13,503,759,790",-13.60,"$1,317,373,310,830",-2.36
2026-02-26,"$67,927","$68,760","$66,674","$67,709","$67,475",-0.666,"$15,628,931,832",-24.28,"$1,349,173,920,148",-0.543
2026-02-25,"$64,081","$69,478","$63,978","$66,345","$67,845",5.87,"$20,640,196,136",35.22,"$1,356,544,810,575",5.86
2026-02-24,"$64,632","$64,929","$62,814","$64,117","$64,093",-0.834,"$15,264,707,849",-7.07,"$1,281,489,929,607",-0.751
2026-02-23,"$67,644","$67,649","$64,047","$65,980","$64,580",-4.53,"$16,425,597,906",164.82,"$1,291,188,323,808",-4.38
