Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$315.82,$326.16,$310.39,$318.23,$320.56,1.50,"$333,266,652",-32.01,"$3,452,133,458",1.71
2026-03-27,$337.20,$345.14,$312.97,$327.62,$315.19,-6.53,"$490,143,738",-25.11,"$3,394,244,753",-6.58
2026-03-26,$346.23,$358.03,$332.51,$343.54,$337.37,-2.56,"$654,503,632",-20.26,"$3,633,160,255",-2.48
2026-03-25,$336.64,$375.24,$330.45,$347.07,$345.96,2.77,"$820,831,382",6.78,"$3,725,579,239",15.49
2026-03-24,$293.41,$337.40,$291.02,$314.49,$336.13,14.56,"$768,678,638",110.90,"$3,226,013,466",14.65
2026-03-23,$261.82,$293.18,$261.82,$277.50,$293.18,11.98,"$364,480,823",69.46,"$2,813,828,884",11.66
2026-03-22,$268.65,$280.03,$262.18,$268.36,$262.58,-2.26,"$215,084,575",9.39,"$2,520,085,104",-3.24
2026-03-21,$271.32,$278.99,$268.15,$272.46,$271.36,0.0153,"$196,628,051",-60.34,"$2,604,408,196",-0.00849
2026-03-20,$283.86,$306.52,$263.97,$281.44,$271.39,-4.40,"$495,740,899",46.11,"$2,604,629,456",-3.74
2026-03-19,$272.61,$281.94,$243.48,$269.99,$281.94,3.42,"$339,304,221",45.85,"$2,705,922,267",3.81
2026-03-18,$275.95,$281.64,$262.81,$273.00,$271.60,-1.58,"$232,643,384",-8.06,"$2,606,633,563",-1.60
2026-03-17,$280.17,$285.95,$271.35,$278.37,$276.00,-1.49,"$253,049,338",-36.68,"$2,648,920,312",-1.76
2026-03-16,$283.22,$299.16,$272.37,$283.92,$280.93,-0.809,"$399,628,710",-14.91,"$2,696,243,223",-1.12
2026-03-15,$249.62,$291.33,$246.46,$267.88,$284.10,13.82,"$469,645,021",174.86,"$2,726,692,675",13.87
2026-03-14,$236.27,$249.49,$232.74,$242.00,$249.49,5.60,"$170,868,436",-44.41,"$2,394,474,112",5.67
2026-03-13,$216.14,$249.97,$216.14,$229.59,$236.10,9.23,"$307,368,657",114.06,"$2,265,964,020",9.27
2026-03-12,$203.32,$217.17,$198.89,$208.87,$216.08,6.28,"$143,590,853",76.26,"$2,073,817,571",6.10
2026-03-11,$199.78,$205.95,$194.32,$200.92,$203.66,1.95,"$81,465,639",-33.59,"$1,954,644,786",1.94
