Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.208,$0.218,$0.208,$0.211,$0.212,2.25,"$19,169,349",-28.52,"$316,959,111",2.80
2026-03-27,$0.220,$0.230,$0.207,$0.216,$0.207,-6.24,"$26,818,180",3.20,"$308,336,208",-6.27
2026-03-26,$0.234,$0.234,$0.217,$0.226,$0.220,-5.98,"$25,987,146",-39.66,"$328,962,180",-6.09
2026-03-25,$0.226,$0.241,$0.226,$0.232,$0.235,3.76,"$43,066,826",19.89,"$350,286,244",3.89
2026-03-24,$0.219,$0.227,$0.217,$0.222,$0.226,3.07,"$35,921,168",17.44,"$337,161,552",3.13
2026-03-23,$0.217,$0.228,$0.213,$0.219,$0.219,1.23,"$30,585,884",6.84,"$326,930,588",1.42
2026-03-22,$0.229,$0.230,$0.215,$0.223,$0.217,-5.48,"$28,628,733",155.64,"$322,351,538",-5.87
2026-03-21,$0.236,$0.236,$0.230,$0.233,$0.230,-2.34,"$11,198,653",-48.48,"$342,452,536",-2.33
2026-03-20,$0.236,$0.241,$0.231,$0.236,$0.236,-0.317,"$21,736,216",-16.71,"$350,633,490",-0.174
2026-03-19,$0.240,$0.244,$0.230,$0.237,$0.236,-1.50,"$26,097,521",-14.89,"$351,245,793",-1.49
2026-03-18,$0.250,$0.254,$0.238,$0.246,$0.240,-4.17,"$30,663,746",-1.61,"$356,572,099",-4.07
2026-03-17,$0.255,$0.259,$0.250,$0.254,$0.250,-1.82,"$31,164,537",-13.88,"$371,715,737",-2.11
2026-03-16,$0.244,$0.257,$0.242,$0.250,$0.255,4.80,"$36,187,895",12.88,"$379,731,610",5.25
2026-03-15,$0.234,$0.247,$0.232,$0.239,$0.243,3.55,"$32,058,544",19.89,"$360,783,245",3.65
2026-03-14,$0.235,$0.235,$0.225,$0.233,$0.234,-0.425,"$26,739,363",-13.12,"$348,076,635",-0.326
2026-03-13,$0.235,$0.248,$0.234,$0.238,$0.235,-0.163,"$30,779,102",14.39,"$349,213,932",-0.187
2026-03-12,$0.233,$0.236,$0.230,$0.234,$0.236,0.952,"$26,907,129",0.907,"$349,867,383",0.929
2026-03-11,$0.242,$0.244,$0.233,$0.238,$0.233,-3.39,"$26,665,202",-20.99,"$346,647,200",-3.48
2026-03-10,$0.242,$0.254,$0.241,$0.245,$0.242,-0.019,"$33,748,660",1.62,"$359,132,665",0.0643
2026-03-09,$0.233,$0.248,$0.232,$0.239,$0.242,3.77,"$33,209,620",15.95,"$358,902,027",3.69
2026-03-08,$0.234,$0.239,$0.231,$0.234,$0.233,-0.417,"$28,641,373",27.54,"$346,132,970",-0.371
2026-03-07,$0.244,$0.244,$0.232,$0.239,$0.234,-3.92,"$22,456,549",0.269,"$347,423,554",-3.91
2026-03-06,$0.250,$0.255,$0.241,$0.247,$0.244,-2.65,"$22,396,200",-17.49,"$361,543,713",-2.64
2026-03-05,$0.255,$0.257,$0.249,$0.253,$0.250,-1.85,"$27,143,088",-27.28,"$371,332,028",-1.81
2026-03-04,$0.252,$0.266,$0.251,$0.256,$0.255,1.28,"$37,327,990",11.10,"$378,163,155",1.13
2026-03-03,$0.250,$0.256,$0.244,$0.250,$0.252,1.11,"$33,599,701",-2.14,"$373,924,375",1.13
2026-03-02,$0.242,$0.261,$0.238,$0.248,$0.250,3.17,"$34,334,648",21.21,"$369,763,331",3.16
2026-03-01,$0.251,$0.258,$0.236,$0.247,$0.242,-3.69,"$28,326,249",-21.20,"$358,428,424",-3.60
2026-02-28,$0.242,$0.253,$0.228,$0.244,$0.251,3.73,"$35,944,815",27.18,"$371,817,380",3.72
2026-02-27,$0.250,$0.256,$0.240,$0.247,$0.242,-3.17,"$28,261,991",-10.92,"$358,478,151",-3.25
2026-02-26,$0.253,$0.256,$0.246,$0.251,$0.250,-1.27,"$31,726,087",-26.97,"$370,507,282",-0.743
2026-02-25,$0.225,$0.263,$0.225,$0.241,$0.252,12.16,"$43,442,765",57.69,"$373,280,857",12.13
2026-02-24,$0.222,$0.227,$0.217,$0.223,$0.225,1.36,"$27,549,405",-7.21,"$332,894,988",1.40
2026-02-23,$0.232,$0.232,$0.220,$0.226,$0.222,-4.39,"$29,690,203",63.11,"$328,296,927",-4.15
2026-02-22,$0.239,$0.239,$0.227,$0.234,$0.232,-3.04,"$18,203,078",8.79,"$342,524,900",-3.06
