Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.089,$0.0944,$0.0883,$0.0913,$0.0933,4.83,"$57,845,637",-13.32,"$792,612,198",5.06
2026-03-27,$0.0966,$0.0994,$0.0887,$0.0934,$0.0888,-8.07,"$66,730,939",-40.59,"$754,401,822",-8.11
2026-03-26,$0.105,$0.109,$0.0954,$0.101,$0.0967,-7.50,"$112,327,032",2.57,"$820,982,758",-7.38
2026-03-25,$0.0954,$0.104,$0.094,$0.0995,$0.104,9.46,"$109,515,039",24.85,"$886,391,407",9.39
2026-03-24,$0.0935,$0.0959,$0.0913,$0.094,$0.0954,1.99,"$87,717,364",-18.64,"$810,274,611",2.05
2026-03-23,$0.0955,$0.0978,$0.0925,$0.0948,$0.0935,-2.12,"$107,808,904",101.94,"$793,972,111",-2.17
2026-03-22,$0.100,$0.100,$0.0943,$0.0975,$0.0956,-4.44,"$53,386,499",43.67,"$811,614,598",-4.90
2026-03-21,$0.102,$0.103,$0.100,$0.101,$0.100,-1.48,"$37,160,386",-31.35,"$853,419,298",-1.48
2026-03-20,$0.103,$0.106,$0.101,$0.103,$0.102,-1.02,"$54,132,521",0.621,"$866,215,368",-0.923
2026-03-19,$0.108,$0.108,$0.101,$0.105,$0.103,-4.92,"$53,798,670",-23.13,"$874,288,555",-4.82
2026-03-18,$0.117,$0.118,$0.107,$0.112,$0.108,-7.37,"$69,985,513",5.99,"$918,598,296",-7.27
2026-03-17,$0.120,$0.120,$0.115,$0.118,$0.117,-2.45,"$66,029,397",-31.71,"$990,566,376",-2.66
2026-03-16,$0.110,$0.120,$0.110,$0.115,$0.120,8.46,"$96,686,088",115.25,"$1,017,597,043",8.90
2026-03-15,$0.108,$0.111,$0.107,$0.109,$0.110,1.86,"$44,917,599",34.49,"$934,426,189",1.94
2026-03-14,$0.109,$0.110,$0.107,$0.108,$0.108,-0.643,"$33,399,403",-59.01,"$916,686,987",-0.664
2026-03-13,$0.106,$0.115,$0.106,$0.109,$0.109,2.05,"$81,472,200",43.33,"$922,812,554",2.02
2026-03-12,$0.105,$0.107,$0.103,$0.105,$0.107,1.65,"$56,841,987",-0.888,"$904,541,232",1.79
2026-03-11,$0.103,$0.106,$0.101,$0.104,$0.105,1.62,"$57,351,124",-13.74,"$888,641,300",1.75
2026-03-10,$0.101,$0.107,$0.101,$0.103,$0.103,1.85,"$66,489,042",15.66,"$873,332,125",1.99
2026-03-09,$0.0989,$0.104,$0.0989,$0.101,$0.101,1.97,"$57,488,601",23.40,"$856,313,196",1.96
2026-03-08,$0.101,$0.101,$0.0979,$0.0998,$0.0989,-1.96,"$46,587,749",-2.76,"$839,862,814",-1.90
2026-03-07,$0.105,$0.105,$0.100,$0.103,$0.101,-3.74,"$47,911,679",-27.09,"$856,137,725",-3.75
2026-03-06,$0.115,$0.116,$0.104,$0.110,$0.105,-9.03,"$65,709,978",-8.43,"$889,461,677",-9.04
2026-03-05,$0.117,$0.119,$0.113,$0.116,$0.115,-1.95,"$71,755,536",-36.06,"$977,889,642",1.29
2026-03-04,$0.111,$0.120,$0.110,$0.115,$0.117,5.38,"$112,226,836",48.71,"$965,457,258",5.28
2026-03-03,$0.114,$0.114,$0.108,$0.112,$0.111,-1.90,"$75,464,542",-28.36,"$917,071,870",-1.91
