Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.168,$0.175,$0.166,$0.170,$0.171,2.23,"$16,431,093",-55.47,"$171,425,194",2.52
2026-03-27,$0.176,$0.178,$0.165,$0.172,$0.167,-4.94,"$36,899,196",21.88,"$167,218,043",-5.06
2026-03-26,$0.192,$0.193,$0.173,$0.184,$0.176,-8.24,"$30,275,332",11.68,"$176,134,091",-8.24
2026-03-25,$0.187,$0.198,$0.187,$0.191,$0.192,2.46,"$27,108,237",-50.40,"$191,950,814",2.16
2026-03-24,$0.177,$0.188,$0.175,$0.182,$0.188,6.08,"$54,654,605",36.73,"$187,886,807",6.21
2026-03-23,$0.185,$0.194,$0.175,$0.183,$0.177,-4.24,"$39,972,696",68.60,"$176,893,526",-4.40
2026-03-22,$0.187,$0.191,$0.182,$0.186,$0.185,-1.29,"$23,708,406",32.44,"$185,034,915",-3.04
2026-03-21,$0.198,$0.201,$0.191,$0.195,$0.191,-3.69,"$17,901,895",-54.49,"$190,833,452",-3.69
2026-03-20,$0.199,$0.211,$0.190,$0.200,$0.198,-0.380,"$39,337,340",-17.59,"$198,138,582",-0.0271
2026-03-19,$0.212,$0.215,$0.187,$0.203,$0.198,-6.35,"$47,735,348",-44.62,"$198,192,195",-6.15
2026-03-18,$0.204,$0.222,$0.192,$0.207,$0.211,3.31,"$86,188,510",27.67,"$211,175,739",3.37
2026-03-17,$0.206,$0.217,$0.196,$0.206,$0.204,-0.908,"$67,509,821",5.16,"$204,290,244",-1.13
2026-03-16,$0.166,$0.207,$0.166,$0.186,$0.207,24.57,"$64,197,077",207.54,"$206,616,610",24.91
2026-03-15,$0.161,$0.168,$0.159,$0.163,$0.165,3.03,"$20,874,339",37.10,"$165,410,169",3.12
2026-03-14,$0.158,$0.164,$0.156,$0.160,$0.160,1.29,"$15,225,691",-56.48,"$160,410,327",1.15
2026-03-13,$0.156,$0.172,$0.156,$0.161,$0.159,1.46,"$34,986,757",57.51,"$158,580,404",1.43
2026-03-12,$0.154,$0.157,$0.148,$0.154,$0.156,1.56,"$22,212,929",-4.79,"$156,341,881",1.51
2026-03-11,$0.155,$0.157,$0.151,$0.155,$0.154,-0.765,"$23,329,573",-30.39,"$154,023,440",-0.478
2026-03-10,$0.148,$0.159,$0.147,$0.152,$0.155,4.90,"$33,512,659",14.76,"$154,763,959",4.95
2026-03-09,$0.146,$0.153,$0.146,$0.148,$0.147,0.929,"$29,202,970",23.69,"$147,466,661",0.921
