Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$38.62,$40.23,$38.01,$39.13,$39.66,2.69,"$156,890,393",-9.35,"$9,453,706,471",2.68
2026-03-27,$39.12,$39.35,$38.02,$38.78,$38.62,-1.27,"$173,064,551",-7.73,"$9,207,130,686",-1.13
2026-03-26,$40.32,$40.32,$38.37,$39.52,$39.06,-3.11,"$187,567,762",-18.92,"$9,312,137,240",-2.99
2026-03-25,$40.32,$41.44,$39.73,$40.44,$40.27,-0.137,"$231,326,770",-13.20,"$9,599,595,518",-0.138
2026-03-24,$37.20,$40.40,$37.20,$38.78,$40.32,8.40,"$266,512,400",-30.38,"$9,612,825,283",8.41
2026-03-23,$38.33,$39.06,$36.83,$37.85,$37.20,-2.96,"$382,808,724",74.00,"$8,867,315,135",-3.05
2026-03-22,$39.23,$39.44,$37.62,$38.66,$38.37,-2.19,"$220,010,607",106.06,"$9,146,298,278",-2.87
2026-03-21,$39.55,$40.41,$39.29,$39.69,$39.50,-0.123,"$106,771,069",-60.33,"$9,416,199,199",-0.208
2026-03-20,$39.31,$40.47,$38.61,$39.49,$39.58,0.683,"$269,154,640",-20.70,"$9,435,812,289",1.05
2026-03-19,$42.13,$42.19,$38.72,$40.55,$39.17,-7.03,"$339,393,667",-28.67,"$9,337,304,760",-7.00
2026-03-18,$41.21,$43.57,$40.50,$41.85,$42.12,2.21,"$475,831,483",50.13,"$10,040,263,155",2.27
2026-03-17,$40.81,$41.97,$39.74,$40.92,$41.18,0.927,"$316,939,644",-24.31,"$9,817,466,213",0.966
2026-03-16,$37.36,$41.32,$37.32,$39.20,$40.79,9.18,"$418,750,857",182.41,"$9,723,555,723",9.47
2026-03-15,$37.85,$38.16,$36.87,$37.54,$37.26,-1.55,"$148,275,721",-20.99,"$8,882,683,169",-1.60
2026-03-14,$36.44,$38.58,$36.44,$37.33,$37.87,3.93,"$187,655,471",-47.00,"$9,026,985,263",3.93
2026-03-13,$37.27,$38.37,$36.08,$37.04,$36.44,-2.24,"$354,074,973",22.12,"$8,685,802,456",-2.31
2026-03-12,$36.22,$37.98,$35.89,$36.85,$37.30,2.98,"$289,947,971",-6.60,"$8,890,869,925",3.00
2026-03-11,$34.15,$36.84,$34.12,$35.33,$36.21,6.03,"$310,431,358",18.00,"$8,631,628,855",6.14
2026-03-10,$34.68,$35.13,$33.68,$34.40,$34.11,-1.65,"$263,076,509",-37.91,"$8,132,198,150",-1.78
2026-03-09,$30.72,$35.28,$30.35,$32.77,$34.73,13.05,"$423,707,332",241.95,"$8,279,737,816",12.94
2026-03-08,$30.30,$31.05,$29.77,$30.47,$30.75,1.50,"$123,910,892",4.95,"$7,330,978,857",1.51
2026-03-07,$31.08,$31.08,$29.88,$30.59,$30.30,-2.54,"$118,061,083",-36.92,"$7,222,148,992",-2.74
2026-03-06,$30.55,$31.26,$29.53,$30.62,$31.15,1.95,"$187,167,962",6.53,"$7,425,255,646",1.80
2026-03-05,$32.23,$32.23,$30.34,$31.35,$30.60,-5.06,"$175,696,260",-32.21,"$7,293,867,653",-5.20
2026-03-04,$31.31,$33.13,$30.85,$31.89,$32.27,3.07,"$259,191,685",0.162,"$7,693,657,219",2.79
2026-03-03,$32.84,$33.48,$30.95,$32.17,$31.40,-4.39,"$258,773,120",-24.70,"$7,485,029,324",-4.40
2026-03-02,$31.55,$33.50,$30.09,$32.00,$32.84,4.09,"$343,675,740",28.54,"$7,829,499,625",3.67
2026-03-01,$31.22,$32.02,$30.28,$31.30,$31.68,1.48,"$267,365,267",-12.81,"$7,552,298,451",1.62
2026-02-28,$27.30,$31.18,$26.22,$28.97,$31.18,14.19,"$306,651,110",43.32,"$7,431,873,770",14.22
2026-02-27,$28.16,$29.85,$26.95,$28.06,$27.29,-3.06,"$213,969,168",-12.89,"$6,506,565,522",-3.10
2026-02-26,$27.87,$29.23,$27.82,$28.27,$28.17,1.05,"$245,626,284",-14.12,"$6,714,379,447",1.43
2026-02-25,$27.16,$28.98,$26.83,$27.68,$27.77,2.25,"$286,025,922",66.93,"$6,619,903,759",2.17
2026-02-24,$26.29,$27.37,$25.81,$26.66,$27.18,3.39,"$171,344,851",-29.60,"$6,479,401,708",3.47
2026-02-23,$28.99,$29.02,$25.90,$27.54,$26.27,-9.39,"$243,383,201",287.46,"$6,262,145,818",-9.29
2026-02-22,$29.75,$29.91,$28.75,$29.34,$28.96,-2.66,"$62,814,516",-18.29,"$6,903,172,596",-2.65
2026-02-21,$30.37,$30.53,$29.59,$30.06,$29.75,-2.06,"$76,873,276",-57.65,"$7,091,062,101",-1.84
2026-02-20,$29.05,$30.34,$28.67,$29.59,$30.30,4.30,"$181,526,360",17.72,"$7,223,913,090",4.36
2026-02-19,$28.67,$29.29,$27.82,$28.71,$29.04,1.27,"$154,196,175",2.45,"$6,922,277,602",1.30
2026-02-18,$29.58,$29.72,$28.37,$29.08,$28.67,-3.10,"$150,508,097",-7.88,"$6,833,418,816",-3.13
2026-02-17,$31.13,$31.30,$29.13,$30.29,$29.59,-4.95,"$163,383,608",11.49,"$7,054,213,582",-4.67
2026-02-16,$30.66,$31.04,$29.60,$30.59,$31.04,1.23,"$146,550,927",2.15,"$7,399,877,041",1.27
2026-02-15,$31.83,$31.97,$30.36,$31.20,$30.65,-3.69,"$143,459,804",-8.22,"$7,307,380,884",-3.85
2026-02-14,$31.62,$32.22,$30.83,$31.64,$31.88,0.841,"$156,308,118",-29.67,"$7,600,354,772",0.800
2026-02-13,$31.08,$32.14,$30.11,$31.24,$31.63,1.75,"$222,245,580",-11.49,"$7,539,998,066",2.14
2026-02-12,$29.39,$31.66,$29.38,$30.35,$30.97,5.36,"$251,090,635",-11.76,"$7,381,696,048",5.43
2026-02-11,$28.81,$30.08,$28.43,$29.17,$29.37,1.95,"$284,540,623",15.88,"$7,001,695,680",1.84
