Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$1.64,$1.68,$1.63,$1.65,$1.66,1.08,"$1,742,601",-17.34,"$130,354,438",0.957
2026-03-27,$1.65,$1.67,$1.63,$1.65,$1.64,-0.598,"$2,108,172",-23.16,"$129,118,813",-0.707
2026-03-26,$1.81,$1.81,$1.64,$1.73,$1.66,-8.41,"$2,743,636",-0.806,"$130,037,716",-8.57
2026-03-25,$1.90,$1.92,$1.80,$1.86,$1.81,-4.89,"$2,765,941",-27.39,"$142,233,726",-5.06
2026-03-24,$1.84,$1.93,$1.80,$1.87,$1.91,3.61,"$3,809,141",-39.24,"$149,817,296",3.63
2026-03-23,$1.90,$1.92,$1.80,$1.87,$1.84,-3.12,"$6,269,220",-21.49,"$144,574,796",-2.95
2026-03-22,$2.28,$2.28,$1.90,$2.09,$1.90,-16.79,"$7,984,859",3.07,"$148,962,520",-17.30
2026-03-21,$2.27,$2.38,$2.27,$2.30,$2.29,1.01,"$7,746,928",274.45,"$180,130,251",0.909
2026-03-20,$2.27,$2.31,$2.24,$2.27,$2.27,0.188,"$2,068,878",-29.31,"$178,506,854",0.218
2026-03-19,$2.25,$2.30,$2.19,$2.25,$2.27,0.660,"$2,926,839",11.45,"$178,119,070",0.719
2026-03-18,$2.45,$2.45,$2.22,$2.35,$2.25,-8.24,"$2,626,157",-4.87,"$176,847,155",-8.32
2026-03-17,$2.58,$2.58,$2.45,$2.51,$2.46,-4.64,"$2,760,648",-52.80,"$192,888,032",-4.55
2026-03-16,$2.39,$2.61,$2.35,$2.48,$2.57,7.56,"$5,849,015",169.29,"$202,073,742",6.98
2026-03-15,$2.30,$2.41,$2.26,$2.34,$2.41,4.79,"$2,171,989",-9.34,"$188,882,671",4.85
2026-03-14,$2.26,$2.32,$2.23,$2.28,$2.29,1.31,"$2,395,846",-1.98,"$180,148,405",1.38
2026-03-13,$2.23,$2.38,$2.23,$2.27,$2.26,1.64,"$2,444,212",30.86,"$177,696,103",1.54
2026-03-12,$2.21,$2.26,$2.17,$2.22,$2.23,0.731,"$1,867,751",-2.87,"$174,992,533",0.828
2026-03-11,$2.18,$2.23,$2.15,$2.19,$2.21,1.25,"$1,922,895",-15.64,"$173,554,993",1.21
2026-03-10,$2.16,$2.26,$2.16,$2.19,$2.18,1.02,"$2,279,403",-55.38,"$171,479,201",0.904
2026-03-09,$2.11,$2.22,$2.11,$2.15,$2.16,2.47,"$5,108,760",257.72,"$169,942,259",2.51
2026-03-08,$2.13,$2.16,$2.10,$2.13,$2.11,-0.980,"$1,428,127",2.34,"$165,774,519",-0.938
2026-03-07,$2.19,$2.20,$2.12,$2.16,$2.13,-2.49,"$1,395,511",-21.47,"$167,344,880",-2.66
2026-03-06,$2.32,$2.32,$2.15,$2.24,$2.19,-5.48,"$1,776,990",-26.96,"$171,913,572",-5.56
2026-03-05,$2.29,$2.34,$2.25,$2.30,$2.32,1.18,"$2,432,876",-0.455,"$182,027,716",1.19
2026-03-04,$2.17,$2.35,$2.12,$2.23,$2.29,5.75,"$2,444,001",26.95,"$179,883,902",5.74
2026-03-03,$2.25,$2.25,$2.13,$2.20,$2.17,-3.63,"$1,925,112",-43.01,"$170,125,578",-3.63
2026-03-02,$2.12,$2.26,$2.12,$2.19,$2.25,6.08,"$3,377,840",42.73,"$176,532,455",6.10
2026-03-01,$2.22,$2.23,$2.08,$2.16,$2.12,-4.49,"$2,366,612",-27.61,"$166,386,186",-4.51
2026-02-28,$2.17,$2.22,$2.04,$2.16,$2.22,2.30,"$3,269,157",-8.62,"$174,240,769",2.43
2026-02-27,$2.10,$2.19,$2.09,$2.14,$2.17,3.10,"$3,577,424",38.83,"$170,110,560",3.07
2026-02-26,$2.14,$2.16,$2.04,$2.11,$2.10,-1.76,"$2,576,758",-49.96,"$165,051,590",-1.31
2026-02-25,$1.97,$2.21,$1.95,$2.06,$2.13,8.20,"$5,149,363",122.51,"$167,242,372",8.21
2026-02-24,$1.97,$1.97,$1.88,$1.95,$1.97,-0.148,"$2,314,225",-12.51,"$154,550,658",-0.175
2026-02-23,$2.10,$2.10,$1.96,$2.03,$1.97,-6.16,"$2,645,072",68.84,"$154,820,882",-5.83
2026-02-22,$2.11,$2.11,$2.06,$2.09,$2.09,-0.837,"$1,566,658",-24.65,"$164,412,509",-0.866
2026-02-21,$2.11,$2.15,$2.08,$2.11,$2.11,-0.122,"$2,079,103",-45.47,"$165,849,208",0.692
2026-02-20,$2.12,$2.13,$2.04,$2.10,$2.12,-0.125,"$3,812,607",86.02,"$164,709,190",0.0788
2026-02-19,$2.17,$2.17,$2.06,$2.13,$2.12,-2.39,"$2,049,579",-1.31,"$164,579,514",-2.39
2026-02-18,$2.28,$2.31,$2.14,$2.23,$2.17,-5.02,"$2,076,826",19.12,"$168,604,770",-4.92
2026-02-17,$2.32,$2.32,$2.26,$2.30,$2.28,-1.69,"$1,743,413",10.32,"$177,321,565",-1.67
2026-02-16,$2.30,$2.34,$2.27,$2.31,$2.32,0.878,"$1,580,392",-31.51,"$180,331,692",0.865
2026-02-15,$2.42,$2.42,$2.25,$2.35,$2.30,-5.12,"$2,307,395",-24.37,"$178,784,638",-5.08
2026-02-14,$2.36,$2.44,$2.31,$2.38,$2.42,2.51,"$3,050,751",-23.59,"$188,354,343",2.74
2026-02-13,$2.19,$2.36,$2.14,$2.26,$2.36,7.60,"$3,992,717",95.45,"$183,337,076",7.79
2026-02-12,$2.18,$2.26,$2.13,$2.19,$2.19,0.519,"$2,042,811",-10.16,"$170,088,483",0.604
2026-02-11,$2.24,$2.24,$2.11,$2.19,$2.17,-2.78,"$2,273,824",30.31,"$169,067,062",-2.60
2026-02-10,$2.35,$2.35,$2.20,$2.28,$2.23,-4.83,"$1,744,894",-28.81,"$173,582,775",-4.47
2026-02-09,$2.31,$2.36,$2.23,$2.31,$2.34,1.20,"$2,450,897",-13.54,"$181,700,701",1.17
2026-02-08,$2.37,$2.38,$2.30,$2.34,$2.31,-2.45,"$2,834,802",11.00,"$179,606,299",-2.74
2026-02-07,$2.37,$2.39,$2.28,$2.35,$2.37,0.0978,"$2,553,972",-51.78,"$184,659,225",0.127
2026-02-06,$2.11,$2.40,$1.96,$2.21,$2.37,12.41,"$5,296,753",-30.42,"$184,424,900",12.40
2026-02-05,$2.49,$2.52,$2.10,$2.31,$2.11,-15.19,"$7,612,758",145.88,"$164,079,784",-15.37
2026-02-04,$2.57,$2.64,$2.43,$2.54,$2.49,-3.05,"$3,096,132",-28.75,"$193,873,317",-2.86
2026-02-03,$2.66,$2.69,$2.46,$2.59,$2.57,-3.55,"$4,345,528",-12.79,"$199,588,466",-3.71
2026-02-02,$2.54,$2.68,$2.45,$2.59,$2.67,4.84,"$4,982,885",-29.38,"$207,287,542",4.79
2026-02-01,$2.65,$2.66,$2.48,$2.58,$2.54,-4.15,"$7,055,700",-74.93,"$197,803,724",-4.16
2026-01-31,$2.79,$3.10,$2.51,$2.76,$2.65,-4.71,"$28,141,278",264.06,"$206,399,209",-4.68
2026-01-30,$2.70,$2.78,$2.60,$2.72,$2.78,3.28,"$7,729,932",8.10,"$216,531,301",3.19
2026-01-29,$3.08,$3.08,$2.66,$2.88,$2.70,-12.28,"$7,151,053",-69.52,"$209,847,454",-12.39
2026-01-28,$2.87,$3.20,$2.87,$3.01,$3.08,7.22,"$23,460,469",301.86,"$239,534,460",6.96
2026-01-27,$3.06,$3.06,$2.78,$2.94,$2.88,-5.74,"$5,837,987",-75.48,"$223,940,749",-5.78
2026-01-26,$2.98,$3.08,$2.68,$2.95,$3.06,2.58,"$23,808,706",-88.75,"$237,685,850",1.47
2026-01-25,$2.60,$4.09,$2.60,$3.07,$3.01,16.02,"$211,556,298","6,883","$234,245,354",16.28
2026-01-24,$2.49,$2.59,$2.47,$2.54,$2.59,3.85,"$3,029,556",10.97,"$201,446,244",4.27
2026-01-23,$2.47,$2.53,$2.42,$2.48,$2.48,0.603,"$2,730,180",2.60,"$193,194,755",0.656
2026-01-22,$2.60,$2.64,$2.43,$2.53,$2.47,-5.12,"$2,660,978",-51.43,"$191,935,513",-5.12
