Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$2.01,$2.08,$1.98,$2.02,$2.02,0.656,"$17,444,098",-52.97,"$509,927,700",0.654
2026-03-27,$2.15,$2.18,$1.99,$2.08,$2.01,-6.46,"$37,090,533",5.78,"$506,615,936",-6.60
2026-03-26,$2.15,$2.19,$2.02,$2.13,$2.15,0.148,"$35,065,368",38.86,"$542,411,999",0.254
2026-03-25,$2.27,$2.28,$2.14,$2.21,$2.14,-5.46,"$25,251,604",-56.77,"$541,037,125",-5.65
2026-03-24,$2.22,$2.27,$2.12,$2.22,$2.27,2.42,"$58,417,554",17.38,"$573,423,980",2.43
2026-03-23,$1.93,$2.22,$1.92,$2.07,$2.22,15.08,"$49,767,557",145.25,"$559,826,142",15.20
2026-03-22,$1.97,$2.00,$1.90,$1.95,$1.93,-2.15,"$20,292,820",25.06,"$485,975,930",-2.49
2026-03-21,$2.04,$2.09,$1.98,$2.02,$1.98,-3.31,"$16,226,110",-50.67,"$498,362,149",-3.15
2026-03-20,$2.06,$2.08,$1.97,$2.04,$2.04,-0.927,"$32,892,924",-1.49,"$514,556,991",-0.244
2026-03-19,$2.13,$2.13,$2.02,$2.08,$2.06,-2.89,"$33,391,168",-19.15,"$515,816,919",1.24
2026-03-18,$2.31,$2.39,$2.12,$2.24,$2.13,-7.86,"$41,299,665",4.83,"$509,494,766",-8.02
2026-03-17,$2.24,$2.38,$2.19,$2.28,$2.32,3.44,"$39,398,349",-13.96,"$553,890,851",3.25
2026-03-16,$2.16,$2.30,$2.13,$2.21,$2.25,3.75,"$45,788,748",8.42,"$536,431,034",3.88
2026-03-15,$1.98,$2.19,$1.96,$2.07,$2.16,9.22,"$42,234,012",115.17,"$516,397,969",9.19
2026-03-14,$1.95,$2.01,$1.95,$1.97,$1.98,1.70,"$19,628,545",-35.32,"$472,928,926",1.59
2026-03-13,$2.10,$2.11,$1.93,$2.02,$1.95,-7.13,"$30,347,532",-14.61,"$465,549,258",-7.16
2026-03-12,$2.11,$2.11,$1.98,$2.07,$2.10,-0.555,"$35,541,515",13.51,"$501,432,873",-1.07
2026-03-11,$2.06,$2.15,$2.01,$2.09,$2.12,3.11,"$31,312,548",-30.94,"$506,872,966",2.53
2026-03-10,$1.99,$2.14,$1.99,$2.04,$2.07,4.21,"$45,342,149",32.44,"$494,376,039",4.11
2026-03-09,$1.95,$2.04,$1.95,$1.98,$1.99,1.79,"$34,236,508",-17.64,"$474,873,458",1.73
