Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.882,$0.886,$0.850,$0.872,$0.871,-1.27,"$14,543,554",-38.59,"$217,726,336",-1.11
2026-03-27,$0.910,$0.916,$0.836,$0.886,$0.881,-3.26,"$23,684,149",4.51,"$220,161,511",-3.16
2026-03-26,$0.9947,$0.9973,$0.901,$0.951,$0.909,-8.58,"$22,662,285",22.63,"$227,353,945",-8.56
2026-03-25,$1.0055,$1.02,$0.977,$0.99966,$0.9946,-1.09,"$18,480,912",-16.41,"$248,647,738",-1.48
2026-03-24,$0.956,$1.02,$0.939,$0.980,$1.0095,5.56,"$22,108,035",-12.62,"$252,371,785",5.27
2026-03-23,$0.940,$0.980,$0.910,$0.947,$0.959,1.96,"$25,299,824",29.96,"$239,728,090",1.96
2026-03-22,$1.05,$1.06,$0.939,$0.9949,$0.940,-10.01,"$19,467,346",21.07,"$235,122,933",-10.70
2026-03-21,$1.07,$1.09,$1.04,$1.06,$1.05,-1.14,"$16,079,205",-10.23,"$263,302,017",-1.03
2026-03-20,$1.19,$1.22,$1.06,$1.13,$1.06,-10.85,"$17,912,094",-30.70,"$266,052,445",-10.64
2026-03-19,$1.21,$1.22,$1.10,$1.18,$1.19,-1.81,"$25,847,698",-27.22,"$297,725,644",-2.11
2026-03-18,$1.29,$1.29,$1.15,$1.24,$1.22,-5.85,"$35,513,826",-24.23,"$304,157,748",-5.22
2026-03-17,$1.16,$1.32,$1.10,$1.22,$1.28,10.44,"$46,870,555",37.74,"$320,902,808",10.32
2026-03-16,$1.09,$1.18,$1.08,$1.13,$1.16,6.94,"$34,028,378",56.05,"$290,885,653",6.72
2026-03-15,$1.11,$1.12,$1.08,$1.10,$1.09,-1.45,"$21,805,578",-3.21,"$272,561,794",-1.58
2026-03-14,$1.10,$1.13,$1.07,$1.10,$1.11,0.751,"$22,527,671",-24.46,"$276,925,353",0.783
2026-03-13,$1.15,$1.20,$1.10,$1.14,$1.10,-4.58,"$29,822,902",-5.83,"$274,773,424",-4.59
2026-03-12,$1.07,$1.15,$1.05,$1.11,$1.15,7.47,"$31,668,382",21.49,"$287,991,706",7.38
2026-03-11,$1.05,$1.07,$1.0033,$1.05,$1.07,1.69,"$26,066,107",-23.25,"$268,205,536",1.74
2026-03-10,$1.02,$1.08,$1.02,$1.05,$1.05,2.88,"$33,961,542",-1.66,"$263,630,850",2.60
2026-03-09,$1.02,$1.06,$0.9947,$1.03,$1.03,0.502,"$34,534,249",69.36,"$256,945,704",0.392
2026-03-08,$1.13,$1.13,$1.02,$1.08,$1.02,-9.47,"$20,390,568",23.68,"$255,943,488",-9.51
2026-03-07,$1.14,$1.16,$1.12,$1.14,$1.13,-0.612,"$16,486,487",-35.99,"$282,837,375",-0.748
2026-03-06,$1.21,$1.23,$1.08,$1.17,$1.14,-5.72,"$25,757,031",-3.84,"$284,969,641",-5.51
2026-03-05,$1.37,$1.37,$1.20,$1.29,$1.21,-12.17,"$26,784,789",-30.28,"$301,594,352",-12.15
2026-03-04,$1.30,$1.38,$1.26,$1.33,$1.37,5.67,"$38,419,458",57.53,"$343,322,016",5.88
2026-03-03,$1.36,$1.36,$1.30,$1.33,$1.30,-4.37,"$24,387,970",-14.98,"$324,261,658",-4.30
2026-03-02,$1.36,$1.44,$1.35,$1.38,$1.36,-0.387,"$28,683,994",18.00,"$338,823,683",-0.357
2026-03-01,$1.38,$1.45,$1.35,$1.38,$1.36,-1.77,"$24,308,912",-12.68,"$340,036,545",-1.89
2026-02-28,$1.36,$1.40,$1.30,$1.36,$1.39,1.99,"$27,838,790",8.34,"$346,594,550",1.95
2026-02-27,$1.43,$1.44,$1.34,$1.39,$1.36,-4.90,"$25,696,644",4.75,"$339,949,386",-5.09
2026-02-26,$1.45,$1.50,$1.42,$1.45,$1.43,-1.52,"$24,532,095",-57.25,"$358,164,499",-1.29
2026-02-25,$1.43,$1.50,$1.34,$1.43,$1.45,1.36,"$57,387,669",147.70,"$362,857,222",1.30
2026-02-24,$1.39,$1.44,$1.33,$1.40,$1.43,3.22,"$23,168,420",-13.33,"$358,211,249",3.17
2026-02-23,$1.44,$1.45,$1.36,$1.41,$1.39,-3.85,"$26,731,174",22.81,"$347,206,049",-3.73
2026-02-22,$1.52,$1.52,$1.44,$1.48,$1.44,-5.38,"$21,765,520",-7.33,"$360,668,479",-5.31
2026-02-21,$1.53,$1.54,$1.48,$1.52,$1.52,-0.491,"$23,486,361",-41.45,"$380,885,132",-0.353
2026-02-20,$1.47,$1.54,$1.44,$1.50,$1.53,3.74,"$40,113,993",-7.55,"$382,232,738",3.59
2026-02-19,$1.44,$1.52,$1.44,$1.47,$1.48,2.27,"$43,390,904",17.61,"$368,998,863",2.23
2026-02-18,$1.59,$1.59,$1.44,$1.51,$1.44,-9.11,"$36,894,870",-9.59,"$360,938,934",-9.09
2026-02-17,$1.68,$1.68,$1.56,$1.63,$1.59,-5.49,"$40,810,072",-35.14,"$397,045,743",-5.31
2026-02-16,$1.66,$1.70,$1.58,$1.65,$1.68,1.21,"$62,923,730",57.23,"$419,309,294",1.35
2026-02-15,$1.65,$1.73,$1.56,$1.65,$1.65,0.362,"$40,020,870",-0.0464,"$413,734,025",0.267
2026-02-14,$1.60,$1.70,$1.57,$1.63,$1.65,2.90,"$40,039,439",-6.01,"$412,630,586",2.85
2026-02-13,$1.42,$1.65,$1.42,$1.52,$1.60,12.78,"$42,600,952",7.53,"$401,184,664",12.87
2026-02-12,$1.42,$1.49,$1.38,$1.43,$1.42,0.266,"$39,619,064",-7.72,"$355,424,883",0.163
2026-02-11,$1.47,$1.47,$1.33,$1.42,$1.42,-3.57,"$42,932,816",52.94,"$354,846,455",-3.41
