Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.0224,$0.0239,$0.022,$0.023,$0.0238,6.53,"$59,951,039",30.85,"$257,884,698",6.42
2026-03-27,$0.0243,$0.0244,$0.0219,$0.0232,$0.0224,-8.04,"$45,817,637",-31.78,"$242,331,921",-8.27
2026-03-26,$0.0265,$0.0272,$0.0235,$0.0254,$0.0244,-7.80,"$67,161,510",-19.28,"$264,179,223",-7.51
2026-03-25,$0.0234,$0.0267,$0.0228,$0.0248,$0.0264,12.94,"$83,203,575",39.73,"$285,636,348",12.91
2026-03-24,$0.0216,$0.0235,$0.0213,$0.0224,$0.0234,8.39,"$59,545,199",77.32,"$252,986,440",8.37
2026-03-23,$0.0206,$0.0219,$0.0205,$0.0211,$0.0216,4.55,"$33,581,028",48.18,"$233,453,520",4.50
2026-03-22,$0.0214,$0.0216,$0.0206,$0.0211,$0.0206,-3.77,"$22,662,006",45.57,"$223,405,734",-4.10
2026-03-21,$0.0225,$0.0225,$0.0215,$0.022,$0.0215,-4.21,"$15,567,555",-34.19,"$232,948,786",-4.23
2026-03-20,$0.022,$0.0225,$0.0219,$0.0222,$0.0225,2.15,"$23,655,104",-31.68,"$243,237,948",2.19
2026-03-19,$0.0231,$0.0234,$0.0218,$0.0226,$0.022,-4.66,"$34,622,121",-22.13,"$238,028,994",-4.71
2026-03-18,$0.0236,$0.0243,$0.0227,$0.0234,$0.0231,-2.34,"$44,459,285",56.04,"$249,798,233",-2.52
2026-03-17,$0.0247,$0.025,$0.0235,$0.0242,$0.0237,-4.35,"$28,491,877",-40.94,"$256,250,545",-4.74
2026-03-16,$0.0235,$0.0249,$0.0233,$0.0241,$0.0248,5.84,"$48,240,986",64.02,"$269,013,285",5.87
2026-03-15,$0.0221,$0.0235,$0.0221,$0.0228,$0.0235,5.98,"$29,410,975",59.33,"$254,098,334",6.03
2026-03-14,$0.0219,$0.0221,$0.0216,$0.0219,$0.0221,0.980,"$18,459,452",-53.71,"$239,653,842",0.952
2026-03-13,$0.0212,$0.0228,$0.0211,$0.0218,$0.0219,3.39,"$39,881,340",45.26,"$237,394,317",3.33
2026-03-12,$0.0214,$0.0219,$0.0212,$0.0214,$0.0212,-0.933,"$27,455,962",31.10,"$229,732,945",-0.913
2026-03-11,$0.0216,$0.0217,$0.021,$0.0214,$0.0214,-0.713,"$20,942,465",-24.51,"$231,848,874",-0.630
2026-03-10,$0.0212,$0.0221,$0.0212,$0.0215,$0.0215,1.68,"$27,742,899",-25.93,"$233,318,774",1.69
2026-03-09,$0.0205,$0.0216,$0.0201,$0.0208,$0.0212,3.54,"$37,454,854",46.19,"$229,442,875",3.53
2026-03-08,$0.0217,$0.0217,$0.0204,$0.0211,$0.0205,-5.61,"$25,619,886",-24.14,"$221,618,650",-5.74
2026-03-07,$0.0218,$0.0226,$0.0216,$0.0219,$0.0217,-0.208,"$33,774,513",-3.03,"$235,109,884",-0.214
2026-03-06,$0.0217,$0.0226,$0.0213,$0.0218,$0.0218,0.0667,"$34,830,312",-5.63,"$235,613,047",-0.225
