Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$1.49,$1.54,$1.48,$1.50,$1.50,0.584,"$7,625,302",-33.17,"$827,714,155",0.632
2026-03-27,$1.56,$1.60,$1.48,$1.53,$1.49,-4.43,"$11,409,210",18.53,"$822,516,196",-4.16
2026-03-26,$1.71,$1.71,$1.55,$1.63,$1.56,-8.75,"$9,625,476",-8.64,"$858,212,023",-8.76
2026-03-25,$1.75,$1.77,$1.71,$1.74,$1.71,-2.57,"$10,535,282",-20.39,"$940,659,242",-2.25
2026-03-24,$1.70,$1.76,$1.65,$1.72,$1.75,2.97,"$13,234,104",6.49,"$962,272,546",3.03
2026-03-23,$1.67,$1.75,$1.63,$1.69,$1.70,1.84,"$12,427,866",17.76,"$933,989,034",1.79
2026-03-22,$1.76,$1.76,$1.66,$1.71,$1.67,-5.47,"$10,553,895",57.81,"$917,585,473",-5.89
2026-03-21,$1.77,$1.81,$1.75,$1.78,$1.77,0.0326,"$6,687,569",-26.22,"$975,023,958",-0.02
2026-03-20,$1.75,$1.77,$1.71,$1.75,$1.77,1.22,"$9,064,102",-35.80,"$975,218,731",1.26
2026-03-19,$1.74,$1.77,$1.66,$1.73,$1.75,0.398,"$14,118,139",-16.98,"$963,065,309",0.357
2026-03-18,$1.81,$1.86,$1.73,$1.79,$1.75,-3.34,"$17,005,226",-2.90,"$959,636,926",-3.49
2026-03-17,$1.82,$1.83,$1.73,$1.80,$1.81,-0.767,"$17,512,661",21.97,"$994,348,207",-1.04
2026-03-16,$1.93,$1.95,$1.83,$1.88,$1.83,-5.35,"$14,358,550",23.44,"$1,004,817,126",-5.15
2026-03-15,$1.90,$1.95,$1.84,$1.90,$1.93,1.67,"$11,632,330",42.19,"$1,059,349,242",1.66
2026-03-14,$1.86,$1.90,$1.83,$1.87,$1.90,1.83,"$8,180,974",-42.17,"$1,042,066,576",1.85
2026-03-13,$1.98,$2.01,$1.84,$1.92,$1.86,-6.14,"$14,145,977",21.72,"$1,023,160,782",-6.12
2026-03-12,$1.93,$1.99,$1.90,$1.95,$1.98,2.93,"$11,621,775",-3.42,"$1,089,875,193",2.18
2026-03-11,$1.95,$2.00,$1.94,$1.96,$1.94,-0.536,"$12,033,382",-52.87,"$1,066,646,528",-0.558
2026-03-10,$1.90,$2.08,$1.90,$1.96,$1.95,2.72,"$25,531,181",54.42,"$1,072,632,421",2.81
2026-03-09,$1.87,$1.96,$1.86,$1.90,$1.90,1.63,"$16,533,066",14.09,"$1,043,328,634",1.45
2026-03-08,$1.83,$1.93,$1.82,$1.86,$1.87,2.25,"$14,491,454",33.64,"$1,028,449,276",2.19
2026-03-07,$1.79,$1.85,$1.78,$1.82,$1.83,2.17,"$10,843,570",-26.60,"$1,006,381,029",2.04
2026-03-06,$1.94,$1.97,$1.77,$1.87,$1.80,-7.39,"$14,772,953",-13.66,"$986,213,494",-7.43
2026-03-05,$1.87,$1.97,$1.86,$1.91,$1.94,3.91,"$17,110,998",-18.96,"$1,065,356,152",3.94
2026-03-04,$1.96,$1.98,$1.87,$1.92,$1.87,-4.56,"$21,113,739",-46.29,"$1,024,987,013",-4.76
2026-03-03,$1.93,$2.00,$1.86,$1.94,$1.96,1.61,"$39,312,407",1.42,"$1,076,172,398",1.60
2026-03-02,$1.74,$1.97,$1.73,$1.84,$1.93,10.78,"$38,760,436",47.69,"$1,059,210,684",10.71
2026-03-01,$1.77,$1.82,$1.68,$1.75,$1.74,-1.28,"$26,245,108",-6.67,"$956,770,349",-1.25
2026-02-28,$1.84,$1.84,$1.72,$1.79,$1.77,-3.79,"$28,119,907",0.0118,"$968,901,725",-3.79
2026-02-27,$1.86,$1.89,$1.76,$1.84,$1.84,-1.06,"$28,116,581",-20.69,"$1,007,080,198",-0.971
2026-02-26,$1.83,$1.92,$1.81,$1.85,$1.85,1.50,"$35,450,274",-38.68,"$1,016,958,042",2.04
2026-02-25,$1.74,$1.95,$1.71,$1.81,$1.82,4.39,"$57,807,727",112.84,"$996,623,494",4.37
2026-02-24,$1.58,$1.76,$1.53,$1.65,$1.74,10.63,"$27,160,457",-1.58,"$954,859,585",10.78
2026-02-23,$1.60,$1.66,$1.52,$1.59,$1.57,-1.51,"$27,596,790",42.57,"$861,958,551",-1.33
2026-02-22,$1.62,$1.65,$1.56,$1.61,$1.59,-1.52,"$19,356,687",-25.51,"$873,544,506",-1.54
2026-02-21,$1.58,$1.65,$1.56,$1.60,$1.62,2.60,"$25,985,107",-35.78,"$887,197,359",2.45
2026-02-20,$1.38,$1.63,$1.38,$1.49,$1.58,14.50,"$40,461,492",164.24,"$865,981,088",14.28
2026-02-19,$1.46,$1.47,$1.35,$1.42,$1.38,-5.32,"$15,312,225",-36.42,"$757,795,753",-5.39
2026-02-18,$1.50,$1.53,$1.43,$1.48,$1.46,-2.33,"$24,084,005",3.39,"$800,998,265",-1.90
2026-02-17,$1.37,$1.49,$1.35,$1.43,$1.49,9.27,"$23,295,083",-2.19,"$816,542,453",9.40
2026-02-16,$1.33,$1.44,$1.33,$1.37,$1.37,2.38,"$23,815,569",1.12,"$746,383,090",2.42
2026-02-15,$1.40,$1.44,$1.28,$1.36,$1.33,-4.83,"$23,552,269",-47.46,"$728,758,982",-4.57
2026-02-14,$1.19,$1.40,$1.18,$1.29,$1.40,17.81,"$44,826,926",105.49,"$763,634,362",17.88
2026-02-13,$1.11,$1.22,$1.10,$1.15,$1.19,6.93,"$21,814,611",38.52,"$647,805,240",7.21
2026-02-12,$1.08,$1.12,$1.07,$1.09,$1.11,2.47,"$15,748,210",-0.986,"$604,233,933",2.51
2026-02-11,$1.14,$1.15,$1.07,$1.11,$1.08,-5.72,"$15,905,045",23.31,"$589,437,501",-5.74
2026-02-10,$1.16,$1.16,$1.11,$1.14,$1.14,-0.940,"$12,898,527",-26.83,"$625,299,912",-1.05
2026-02-09,$1.16,$1.16,$1.10,$1.15,$1.16,-0.00021,"$17,627,723",34.17,"$631,947,086",-0.195
2026-02-08,$1.17,$1.19,$1.15,$1.17,$1.16,-1.12,"$13,138,813",-47.18,"$633,180,365",-1.22
2026-02-07,$1.19,$1.20,$1.14,$1.17,$1.17,-1.18,"$24,872,940",-48.69,"$641,031,695",-1.21
2026-02-06,$1.02,$1.24,$0.974,$1.11,$1.19,16.04,"$48,477,983",21.09,"$648,888,896",15.66
2026-02-05,$1.20,$1.20,$1.02,$1.11,$1.03,-14.19,"$40,033,854",17.10,"$561,049,545",-14.20
2026-02-04,$1.25,$1.35,$1.20,$1.25,$1.20,-4.26,"$34,186,495",17.46,"$653,889,262",-4.36
2026-02-03,$1.24,$1.30,$1.20,$1.25,$1.25,1.42,"$29,103,623",-38.93,"$683,725,278",1.85
2026-02-02,$1.11,$1.29,$1.07,$1.18,$1.23,10.99,"$47,658,445",16.07,"$671,298,257",10.95
2026-02-01,$1.14,$1.16,$1.09,$1.12,$1.11,-2.45,"$41,058,601",-4.87,"$605,038,147",-2.41
2026-01-31,$1.21,$1.22,$1.09,$1.16,$1.14,-5.83,"$43,160,902",108.33,"$619,970,492",-5.79
2026-01-30,$1.20,$1.22,$1.19,$1.20,$1.21,0.434,"$20,717,617",13.57,"$658,049,093",0.615
2026-01-29,$1.21,$1.21,$1.18,$1.20,$1.20,-0.653,"$18,241,788",50.08,"$654,029,554",-0.604
2026-01-28,$1.20,$1.23,$1.19,$1.21,$1.21,1.04,"$12,154,651",-2.15,"$658,001,217",0.914
2026-01-27,$1.24,$1.25,$1.19,$1.22,$1.20,-3.82,"$12,421,755",-41.16,"$652,043,087",-4.01
2026-01-26,$1.14,$1.26,$1.14,$1.20,$1.25,9.00,"$21,111,557",50.12,"$679,250,393",9.09
2026-01-25,$1.20,$1.20,$1.12,$1.17,$1.14,-4.37,"$14,063,013",306.32,"$622,661,798",-4.36
2026-01-24,$1.19,$1.20,$1.19,$1.20,$1.20,0.140,"$3,461,031",-75.25,"$651,021,563",0.183
2026-01-23,$1.19,$1.21,$1.18,$1.19,$1.19,-0.0396,"$13,985,095",-10.53,"$649,835,047",0.0484
2026-01-22,$1.18,$1.21,$1.17,$1.19,$1.19,1.29,"$15,631,297",-12.59,"$649,520,406",1.18
2026-01-21,$1.14,$1.20,$1.12,$1.16,$1.18,3.32,"$17,883,311",-9.11,"$641,937,403",3.36
2026-01-20,$1.29,$1.29,$1.14,$1.21,$1.14,-11.34,"$19,675,013",31.87,"$621,052,854",-11.34
2026-01-19,$1.32,$1.32,$1.26,$1.29,$1.29,-2.14,"$14,920,495",85.09,"$700,451,826",-2.65
2026-01-18,$1.31,$1.37,$1.31,$1.33,$1.32,1.09,"$8,061,245",47.75,"$719,482,447",1.08
2026-01-17,$1.35,$1.35,$1.31,$1.33,$1.31,-3.19,"$5,455,944",-44.55,"$711,789,055",-3.17
2026-01-16,$1.40,$1.40,$1.34,$1.37,$1.35,-3.24,"$9,839,238",-46.91,"$735,099,219",-3.19
2026-01-15,$1.41,$1.43,$1.37,$1.40,$1.40,-0.842,"$18,533,249",14.21,"$759,357,619",-0.825
2026-01-14,$1.38,$1.42,$1.38,$1.40,$1.41,2.30,"$16,226,743",-6.43,"$765,675,148",2.44
2026-01-13,$1.29,$1.38,$1.29,$1.33,$1.38,6.88,"$17,341,230",30.67,"$747,458,547",6.83
2026-01-12,$1.29,$1.32,$1.28,$1.29,$1.29,-0.346,"$13,271,307",67.97,"$699,657,018",-0.340
2026-01-11,$1.29,$1.30,$1.28,$1.29,$1.29,0.0471,"$7,901,162",-49.71,"$702,043,731",0.0245
2026-01-10,$1.25,$1.33,$1.25,$1.28,$1.29,3.35,"$15,711,454",3.74,"$701,871,902",3.38
2026-01-09,$1.21,$1.26,$1.20,$1.23,$1.25,3.10,"$15,145,674",-0.283,"$678,933,723",2.98
2026-01-08,$1.24,$1.24,$1.18,$1.22,$1.21,-2.19,"$15,188,621",-3.90,"$659,300,818",-2.09
2026-01-07,$1.27,$1.28,$1.21,$1.25,$1.24,-2.71,"$15,804,807",-23.96,"$673,353,785",-2.47
2026-01-06,$1.22,$1.31,$1.20,$1.25,$1.27,4.39,"$20,783,605",8.27,"$690,379,313",4.44
2026-01-05,$1.16,$1.23,$1.14,$1.19,$1.22,4.93,"$19,196,561",31.21,"$661,051,759",5.06
2026-01-04,$1.14,$1.21,$1.14,$1.16,$1.16,1.80,"$14,630,296",10.79,"$629,187,876",1.80
2026-01-03,$1.13,$1.15,$1.11,$1.13,$1.14,1.23,"$13,205,643",-16.31,"$618,051,861",1.24
2026-01-02,$1.10,$1.13,$1.09,$1.11,$1.13,2.31,"$15,779,666",62.75,"$610,483,904",2.43
2026-01-01,$1.09,$1.11,$1.09,$1.10,$1.10,0.818,"$9,695,387",-10.01,"$596,024,579",0.960
