Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$1.18,$1.19,$1.16,$1.18,$1.19,0.759,"$69,207,270",-47.03,"$1,534,995,145",0.830
2026-03-27,$1.22,$1.24,$1.17,$1.20,$1.18,-3.69,"$130,652,856",11.21,"$1,522,363,297",-3.52
2026-03-26,$1.28,$1.28,$1.20,$1.24,$1.22,-4.18,"$117,488,217",1.50,"$1,577,840,527",-4.43
2026-03-25,$1.29,$1.31,$1.27,$1.29,$1.28,-0.976,"$115,750,631",29.32,"$1,650,898,474",-1.02
2026-03-24,$1.31,$1.33,$1.28,$1.30,$1.29,-1.52,"$89,509,042",-27.35,"$1,667,827,210",-1.54
2026-03-23,$1.27,$1.33,$1.26,$1.29,$1.31,3.01,"$123,197,950",55.42,"$1,693,889,731",2.92
2026-03-22,$1.29,$1.30,$1.27,$1.28,$1.27,-0.802,"$79,266,250",86.12,"$1,645,779,589",-1.92
2026-03-21,$1.32,$1.33,$1.30,$1.31,$1.30,-1.28,"$42,589,803",-57.25,"$1,677,925,404",-1.31
2026-03-20,$1.34,$1.36,$1.31,$1.33,$1.32,-1.35,"$99,614,608",-6.48,"$1,700,154,659",-1.16
2026-03-19,$1.39,$1.39,$1.32,$1.36,$1.33,-3.84,"$106,519,608",-27.58,"$1,720,072,035",-3.72
2026-03-18,$1.45,$1.47,$1.38,$1.42,$1.38,-4.77,"$147,077,875",8.01,"$1,786,441,852",-4.82
2026-03-17,$1.49,$1.50,$1.43,$1.47,$1.45,-2.41,"$136,171,969",-32.18,"$1,876,831,726",-2.59
2026-03-16,$1.35,$1.50,$1.34,$1.42,$1.49,10.59,"$200,774,156",100.92,"$1,926,792,971",10.95
2026-03-15,$1.33,$1.37,$1.32,$1.34,$1.35,1.50,"$99,928,018",54.09,"$1,736,628,594",1.52
2026-03-14,$1.34,$1.34,$1.30,$1.33,$1.33,-0.773,"$64,848,572",-67.94,"$1,710,659,255",-0.875
2026-03-13,$1.37,$1.42,$1.33,$1.36,$1.34,-2.18,"$202,248,370",21.54,"$1,725,756,704",-2.17
2026-03-12,$1.30,$1.37,$1.28,$1.33,$1.37,5.27,"$166,399,129",53.79,"$1,764,039,922",5.40
2026-03-11,$1.28,$1.32,$1.27,$1.29,$1.30,1.08,"$108,202,204",-18.49,"$1,673,670,600",1.10
2026-03-10,$1.23,$1.33,$1.23,$1.27,$1.28,4.15,"$132,745,461",12.32,"$1,655,380,422",4.18
2026-03-09,$1.21,$1.28,$1.21,$1.23,$1.23,1.62,"$118,181,423",29.22,"$1,589,024,180",1.66
2026-03-08,$1.21,$1.25,$1.20,$1.22,$1.21,-0.204,"$91,459,301",69.37,"$1,563,085,265",-0.196
2026-03-07,$1.23,$1.25,$1.21,$1.22,$1.21,-0.945,"$53,999,828",-48.44,"$1,566,158,344",-0.943
2026-03-06,$1.27,$1.29,$1.22,$1.25,$1.23,-3.81,"$104,739,086",-23.14,"$1,581,062,059",-3.98
2026-03-05,$1.31,$1.32,$1.25,$1.29,$1.28,-2.63,"$136,271,386",-33.55,"$1,646,593,230",-2.65
2026-03-04,$1.36,$1.41,$1.31,$1.34,$1.31,-3.30,"$205,085,827",-35.42,"$1,691,335,862",-3.45
2026-03-03,$1.36,$1.45,$1.32,$1.37,$1.36,-0.407,"$317,565,219",-13.22,"$1,751,738,237",-0.341
2026-03-02,$1.15,$1.40,$1.15,$1.27,$1.36,18.72,"$365,924,684",182.94,"$1,757,733,792",18.63
2026-03-01,$1.17,$1.21,$1.12,$1.16,$1.15,-1.68,"$129,330,705",-9.44,"$1,481,669,800",-1.37
2026-02-28,$1.09,$1.17,$1.04,$1.12,$1.17,6.61,"$142,811,925",35.21,"$1,502,310,552",6.63
2026-02-27,$1.13,$1.15,$1.08,$1.11,$1.09,-3.02,"$105,622,002",4.57,"$1,408,838,169",-3.13
2026-02-26,$1.17,$1.18,$1.09,$1.14,$1.13,-3.73,"$101,007,155",-45.68,"$1,454,407,050",-3.52
2026-02-25,$0.967,$1.25,$0.967,$1.09,$1.17,20.93,"$185,944,743",243.95,"$1,507,534,941",20.88
2026-02-24,$0.980,$0.990,$0.959,$0.974,$0.968,-1.29,"$54,061,876",-21.70,"$1,247,127,857",-1.17
2026-02-23,$1.02,$1.03,$0.967,$0.9983,$0.979,-4.09,"$69,041,967",54.80,"$1,261,851,183",-3.70
2026-02-22,$1.06,$1.06,$1.0063,$1.03,$1.02,-3.79,"$44,600,408",-42.39,"$1,310,392,688",-4.04
2026-02-21,$1.05,$1.10,$1.04,$1.07,$1.06,0.655,"$77,423,769",-8.73,"$1,365,617,196",0.829
2026-02-20,$1.0063,$1.05,$1.0020,$1.03,$1.05,4.47,"$84,832,091",14.84,"$1,354,385,539",4.53
2026-02-19,$1.02,$1.02,$0.984,$1.0067,$1.0058,-0.978,"$73,867,946",-5.55,"$1,295,660,631",-0.682
2026-02-18,$1.04,$1.06,$1.0075,$1.03,$1.01,-2.97,"$78,208,894",-9.61,"$1,304,552,999",-2.96
2026-02-17,$1.06,$1.07,$1.03,$1.05,$1.04,-1.31,"$86,520,764",-15.60,"$1,344,284,909",-1.32
2026-02-16,$1.06,$1.07,$1.03,$1.05,$1.06,0.249,"$102,513,981",2.82,"$1,362,208,855",0.269
2026-02-15,$1.08,$1.09,$1.04,$1.07,$1.05,-2.71,"$99,704,323",11.98,"$1,358,558,715",-2.78
2026-02-14,$1.02,$1.10,$1.02,$1.06,$1.09,6.09,"$89,039,689",13.21,"$1,397,396,429",6.14
2026-02-13,$0.963,$1.03,$0.957,$0.9927,$1.02,6.19,"$78,647,586",-8.92,"$1,316,511,476",6.27
2026-02-12,$0.962,$1.0072,$0.937,$0.967,$0.962,0.0208,"$86,351,059",-9.41,"$1,238,818,807",0.218
2026-02-11,$0.9917,$1.00061,$0.943,$0.974,$0.960,-3.19,"$95,320,998",24.47,"$1,236,125,053",-3.16
2026-02-10,$1.03,$1.04,$0.983,$1.0097,$0.9915,-3.65,"$76,580,925",18.60,"$1,276,471,624",-3.79
2026-02-09,$1.04,$1.05,$0.987,$1.03,$1.03,-0.793,"$64,572,700",33.68,"$1,326,772,825",-0.953
2026-02-08,$1.07,$1.08,$1.03,$1.06,$1.04,-3.02,"$48,303,309",-48.85,"$1,339,541,937",-3.16
2026-02-07,$1.09,$1.10,$1.04,$1.07,$1.07,-1.07,"$94,436,882",-53.43,"$1,383,204,152",-1.09
2026-02-06,$0.976,$1.11,$0.867,$1.0090,$1.09,11.38,"$202,806,136",-3.51,"$1,398,515,693",11.22
2026-02-05,$1.16,$1.16,$0.972,$1.07,$0.977,-15.78,"$210,183,771",85.27,"$1,257,382,369",-15.90
2026-02-04,$1.17,$1.20,$1.13,$1.17,$1.16,-0.937,"$113,445,144",-6.83,"$1,495,175,081",-0.836
2026-02-03,$1.20,$1.22,$1.13,$1.18,$1.17,-2.25,"$121,763,606",-12.73,"$1,507,773,604",-2.22
2026-02-02,$1.17,$1.23,$1.14,$1.19,$1.20,2.04,"$139,525,982",20.27,"$1,542,018,365",1.95
2026-02-01,$1.20,$1.21,$1.15,$1.19,$1.18,-2.42,"$116,009,075",-30.91,"$1,512,593,853",-2.34
2026-01-31,$1.32,$1.33,$1.15,$1.25,$1.20,-8.59,"$167,911,167",12.13,"$1,548,843,055",-8.59
2026-01-30,$1.37,$1.38,$1.30,$1.34,$1.32,-4.09,"$149,747,268",34.24,"$1,694,300,619",-4.06
2026-01-29,$1.49,$1.49,$1.35,$1.42,$1.37,-7.64,"$111,551,196",44.23,"$1,766,060,587",-7.79
2026-01-28,$1.49,$1.49,$1.46,$1.48,$1.49,0.0256,"$77,343,696",10.48,"$1,915,274,488",-0.132
2026-01-27,$1.46,$1.50,$1.45,$1.48,$1.49,1.90,"$70,005,515",5.16,"$1,917,801,686",1.73
2026-01-26,$1.43,$1.48,$1.43,$1.45,$1.47,2.31,"$66,567,856",-16.07,"$1,885,110,653",2.23
2026-01-25,$1.50,$1.51,$1.41,$1.47,$1.43,-4.67,"$79,317,206",106.81,"$1,844,004,059",-4.60
2026-01-24,$1.51,$1.52,$1.49,$1.50,$1.50,-0.288,"$38,352,387",-45.67,"$1,932,824,787",-0.238
2026-01-23,$1.51,$1.54,$1.49,$1.51,$1.51,-0.307,"$70,587,641",-5.90,"$1,937,442,677",-0.193
2026-01-22,$1.53,$1.56,$1.50,$1.52,$1.51,-1.09,"$75,014,689",-33.66,"$1,941,190,377",-1.20
2026-01-21,$1.50,$1.57,$1.49,$1.52,$1.53,1.56,"$113,084,043",-12.08,"$1,964,794,548",1.64
2026-01-20,$1.60,$1.60,$1.50,$1.55,$1.50,-5.84,"$128,614,624",-33.41,"$1,933,086,704",-5.94
2026-01-19,$1.63,$1.63,$1.55,$1.60,$1.60,-2.21,"$193,158,494",120.07,"$2,055,084,436",-2.94
2026-01-18,$1.75,$1.76,$1.65,$1.70,$1.65,-5.86,"$87,772,615",0.835,"$2,117,322,968",-5.80
2026-01-17,$1.73,$1.80,$1.72,$1.75,$1.75,1.02,"$87,045,748",-6.23,"$2,247,658,084",1.07
2026-01-16,$1.72,$1.75,$1.68,$1.72,$1.73,0.553,"$92,831,184",-20.81,"$2,223,783,591",0.607
2026-01-15,$1.80,$1.81,$1.71,$1.76,$1.72,-4.50,"$117,226,940",-16.12,"$2,210,359,265",-4.57
2026-01-14,$1.85,$1.87,$1.79,$1.83,$1.80,-2.78,"$139,754,140",-28.20,"$2,316,236,659",-2.66
2026-01-13,$1.67,$1.89,$1.67,$1.77,$1.85,10.61,"$194,642,153",48.41,"$2,379,546,593",10.71
