Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.269,$0.278,$0.261,$0.271,$0.277,2.77,"$63,855,151",-51.34,"$1,347,206,621",2.80
2026-03-27,$0.269,$0.290,$0.260,$0.272,$0.269,0.0101,"$131,219,776",80.62,"$1,310,528,752",-0.306
2026-03-26,$0.266,$0.273,$0.255,$0.266,$0.270,1.59,"$72,649,283",28.26,"$1,314,545,192",1.68
2026-03-25,$0.256,$0.267,$0.253,$0.261,$0.266,3.63,"$56,641,949",18.05,"$1,292,877,132",3.57
2026-03-24,$0.254,$0.259,$0.248,$0.254,$0.256,1.05,"$47,980,671",18.59,"$1,248,278,098",1.12
2026-03-23,$0.245,$0.260,$0.243,$0.250,$0.254,3.28,"$40,459,609",43.92,"$1,234,409,704",3.17
2026-03-22,$0.254,$0.255,$0.243,$0.250,$0.246,-3.32,"$28,112,880",98.35,"$1,196,474,769",-4.11
2026-03-21,$0.260,$0.261,$0.256,$0.259,$0.256,-1.58,"$14,173,413",-48.27,"$1,247,717,680",-1.58
2026-03-20,$0.258,$0.264,$0.256,$0.259,$0.260,1.02,"$27,399,765",-5.94,"$1,267,741,145",1.17
2026-03-19,$0.267,$0.269,$0.253,$0.262,$0.257,-3.63,"$29,128,634",-18.78,"$1,253,093,739",-3.57
2026-03-18,$0.281,$0.285,$0.263,$0.274,$0.267,-5.12,"$35,862,630",0.608,"$1,299,492,972",-5.09
2026-03-17,$0.289,$0.291,$0.279,$0.285,$0.281,-2.72,"$35,645,933",-35.17,"$1,369,191,902",-2.86
2026-03-16,$0.271,$0.291,$0.269,$0.280,$0.289,6.91,"$54,985,952",94.97,"$1,409,575,269",7.32
2026-03-15,$0.263,$0.272,$0.261,$0.266,$0.270,2.66,"$28,202,258",42.41,"$1,313,490,160",2.72
2026-03-14,$0.263,$0.265,$0.258,$0.262,$0.263,-0.189,"$19,803,128",-56.42,"$1,278,768,471",-0.179
2026-03-13,$0.259,$0.277,$0.259,$0.265,$0.263,1.39,"$45,437,491",81.51,"$1,281,058,656",1.35
2026-03-12,$0.256,$0.260,$0.251,$0.257,$0.260,1.54,"$25,033,600",2.34,"$1,263,985,296",1.51
2026-03-11,$0.255,$0.261,$0.252,$0.256,$0.256,0.267,"$24,461,471",-28.28,"$1,245,239,353",0.334
2026-03-10,$0.251,$0.265,$0.251,$0.255,$0.255,1.69,"$34,107,184",5.86,"$1,241,093,584",1.76
2026-03-09,$0.244,$0.256,$0.244,$0.248,$0.250,2.73,"$32,218,470",25.04,"$1,219,628,580",2.70
2026-03-08,$0.249,$0.251,$0.243,$0.247,$0.244,-2.02,"$25,766,386",21.93,"$1,187,565,360",-1.98
2026-03-07,$0.256,$0.256,$0.248,$0.252,$0.249,-2.63,"$21,132,857",-35.08,"$1,211,591,592",-2.66
2026-03-06,$0.265,$0.269,$0.252,$0.260,$0.256,-3.46,"$32,552,282",-12.18,"$1,244,664,436",-3.43
2026-03-05,$0.269,$0.272,$0.260,$0.267,$0.265,-1.75,"$37,066,943",-37.10,"$1,288,843,432",-1.77
2026-03-04,$0.256,$0.277,$0.253,$0.264,$0.269,5.32,"$58,929,474",85.97,"$1,312,026,913",5.03
2026-03-03,$0.258,$0.258,$0.249,$0.255,$0.257,-0.578,"$31,687,833",-25.36,"$1,249,146,313",-0.588
2026-03-02,$0.252,$0.269,$0.250,$0.257,$0.258,2.33,"$42,453,222",-3.15,"$1,256,538,302",2.33
2026-03-01,$0.262,$0.272,$0.248,$0.258,$0.252,-3.59,"$43,834,697",-8.97,"$1,227,948,837",-3.52
2026-02-28,$0.257,$0.264,$0.240,$0.256,$0.261,1.72,"$48,155,896",37.55,"$1,272,814,888",1.70
2026-02-27,$0.266,$0.272,$0.254,$0.262,$0.257,-3.35,"$35,009,714",-23.03,"$1,251,531,776",-3.40
2026-02-26,$0.275,$0.276,$0.260,$0.269,$0.266,-3.31,"$45,484,945",-27.55,"$1,295,594,250",-2.86
2026-02-25,$0.246,$0.290,$0.246,$0.264,$0.274,11.15,"$62,777,180",44.67,"$1,333,781,534",11.12
2026-02-24,$0.249,$0.251,$0.242,$0.247,$0.246,-0.831,"$43,393,906",17.49,"$1,200,266,764",-0.678
2026-02-23,$0.262,$0.262,$0.247,$0.255,$0.248,-5.32,"$36,934,788",72.25,"$1,208,460,405",-5.12
2026-02-22,$0.267,$0.267,$0.256,$0.263,$0.262,-2.08,"$21,442,020",1.90,"$1,273,658,602",-2.13
2026-02-21,$0.268,$0.274,$0.266,$0.269,$0.267,-0.0993,"$21,043,041",-37.49,"$1,301,399,393",-0.0651
2026-02-20,$0.262,$0.271,$0.257,$0.264,$0.267,2.22,"$33,662,412",27.93,"$1,302,247,778",2.19
2026-02-19,$0.265,$0.268,$0.256,$0.263,$0.262,-1.07,"$26,314,062",-4.71,"$1,274,375,288",-1.05
2026-02-18,$0.275,$0.279,$0.263,$0.270,$0.264,-3.67,"$27,613,794",10.95,"$1,287,872,533",-3.68
2026-02-17,$0.278,$0.282,$0.271,$0.276,$0.275,-1.27,"$24,888,284",-9.82,"$1,337,025,588",-1.23
2026-02-16,$0.276,$0.281,$0.270,$0.276,$0.278,0.835,"$27,597,380",-41.86,"$1,353,621,390",0.834
2026-02-15,$0.294,$0.296,$0.271,$0.284,$0.276,-6.29,"$47,467,748",-10.63,"$1,342,428,449",-6.35
2026-02-14,$0.264,$0.296,$0.264,$0.279,$0.294,11.66,"$53,116,165",77.71,"$1,433,520,723",11.71
2026-02-13,$0.251,$0.265,$0.246,$0.256,$0.264,4.95,"$29,889,799",-28.07,"$1,283,198,822",5.00
2026-02-12,$0.241,$0.259,$0.241,$0.248,$0.251,3.99,"$41,556,024",-18.39,"$1,222,069,419",4.18
2026-02-11,$0.247,$0.250,$0.237,$0.244,$0.241,-2.59,"$50,921,325",42.92,"$1,172,993,041",-2.60
2026-02-10,$0.250,$0.253,$0.244,$0.249,$0.247,-1.23,"$35,629,693",-43.10,"$1,204,245,605",-1.42
2026-02-09,$0.258,$0.258,$0.241,$0.252,$0.251,-2.74,"$62,613,219",45.25,"$1,221,568,881",-2.87
2026-02-08,$0.262,$0.263,$0.254,$0.259,$0.258,-1.54,"$43,106,699",-39.23,"$1,257,720,709",-1.81
2026-02-07,$0.258,$0.268,$0.248,$0.259,$0.263,1.81,"$70,935,796",-51.61,"$1,280,967,941",1.78
2026-02-06,$0.225,$0.268,$0.208,$0.240,$0.258,14.97,"$146,589,543",31.70,"$1,258,528,808",14.87
2026-02-05,$0.270,$0.271,$0.224,$0.248,$0.225,-16.79,"$111,308,876",70.32,"$1,095,602,462",-16.87
2026-02-04,$0.278,$0.285,$0.265,$0.275,$0.271,-2.62,"$65,353,082",-25.56,"$1,317,987,193",-2.44
2026-02-03,$0.284,$0.293,$0.269,$0.281,$0.277,-2.25,"$87,794,159",19.37,"$1,350,935,348",-2.29
2026-02-02,$0.275,$0.288,$0.266,$0.278,$0.284,3.19,"$73,550,790",36.38,"$1,382,583,164",3.07
2026-02-01,$0.287,$0.291,$0.272,$0.281,$0.275,-4.11,"$53,932,429",-38.53,"$1,341,438,151",-4.07
2026-01-31,$0.311,$0.314,$0.268,$0.295,$0.287,-7.72,"$87,732,492",27.62,"$1,398,373,258",-7.73
2026-01-30,$0.315,$0.319,$0.303,$0.312,$0.311,-1.11,"$68,744,917",3.00,"$1,515,470,639",-1.12
2026-01-29,$0.346,$0.346,$0.307,$0.328,$0.315,-8.91,"$66,745,225",8.00,"$1,532,635,539",-9.00
2026-01-28,$0.341,$0.350,$0.335,$0.343,$0.346,1.58,"$61,800,710",40.84,"$1,684,240,756",1.42
2026-01-27,$0.332,$0.341,$0.324,$0.335,$0.341,2.80,"$43,880,798",-5.69,"$1,660,665,000",2.61
2026-01-26,$0.322,$0.338,$0.322,$0.329,$0.332,3.13,"$46,527,416",-8.21,"$1,618,423,051",3.09
2026-01-25,$0.343,$0.343,$0.318,$0.332,$0.322,-6.11,"$50,689,637",96.87,"$1,569,866,779",-6.10
2026-01-24,$0.346,$0.348,$0.343,$0.345,$0.343,-0.844,"$25,748,031",-59.27,"$1,671,900,581",-0.769
2026-01-23,$0.342,$0.360,$0.342,$0.347,$0.346,1.29,"$63,223,192",53.29,"$1,684,854,301",1.50
2026-01-22,$0.339,$0.346,$0.335,$0.340,$0.341,0.526,"$41,243,062",-35.47,"$1,659,914,030",0.452
2026-01-21,$0.329,$0.347,$0.326,$0.335,$0.339,3.28,"$63,912,666",12.69,"$1,652,450,301",3.34
2026-01-20,$0.348,$0.349,$0.328,$0.338,$0.328,-5.68,"$56,714,042",-47.70,"$1,599,077,338",-5.73
2026-01-19,$0.355,$0.355,$0.335,$0.349,$0.348,-1.97,"$108,433,147",54.29,"$1,696,240,918",-2.27
2026-01-18,$0.385,$0.389,$0.356,$0.372,$0.356,-7.35,"$70,278,862",73.64,"$1,735,678,518",42.87
2026-01-17,$0.384,$0.397,$0.383,$0.387,$0.385,0.250,"$40,474,231",1.58,"$1,214,880,019",0.269
2026-01-16,$0.380,$0.386,$0.372,$0.380,$0.384,0.914,"$39,845,573",-44.87,"$1,211,625,006",0.902
2026-01-15,$0.401,$0.401,$0.376,$0.390,$0.380,-5.26,"$72,280,608",-17.85,"$1,200,791,783",-5.31
2026-01-14,$0.415,$0.419,$0.400,$0.409,$0.401,-3.38,"$87,988,957",13.25,"$1,268,178,634",-3.21
2026-01-13,$0.387,$0.421,$0.385,$0.402,$0.415,7.29,"$77,692,688",62.48,"$1,310,216,462",7.33
2026-01-12,$0.398,$0.407,$0.386,$0.395,$0.386,-2.97,"$47,817,358",52.00,"$1,220,758,793",-2.83
2026-01-11,$0.399,$0.404,$0.394,$0.399,$0.398,-0.434,"$31,459,663",27.88,"$1,256,365,548",-0.476
2026-01-10,$0.402,$0.406,$0.398,$0.401,$0.400,-0.580,"$24,600,135",-54.85,"$1,262,370,064",-0.601
2026-01-09,$0.407,$0.412,$0.398,$0.405,$0.402,-1.18,"$54,482,449",-7.93,"$1,269,999,610",-1.29
2026-01-08,$0.422,$0.425,$0.402,$0.414,$0.407,-3.50,"$59,175,700",-1.55,"$1,286,610,791",-3.46
2026-01-07,$0.457,$0.460,$0.419,$0.440,$0.422,-7.78,"$60,105,376",-32.91,"$1,332,686,573",-7.80
2026-01-06,$0.455,$0.470,$0.436,$0.455,$0.458,0.505,"$89,587,325",24.55,"$1,445,390,548",0.419
2026-01-05,$0.438,$0.462,$0.433,$0.447,$0.456,4.01,"$71,930,184",22.96,"$1,439,359,180",4.06
2026-01-04,$0.427,$0.444,$0.427,$0.434,$0.438,2.45,"$58,499,654",38.20,"$1,383,264,078",2.42
2026-01-03,$0.423,$0.429,$0.412,$0.423,$0.428,1.16,"$42,330,288",-37.53,"$1,350,597,341",1.24
2026-01-02,$0.387,$0.426,$0.384,$0.405,$0.422,9.20,"$67,759,600",93.53,"$1,334,086,129",9.31
2026-01-01,$0.358,$0.387,$0.355,$0.372,$0.386,7.82,"$35,011,790",-14.05,"$1,220,471,072",7.84
2025-12-31,$0.374,$0.377,$0.358,$0.367,$0.358,-4.29,"$40,734,963",21.89,"$1,131,768,156",-4.27
2025-12-30,$0.377,$0.381,$0.373,$0.376,$0.374,-0.612,"$33,420,685",-16.13,"$1,182,218,860",-0.606
2025-12-29,$0.387,$0.399,$0.376,$0.385,$0.377,-2.71,"$39,847,754",82.18,"$1,189,430,304",-2.74
2025-12-28,$0.387,$0.392,$0.383,$0.387,$0.387,-0.0635,"$21,872,246",1.32,"$1,222,944,234",0.00699
2025-12-27,$0.375,$0.387,$0.373,$0.381,$0.387,3.12,"$21,587,285",-34.10,"$1,222,858,793",3.12
2025-12-26,$0.368,$0.383,$0.367,$0.374,$0.375,2.01,"$32,757,534",33.75,"$1,185,880,215",2.06
2025-12-25,$0.376,$0.383,$0.368,$0.374,$0.368,-2.22,"$24,492,508",-20.50,"$1,161,973,489",-2.21
2025-12-24,$0.386,$0.389,$0.374,$0.381,$0.376,-2.67,"$30,808,580",-14.73,"$1,188,265,489",-2.72
2025-12-23,$0.393,$0.396,$0.383,$0.390,$0.387,-1.59,"$36,129,523",-16.23,"$1,221,438,398",-1.55
2025-12-22,$0.390,$0.403,$0.388,$0.394,$0.393,0.583,"$43,130,751",38.58,"$1,240,681,743",0.633
2025-12-21,$0.399,$0.399,$0.381,$0.392,$0.390,-2.17,"$31,123,322",32.52,"$1,232,875,456",-2.16
2025-12-20,$0.397,$0.402,$0.394,$0.398,$0.399,0.351,"$23,486,036",-60.27,"$1,260,042,363",0.318
2025-12-19,$0.369,$0.400,$0.361,$0.382,$0.398,7.87,"$59,120,707",-9.47,"$1,256,052,443",7.85
2025-12-18,$0.390,$0.404,$0.367,$0.382,$0.369,-5.38,"$65,307,297",15.53,"$1,164,627,460",-5.36
2025-12-17,$0.415,$0.422,$0.387,$0.403,$0.390,-6.06,"$56,529,857",-12.66,"$1,230,593,532",-5.93
2025-12-16,$0.416,$0.417,$0.402,$0.412,$0.414,-0.563,"$64,720,975",-11.31,"$1,308,168,864",-0.504
2025-12-15,$0.442,$0.455,$0.403,$0.429,$0.416,-5.81,"$72,977,497",84.16,"$1,314,801,895",-5.78
2025-12-14,$0.464,$0.465,$0.441,$0.453,$0.442,-4.71,"$39,626,352",73.05,"$1,395,460,241",-4.74
2025-12-13,$0.459,$0.464,$0.459,$0.461,$0.464,1.07,"$22,898,361",-65.27,"$1,464,855,943",1.06
2025-12-12,$0.474,$0.479,$0.450,$0.465,$0.459,-3.16,"$65,937,688",-7.46,"$1,449,437,060",-3.19
2025-12-11,$0.490,$0.490,$0.462,$0.479,$0.474,-3.28,"$71,250,164",-10.62,"$1,497,127,979",-3.32
2025-12-10,$0.500,$0.513,$0.490,$0.498,$0.490,-1.90,"$79,716,691",-11.36,"$1,548,576,188",-1.83
2025-12-09,$0.485,$0.517,$0.473,$0.494,$0.499,3.06,"$89,933,268",-32.26,"$1,577,409,176",3.13
2025-12-08,$0.455,$0.498,$0.455,$0.473,$0.484,6.37,"$132,768,597",197.50,"$1,529,598,397",6.62
2025-12-07,$0.468,$0.477,$0.449,$0.462,$0.454,-2.93,"$44,628,362",70.73,"$1,434,567,356",-2.87
2025-12-06,$0.463,$0.469,$0.462,$0.466,$0.468,0.865,"$26,139,673",-36.70,"$1,476,901,777",0.836
2025-12-05,$0.491,$0.493,$0.457,$0.476,$0.464,-5.64,"$41,296,230",-21.13,"$1,464,659,557",-5.63
2025-12-04,$0.515,$0.517,$0.485,$0.502,$0.491,-4.54,"$52,358,168",-19.73,"$1,552,079,969",-4.61
2025-12-03,$0.502,$0.519,$0.499,$0.509,$0.515,2.51,"$65,224,065",3.02,"$1,627,089,258",2.52
2025-12-02,$0.463,$0.514,$0.456,$0.484,$0.502,8.56,"$63,311,139",-16.81,"$1,587,153,095",8.40
2025-12-01,$0.505,$0.505,$0.450,$0.481,$0.463,-8.25,"$76,106,933",161.40,"$1,464,121,435",-8.47
2025-11-30,$0.510,$0.521,$0.506,$0.511,$0.506,-0.720,"$29,114,949",6.16,"$1,599,601,705",-0.760
2025-11-29,$0.516,$0.519,$0.507,$0.513,$0.510,-1.09,"$27,425,591",-39.76,"$1,611,853,920",-1.12
2025-11-28,$0.522,$0.533,$0.513,$0.521,$0.516,-1.07,"$45,524,565",-20.78,"$1,630,168,153",-1.07
2025-11-27,$0.517,$0.539,$0.516,$0.523,$0.522,0.884,"$57,467,915",-7.45,"$1,647,845,517",0.9980
2025-11-26,$0.506,$0.520,$0.493,$0.509,$0.516,2.15,"$62,094,183",1.09,"$1,631,563,063",2.11
2025-11-25,$0.500,$0.509,$0.489,$0.501,$0.506,1.24,"$61,426,994",-4.08,"$1,597,855,624",1.17
2025-11-24,$0.475,$0.507,$0.469,$0.488,$0.500,5.17,"$64,038,037",28.55,"$1,579,338,872",5.15
2025-11-23,$0.462,$0.484,$0.461,$0.471,$0.475,2.82,"$49,816,690",-5.39,"$1,502,052,591",2.82
2025-11-22,$0.466,$0.471,$0.453,$0.463,$0.462,-0.815,"$52,654,691",-64.16,"$1,460,823,059",-0.913
2025-11-21,$0.502,$0.506,$0.448,$0.481,$0.467,-6.96,"$146,904,784",56.43,"$1,474,288,556",-7.21
2025-11-20,$0.528,$0.546,$0.496,$0.518,$0.503,-4.80,"$93,908,670",-9.44,"$1,588,800,980",-4.71
2025-11-19,$0.546,$0.547,$0.503,$0.531,$0.528,-3.26,"$103,702,371",33.49,"$1,667,264,649",-3.25
2025-11-18,$0.531,$0.553,$0.521,$0.538,$0.546,2.80,"$77,682,664",18.05,"$1,723,346,912",2.91
2025-11-17,$0.559,$0.568,$0.521,$0.544,$0.530,-5.11,"$65,802,098",18.75,"$1,674,628,251",-5.33
2025-11-16,$0.583,$0.591,$0.547,$0.570,$0.560,-3.95,"$55,410,408",33.44,"$1,768,902,840",-4.10
2025-11-15,$0.576,$0.592,$0.576,$0.582,$0.584,1.35,"$41,524,156",-53.48,"$1,844,567,114",1.18
2025-11-14,$0.615,$0.615,$0.573,$0.595,$0.577,-6.10,"$89,261,368",13.89,"$1,823,046,080",-6.48
2025-11-13,$0.637,$0.662,$0.595,$0.628,$0.617,-3.10,"$78,375,744",34.81,"$1,949,293,344",-3.06
2025-11-12,$0.649,$0.675,$0.631,$0.648,$0.637,-1.94,"$58,139,541",-8.02,"$2,010,891,215",-2.01
2025-11-11,$0.692,$0.701,$0.649,$0.673,$0.650,-6.07,"$63,210,110",-21.46,"$2,052,077,452",-6.06
2025-11-10,$0.671,$0.700,$0.669,$0.683,$0.691,3.11,"$80,481,912",46.56,"$2,184,342,745",3.33
2025-11-09,$0.660,$0.676,$0.634,$0.660,$0.669,1.37,"$54,915,504",-15.81,"$2,113,899,775",1.33
2025-11-08,$0.666,$0.680,$0.643,$0.662,$0.660,-0.854,"$65,226,630",-46.64,"$2,086,155,193",-0.884
2025-11-07,$0.593,$0.686,$0.593,$0.635,$0.666,12.29,"$122,243,721",91.08,"$2,104,755,911",12.38
2025-11-06,$0.617,$0.617,$0.575,$0.601,$0.593,-3.96,"$63,974,998",-36.23,"$1,872,885,214",-4.00
2025-11-05,$0.595,$0.620,$0.567,$0.600,$0.618,3.80,"$100,320,279",-41.35,"$1,950,895,843",3.82
2025-11-04,$0.614,$0.627,$0.557,$0.598,$0.595,-3.06,"$171,044,812",11.75,"$1,879,088,691",-2.96
2025-11-03,$0.698,$0.699,$0.603,$0.653,$0.613,-12.20,"$153,059,599",132.37,"$1,936,376,091",-12.11
2025-11-02,$0.702,$0.708,$0.681,$0.697,$0.697,-0.698,"$65,868,160",-13.77,"$2,203,222,233",-0.646
2025-11-01,$0.688,$0.709,$0.680,$0.695,$0.702,2.10,"$76,390,829",-12.67,"$2,217,546,729",2.06
2025-10-31,$0.688,$0.703,$0.676,$0.689,$0.688,-0.0656,"$87,475,157",-28.13,"$2,172,787,753",-0.071
2025-10-30,$0.728,$0.737,$0.667,$0.705,$0.688,-5.50,"$121,720,503",6.89,"$2,174,332,508",-5.47
2025-10-29,$0.729,$0.748,$0.725,$0.733,$0.728,-0.191,"$113,879,542",8.28,"$2,300,114,577",-0.281
2025-10-28,$0.746,$0.760,$0.721,$0.739,$0.730,-2.16,"$105,175,912",-8.40,"$2,306,593,873",-2.15
2025-10-27,$0.766,$0.778,$0.742,$0.758,$0.746,-2.60,"$114,820,550",49.57,"$2,357,226,996",-2.61
2025-10-26,$0.735,$0.769,$0.724,$0.749,$0.766,4.23,"$76,766,148",14.38,"$2,420,477,588",4.15
2025-10-25,$0.744,$0.744,$0.721,$0.736,$0.736,-1.14,"$67,112,707",-24.33,"$2,324,024,892",-1.06
