Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.104,$0.106,$0.102,$0.104,$0.105,1.04,"$25,606,233",-17.98,"$222,602,646",0.9905
2026-03-27,$0.109,$0.110,$0.102,$0.106,$0.104,-4.23,"$31,218,132",-16.77,"$220,419,297",-4.27
2026-03-26,$0.114,$0.114,$0.106,$0.111,$0.109,-4.30,"$37,506,388",20.14,"$230,244,715",-4.16
2026-03-25,$0.114,$0.115,$0.113,$0.114,$0.113,-0.235,"$31,217,927",-21.47,"$240,244,902",-0.402
2026-03-24,$0.113,$0.117,$0.109,$0.113,$0.114,0.539,"$39,751,031",-0.424,"$241,215,582",0.514
2026-03-23,$0.115,$0.119,$0.113,$0.115,$0.113,-1.12,"$39,920,489",33.77,"$239,982,367",-1.18
2026-03-22,$0.119,$0.120,$0.113,$0.117,$0.115,-3.63,"$29,842,287",29.57,"$242,851,506",-4.14
2026-03-21,$0.124,$0.124,$0.120,$0.122,$0.120,-3.41,"$23,032,282",-24.54,"$253,339,712",-3.42
2026-03-20,$0.122,$0.126,$0.122,$0.123,$0.124,1.86,"$30,521,034",2.55,"$262,297,947",1.93
2026-03-19,$0.126,$0.127,$0.119,$0.123,$0.122,-3.82,"$29,763,110",-13.63,"$257,327,860",-3.77
2026-03-18,$0.136,$0.136,$0.125,$0.131,$0.126,-7.27,"$34,461,956",-8.36,"$267,407,671",-7.25
2026-03-17,$0.138,$0.138,$0.134,$0.136,$0.136,-0.997,"$37,604,278",-11.52,"$288,319,803",-1.26
2026-03-16,$0.128,$0.139,$0.128,$0.133,$0.138,7.41,"$42,498,926",44.75,"$292,007,458",7.66
2026-03-15,$0.124,$0.129,$0.123,$0.126,$0.128,3.47,"$29,360,609",28.23,"$271,230,989",3.49
2026-03-14,$0.124,$0.126,$0.122,$0.124,$0.124,0.0518,"$22,896,365",-42.22,"$262,078,049",0.0373
2026-03-13,$0.120,$0.127,$0.120,$0.123,$0.124,2.99,"$39,628,300",42.51,"$261,980,445",2.98
