Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$1.17,$1.18,$1.15,$1.17,$1.17,0.670,"$10,860,434",-10.58,"$200,536,159",0.595
2026-03-27,$1.20,$1.21,$1.15,$1.18,$1.17,-2.54,"$12,144,761",-8.04,"$199,350,836",-2.70
2026-03-26,$1.29,$1.29,$1.19,$1.24,$1.20,-6.99,"$13,207,192",-27.25,"$204,884,145",-6.94
2026-03-25,$1.24,$1.32,$1.23,$1.27,$1.29,3.71,"$18,154,855",21.38,"$220,172,080",3.78
2026-03-24,$1.24,$1.27,$1.21,$1.24,$1.24,0.429,"$14,957,580",-10.26,"$212,159,492",0.555
2026-03-23,$1.16,$1.24,$1.14,$1.20,$1.24,6.13,"$16,667,694",43.26,"$210,989,233",5.99
2026-03-22,$1.22,$1.22,$1.16,$1.19,$1.17,-4.43,"$11,634,685",43.06,"$199,074,605",-5.04
2026-03-21,$1.27,$1.28,$1.23,$1.25,$1.23,-3.06,"$8,132,494",-37.24,"$209,633,461",-3.09
2026-03-20,$1.24,$1.28,$1.24,$1.26,$1.27,1.79,"$12,957,431",28.80,"$216,318,675",1.87
2026-03-19,$1.26,$1.28,$1.23,$1.25,$1.24,-1.45,"$10,060,446",-27.98,"$212,347,944",-1.42
2026-03-18,$1.34,$1.35,$1.25,$1.30,$1.26,-6.16,"$13,968,302",2.59,"$215,399,972",-6.15
2026-03-17,$1.38,$1.38,$1.33,$1.36,$1.34,-2.45,"$13,615,819",-36.49,"$229,504,732",-2.61
2026-03-16,$1.29,$1.39,$1.29,$1.34,$1.38,6.69,"$21,439,760",97.62,"$235,648,394",7.17
2026-03-15,$1.27,$1.30,$1.25,$1.28,$1.29,1.68,"$10,848,904",-3.06,"$219,883,200",1.70
2026-03-14,$1.28,$1.28,$1.25,$1.27,$1.27,-0.691,"$11,190,921",-35.36,"$216,210,257",-0.656
2026-03-13,$1.26,$1.32,$1.26,$1.28,$1.27,1.13,"$17,313,060",-25.23,"$217,638,301",1.13
2026-03-12,$1.29,$1.32,$1.23,$1.28,$1.26,-2.38,"$23,154,194",84.53,"$215,212,388",-2.26
2026-03-11,$1.28,$1.30,$1.25,$1.28,$1.29,0.918,"$12,547,588",-32.07,"$220,186,431",0.962
2026-03-10,$1.21,$1.31,$1.21,$1.25,$1.28,5.18,"$18,470,244",31.30,"$218,087,364",5.20
2026-03-09,$1.18,$1.23,$1.18,$1.20,$1.21,3.08,"$14,067,530",23.85,"$207,298,342",3.01
2026-03-08,$1.20,$1.21,$1.17,$1.19,$1.18,-1.94,"$11,358,925",-18.67,"$201,235,059",-1.93
2026-03-07,$1.22,$1.23,$1.20,$1.21,$1.20,-1.29,"$13,966,023",1.59,"$205,201,502",-1.11
2026-03-06,$1.28,$1.29,$1.20,$1.24,$1.22,-4.73,"$13,747,729",-3.17,"$207,497,279",-4.77
2026-03-05,$1.30,$1.32,$1.26,$1.29,$1.28,-1.92,"$14,198,264",-27.94,"$217,883,397",-1.87
