Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$1.29,$1.30,$1.27,$1.29,$1.28,-0.920,"$47,442,165",-39.32,"$2,143,578,464",-0.968
2026-03-27,$1.32,$1.34,$1.27,$1.31,$1.29,-2.30,"$78,180,960",-30.87,"$2,164,520,808",-2.51
2026-03-26,$1.36,$1.37,$1.30,$1.34,$1.32,-2.75,"$113,098,035",2.17,"$2,220,301,954",-2.68
2026-03-25,$1.40,$1.41,$1.35,$1.38,$1.36,-3.00,"$110,701,122",-1.07,"$2,281,477,525",-2.84
2026-03-24,$1.42,$1.42,$1.36,$1.40,$1.40,-1.17,"$111,902,543",4.22,"$2,348,286,178",-1.12
2026-03-23,$1.41,$1.49,$1.41,$1.43,$1.42,0.392,"$107,374,487",50.12,"$2,374,895,591",0.417
2026-03-22,$1.47,$1.48,$1.40,$1.44,$1.41,-3.88,"$71,523,481",11.16,"$2,365,029,667",-5.04
2026-03-21,$1.50,$1.51,$1.49,$1.50,$1.49,-1.20,"$64,343,419",-35.26,"$2,490,658,461",-1.22
2026-03-20,$1.52,$1.55,$1.50,$1.52,$1.51,-1.28,"$99,384,550",-19.21,"$2,521,432,341",-1.04
2026-03-19,$1.58,$1.58,$1.50,$1.54,$1.52,-3.56,"$123,022,567",-12.28,"$2,548,041,384",-3.09
2026-03-18,$1.62,$1.65,$1.54,$1.60,$1.57,-3.19,"$140,249,086",3.31,"$2,629,416,716",-3.08
2026-03-17,$1.64,$1.64,$1.59,$1.62,$1.62,-1.17,"$135,749,602",-20.71,"$2,713,000,727",-1.40
2026-03-16,$1.44,$1.65,$1.43,$1.54,$1.64,14.10,"$171,211,112",303.59,"$2,751,581,201",14.43
2026-03-15,$1.41,$1.44,$1.40,$1.42,$1.44,1.58,"$42,422,234",19.65,"$2,404,647,567",1.59
2026-03-14,$1.46,$1.46,$1.41,$1.44,$1.41,-3.42,"$35,454,358",-35.43,"$2,366,974,063",-3.40
2026-03-13,$1.52,$1.55,$1.45,$1.49,$1.46,-3.54,"$54,907,216",68.05,"$2,450,170,578",-3.54
2026-03-12,$1.52,$1.52,$1.49,$1.51,$1.52,-0.290,"$32,673,958",-32.51,"$2,540,021,698",-0.292
2026-03-11,$1.49,$1.55,$1.48,$1.51,$1.52,2.42,"$48,412,907",-25.55,"$2,547,447,643",2.48
2026-03-10,$1.49,$1.54,$1.48,$1.50,$1.49,-0.481,"$65,029,857",-7.46,"$2,485,724,895",-0.366
2026-03-09,$1.45,$1.52,$1.45,$1.48,$1.49,2.64,"$70,269,789",17.02,"$2,494,868,414",2.72
2026-03-08,$1.45,$1.48,$1.43,$1.45,$1.45,0.391,"$60,050,026",9.04,"$2,428,791,365",0.414
2026-03-07,$1.49,$1.51,$1.44,$1.47,$1.45,-2.83,"$55,073,573",-10.09,"$2,418,786,598",-2.79
2026-03-06,$1.53,$1.55,$1.46,$1.51,$1.49,-2.75,"$61,251,899",-12.01,"$2,488,325,148",-2.80
2026-03-05,$1.54,$1.55,$1.49,$1.53,$1.53,-0.671,"$69,611,143",-20.44,"$2,559,896,929",-0.703
2026-03-04,$1.53,$1.57,$1.51,$1.54,$1.54,0.822,"$87,499,366",14.67,"$2,578,019,478",0.613
2026-03-03,$1.51,$1.55,$1.48,$1.52,$1.53,1.59,"$76,304,588",-23.17,"$2,562,312,316",1.57
2026-03-02,$1.54,$1.59,$1.50,$1.53,$1.51,-1.64,"$99,317,559",9.84,"$2,522,667,765",-1.82
2026-03-01,$1.67,$1.67,$1.51,$1.60,$1.54,-7.83,"$90,417,012",-40.35,"$2,569,326,734",-7.92
2026-02-28,$1.60,$1.67,$1.46,$1.60,$1.67,4.54,"$151,566,857",7.34,"$2,790,355,432",4.48
2026-02-27,$1.61,$1.67,$1.55,$1.61,$1.60,-0.513,"$141,198,459",-32.95,"$2,670,755,534",-0.411
2026-02-26,$1.65,$1.69,$1.53,$1.62,$1.61,-2.60,"$210,589,148",-35.54,"$2,681,766,366",-2.60
2026-02-25,$1.24,$1.74,$1.24,$1.47,$1.65,33.08,"$326,711,921",463.55,"$2,753,252,036",33.01
2026-02-24,$1.27,$1.28,$1.23,$1.25,$1.24,-2.02,"$57,974,035",-5.51,"$2,069,967,535",-1.90
2026-02-23,$1.31,$1.31,$1.25,$1.28,$1.26,-3.65,"$61,354,194",128.68,"$2,109,983,310",-3.45
2026-02-22,$1.36,$1.36,$1.31,$1.33,$1.31,-3.58,"$26,830,002",-17.84,"$2,185,275,441",-3.58
2026-02-21,$1.34,$1.39,$1.33,$1.36,$1.36,1.38,"$32,654,879",-33.61,"$2,266,452,718",1.59
2026-02-20,$1.29,$1.36,$1.28,$1.31,$1.34,4.00,"$49,189,508",40.96,"$2,230,937,454",4.00
2026-02-19,$1.31,$1.32,$1.27,$1.30,$1.29,-1.83,"$34,896,769",4.08,"$2,145,229,592",-1.79
2026-02-18,$1.35,$1.37,$1.30,$1.33,$1.31,-2.67,"$33,530,025",2.31,"$2,184,350,152",-2.66
2026-02-17,$1.38,$1.38,$1.34,$1.36,$1.35,-2.10,"$32,773,035",-4.02,"$2,244,055,259",-2.08
2026-02-16,$1.36,$1.38,$1.34,$1.36,$1.38,1.40,"$34,145,854",-12.17,"$2,291,760,762",1.36
2026-02-15,$1.42,$1.43,$1.33,$1.39,$1.36,-4.54,"$38,878,042",15.82,"$2,261,036,366",-4.42
2026-02-14,$1.33,$1.44,$1.33,$1.38,$1.42,6.83,"$33,567,168",0.803,"$2,365,554,904",6.88
2026-02-13,$1.28,$1.34,$1.25,$1.30,$1.33,3.64,"$33,299,610",-0.784,"$2,213,217,645",3.68
2026-02-12,$1.26,$1.30,$1.25,$1.27,$1.28,2.13,"$33,562,733",-19.78,"$2,134,560,630",2.24
2026-02-11,$1.28,$1.29,$1.23,$1.26,$1.25,-2.18,"$41,839,893",29.76,"$2,087,859,140",-2.14
2026-02-10,$1.32,$1.33,$1.27,$1.30,$1.28,-2.80,"$32,243,062",-14.73,"$2,133,549,928",-2.87
2026-02-09,$1.34,$1.35,$1.28,$1.32,$1.32,-1.20,"$37,815,098",-8.08,"$2,196,685,312",-1.31
2026-02-08,$1.37,$1.37,$1.33,$1.35,$1.34,-2.41,"$41,139,128",-47.21,"$2,225,803,345",-2.52
2026-02-07,$1.37,$1.39,$1.32,$1.36,$1.37,0.577,"$77,932,234",-47.29,"$2,283,289,232",0.584
2026-02-06,$1.25,$1.40,$1.14,$1.29,$1.37,9.37,"$147,840,194",13.37,"$2,270,028,255",9.44
2026-02-05,$1.46,$1.47,$1.25,$1.36,$1.25,-14.62,"$130,407,971",47.21,"$2,074,229,703",-14.76
2026-02-04,$1.49,$1.53,$1.43,$1.48,$1.46,-2.03,"$88,589,218",-11.08,"$2,433,386,611",-1.92
2026-02-03,$1.54,$1.55,$1.43,$1.51,$1.49,-3.17,"$99,627,339",16.85,"$2,480,974,344",-3.29
2026-02-02,$1.50,$1.57,$1.46,$1.52,$1.54,3.16,"$85,264,377",22.02,"$2,565,446,311",3.02
2026-02-01,$1.54,$1.56,$1.48,$1.52,$1.50,-2.94,"$69,875,259",-48.10,"$2,490,156,186",-2.88
2026-01-31,$1.69,$1.69,$1.47,$1.60,$1.54,-8.50,"$134,632,046",51.55,"$2,563,949,003",-8.47
2026-01-30,$1.73,$1.74,$1.67,$1.71,$1.69,-2.66,"$88,838,467",26.37,"$2,801,134,366",-2.62
2026-01-29,$1.87,$1.87,$1.70,$1.79,$1.73,-7.18,"$70,298,978",27.71,"$2,876,512,254",-7.32
2026-01-28,$1.87,$1.89,$1.83,$1.87,$1.87,-0.269,"$55,046,334",30.85,"$3,103,667,503",-0.386
2026-01-27,$1.87,$1.89,$1.83,$1.87,$1.88,0.190,"$42,068,693",-17.23,"$3,115,693,536",0.105
2026-01-26,$1.82,$1.89,$1.82,$1.85,$1.88,3.01,"$50,826,505",-11.77,"$3,112,423,072",2.95
2026-01-25,$1.93,$1.93,$1.79,$1.87,$1.82,-5.40,"$57,604,761",122.17,"$3,023,212,942",-5.29
2026-01-24,$1.92,$1.93,$1.90,$1.92,$1.92,0.0353,"$25,928,632",-45.20,"$3,192,091,808",0.0819
2026-01-23,$1.92,$1.98,$1.90,$1.93,$1.92,-0.0667,"$47,316,920",15.44,"$3,189,479,435",-0.0052
2026-01-22,$1.95,$1.98,$1.91,$1.94,$1.92,-1.13,"$40,987,569",-43.37,"$3,189,645,177",-1.17
2026-01-21,$1.90,$1.99,$1.88,$1.93,$1.95,2.67,"$72,380,652",-3.66,"$3,227,380,413",2.72
2026-01-20,$2.03,$2.05,$1.90,$1.97,$1.90,-6.63,"$75,128,373",-37.78,"$3,141,989,635",-6.73
2026-01-19,$2.07,$2.07,$1.94,$2.03,$2.03,-1.75,"$120,742,858",137.83,"$3,368,566,415",-2.51
2026-01-18,$2.18,$2.20,$2.09,$2.14,$2.09,-4.18,"$50,767,650",-27.47,"$3,455,320,749",-4.13
2026-01-17,$2.12,$2.23,$2.12,$2.16,$2.18,2.72,"$69,999,648",6.86,"$3,604,357,877",2.75
2026-01-16,$2.12,$2.15,$2.06,$2.11,$2.12,0.0436,"$65,506,888",-5.12,"$3,507,769,643",0.0308
2026-01-15,$2.23,$2.23,$2.10,$2.17,$2.12,-4.81,"$69,039,056",-27.33,"$3,506,691,117",-4.85
2026-01-14,$2.28,$2.29,$2.20,$2.25,$2.23,-2.31,"$94,997,635",-34.74,"$3,685,387,639",-2.20
2026-01-13,$2.05,$2.32,$2.05,$2.18,$2.28,11.00,"$145,574,398",143.08,"$3,768,472,078",11.02
2026-01-12,$2.07,$2.14,$2.03,$2.07,$2.05,-0.690,"$59,887,137",75.18,"$3,394,285,755",-0.504
2026-01-11,$2.09,$2.12,$2.04,$2.08,$2.06,-1.39,"$34,185,676",11.73,"$3,411,490,683",-1.42
2026-01-10,$2.08,$2.13,$2.07,$2.09,$2.09,0.620,"$30,595,855",-49.44,"$3,460,579,743",0.598
2026-01-09,$2.11,$2.13,$2.05,$2.09,$2.08,-1.37,"$60,514,420",-5.49,"$3,439,995,788",-1.46
2026-01-08,$2.14,$2.15,$2.09,$2.12,$2.11,-1.44,"$64,027,684",-9.97,"$3,490,824,084",-1.34
2026-01-07,$2.23,$2.24,$2.12,$2.18,$2.14,-4.12,"$71,121,048",-33.38,"$3,538,336,621",-4.01
2026-01-06,$2.21,$2.26,$2.13,$2.21,$2.23,1.02,"$106,758,222",3.46,"$3,686,223,537",0.925
2026-01-05,$2.14,$2.23,$2.10,$2.17,$2.21,3.28,"$103,191,114",78.66,"$3,652,442,926",3.35
2026-01-04,$2.12,$2.18,$2.12,$2.14,$2.14,0.703,"$57,759,451",-32.02,"$3,534,200,007",0.696
2026-01-03,$2.16,$2.21,$2.11,$2.15,$2.12,-1.52,"$84,965,279",-31.57,"$3,509,764,811",-1.37
2026-01-02,$2.00,$2.15,$1.97,$2.07,$2.15,7.95,"$124,167,210",21.82,"$3,558,664,148",7.79
2026-01-01,$1.79,$2.02,$1.76,$1.89,$2.00,11.81,"$101,924,416",90.12,"$3,301,536,722",11.73
2025-12-31,$1.81,$1.84,$1.77,$1.80,$1.79,-1.14,"$53,609,342",-5.92,"$2,954,885,183",-1.12
2025-12-30,$1.82,$1.84,$1.79,$1.82,$1.81,-0.650,"$56,985,461",-13.56,"$2,988,449,856",-0.593
2025-12-29,$1.85,$1.90,$1.82,$1.85,$1.82,-1.37,"$65,922,831",28.36,"$3,006,280,008",-1.45
2025-12-28,$1.91,$1.91,$1.83,$1.88,$1.85,-3.32,"$51,359,625",-40.73,"$3,050,539,322",-3.30
2025-12-27,$1.72,$1.91,$1.72,$1.82,$1.91,11.06,"$86,649,512",37.87,"$3,154,787,336",11.10
2025-12-26,$1.68,$1.75,$1.66,$1.70,$1.72,2.31,"$62,850,175",52.97,"$2,839,505,690",2.34
2025-12-25,$1.74,$1.75,$1.68,$1.71,$1.68,-3.12,"$41,086,646",-12.76,"$2,774,585,725",-3.07
2025-12-24,$1.76,$1.77,$1.72,$1.75,$1.74,-1.57,"$47,096,821",-22.75,"$2,862,562,659",-1.56
2025-12-23,$1.78,$1.80,$1.74,$1.77,$1.76,-0.985,"$60,970,405",-33.92,"$2,907,819,270",-0.955
