Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.00171,$0.00176,$0.00169,$0.00172,$0.00173,1.04,"$25,385,020",-27.72,"$1,019,206,963",1.06
2026-03-27,$0.00178,$0.00179,$0.00169,$0.00174,$0.00171,-4.18,"$35,118,995",-17.92,"$1,008,549,022",-4.20
2026-03-26,$0.00191,$0.00191,$0.00175,$0.00184,$0.00178,-6.37,"$42,788,531",-37.21,"$1,052,721,166",-6.31
2026-03-25,$0.00183,$0.00192,$0.00182,$0.00187,$0.0019,4.21,"$68,145,573",72.06,"$1,123,668,846",4.09
2026-03-24,$0.00181,$0.00183,$0.00176,$0.00181,$0.00183,1.22,"$39,605,061",-26.48,"$1,079,543,890",1.25
2026-03-23,$0.00176,$0.00185,$0.00173,$0.00179,$0.00181,2.51,"$53,866,424",48.54,"$1,066,168,555",2.43
2026-03-22,$0.00183,$0.00185,$0.00174,$0.0018,$0.00176,-3.58,"$36,264,102",59.42,"$1,040,827,241",-4.27
2026-03-21,$0.00187,$0.00189,$0.00184,$0.00186,$0.00184,-1.35,"$22,747,823",-45.55,"$1,087,261,769",-1.34
2026-03-20,$0.00184,$0.00191,$0.00184,$0.00187,$0.00187,1.38,"$41,774,102",-21.73,"$1,102,054,399",1.52
2026-03-19,$0.00197,$0.00198,$0.00181,$0.0019,$0.00184,-6.61,"$53,372,520",-8.01,"$1,085,593,876",-6.38
2026-03-18,$0.00209,$0.00215,$0.00193,$0.00203,$0.00197,-5.95,"$58,018,930",8.83,"$1,159,568,771",-6.05
2026-03-17,$0.00215,$0.00216,$0.00204,$0.00211,$0.00209,-2.91,"$53,311,000",-47.65,"$1,234,187,355",-3.22
2026-03-16,$0.00195,$0.00217,$0.00195,$0.00206,$0.00216,10.88,"$101,839,038",135.07,"$1,275,267,322",11.42
2026-03-15,$0.00199,$0.00202,$0.00193,$0.00197,$0.00194,-2.57,"$43,323,499",3.02,"$1,144,603,818",-2.60
2026-03-14,$0.00198,$0.00201,$0.00196,$0.00198,$0.00199,0.809,"$42,052,582",-41.86,"$1,175,134,270",1.0033
2026-03-13,$0.0021,$0.00218,$0.00197,$0.00206,$0.00197,-6.05,"$72,333,723",3.46,"$1,163,461,108",-6.11
2026-03-12,$0.00202,$0.00211,$0.00198,$0.00205,$0.0021,3.75,"$69,915,521",-3.39,"$1,239,206,034",3.29
2026-03-11,$0.00201,$0.00206,$0.00197,$0.00202,$0.00203,1.35,"$72,365,860",-8.25,"$1,199,789,062",1.35
2026-03-10,$0.00195,$0.00211,$0.00195,$0.002,$0.00201,2.76,"$78,872,818",29.52,"$1,183,842,805",2.74
2026-03-09,$0.00192,$0.00202,$0.00191,$0.00195,$0.00195,1.79,"$60,895,425",5.48,"$1,152,323,518",1.76
2026-03-08,$0.00188,$0.002,$0.00186,$0.00192,$0.00192,1.86,"$57,729,480",72.96,"$1,132,439,818",1.87
2026-03-07,$0.00186,$0.00194,$0.00186,$0.00189,$0.00188,1.45,"$33,377,141",-59.75,"$1,111,640,093",1.30
2026-03-06,$0.00203,$0.00209,$0.00185,$0.00196,$0.00186,-8.17,"$82,934,765",32.11,"$1,097,399,107",-8.26
2026-03-05,$0.00205,$0.00212,$0.00199,$0.00205,$0.00203,-1.21,"$62,779,312",-35.44,"$1,196,239,396",-1.20
2026-03-04,$0.00192,$0.00213,$0.00187,$0.00199,$0.00205,6.82,"$97,245,370",37.84,"$1,210,786,277",6.51
2026-03-03,$0.00198,$0.00201,$0.00187,$0.00194,$0.00193,-2.55,"$70,548,032",-23.28,"$1,136,757,819",-2.55
2026-03-02,$0.00192,$0.0021,$0.00188,$0.00197,$0.00198,2.83,"$91,955,822",3.71,"$1,166,445,715",2.85
2026-03-01,$0.00192,$0.00198,$0.00184,$0.00191,$0.00192,0.0247,"$88,665,996",-1.02,"$1,134,110,299",0.272
2026-02-28,$0.00179,$0.00193,$0.00172,$0.00184,$0.00192,6.82,"$89,579,194",1.77,"$1,131,033,790",6.81
2026-02-27,$0.0018,$0.00196,$0.00177,$0.00183,$0.00179,-0.341,"$88,024,196",5.63,"$1,058,954,867",0.471
2026-02-26,$0.00188,$0.00191,$0.00173,$0.00183,$0.00179,-4.84,"$83,332,653",-24.20,"$1,053,989,090",-4.33
2026-02-25,$0.0017,$0.00195,$0.00169,$0.0018,$0.00187,9.76,"$109,938,878",46.54,"$1,101,711,377",9.65
2026-02-24,$0.00179,$0.00182,$0.00169,$0.00175,$0.0017,-5.06,"$75,022,744",-0.0295,"$1,004,771,935",-5.05
2026-02-23,$0.00202,$0.00202,$0.00179,$0.00191,$0.00179,-11.22,"$75,044,862",124.18,"$1,058,206,319",-10.98
2026-02-22,$0.00212,$0.00212,$0.00201,$0.00207,$0.00201,-4.88,"$33,475,529",2.81,"$1,188,668,832",-5.17
2026-02-21,$0.00211,$0.00214,$0.00209,$0.00212,$0.00212,0.837,"$32,559,268",-41.35,"$1,253,490,217",1.02
2026-02-20,$0.00207,$0.00213,$0.00206,$0.00209,$0.0021,1.70,"$55,518,147",12.05,"$1,240,848,804",1.68
2026-02-19,$0.00201,$0.00207,$0.00199,$0.00204,$0.00207,2.78,"$49,546,173",-40.34,"$1,220,331,316",2.74
2026-02-18,$0.0022,$0.00223,$0.00199,$0.00211,$0.00201,-8.62,"$83,053,205",3.64,"$1,187,729,885",-8.57
2026-02-17,$0.00222,$0.00228,$0.00213,$0.00221,$0.0022,-0.727,"$80,138,351",66.03,"$1,299,031,308",-0.707
2026-02-16,$0.0022,$0.00228,$0.00216,$0.00221,$0.00222,0.786,"$48,266,533",-41.27,"$1,308,280,197",0.805
2026-02-15,$0.00234,$0.00237,$0.00217,$0.00227,$0.0022,-5.87,"$82,179,448",-10.09,"$1,297,833,347",-6.65
2026-02-14,$0.00209,$0.00236,$0.00208,$0.00222,$0.00236,12.62,"$91,399,170",3.48,"$1,390,323,319",12.51
2026-02-13,$0.00192,$0.00216,$0.00188,$0.00201,$0.00209,8.97,"$88,324,513",20.75,"$1,235,685,871",9.05
2026-02-12,$0.00185,$0.002,$0.00185,$0.0019,$0.00192,4.08,"$73,147,339",9.98,"$1,133,126,849",4.06
2026-02-11,$0.00191,$0.00194,$0.00183,$0.00188,$0.00185,-3.28,"$66,511,270",-9.50,"$1,088,954,936",-3.29
2026-02-10,$0.002,$0.00201,$0.0019,$0.00195,$0.00191,-4.63,"$73,496,971",0.121,"$1,125,982,683",-4.70
2026-02-09,$0.00209,$0.00215,$0.00199,$0.00206,$0.002,-4.27,"$73,407,875",-9.12,"$1,181,534,975",-4.64
2026-02-08,$0.00209,$0.00218,$0.00207,$0.00211,$0.0021,0.285,"$80,770,702",-21.91,"$1,238,963,749",0.0648
2026-02-07,$0.00211,$0.00212,$0.00199,$0.00208,$0.0021,-0.529,"$103,434,222",-59.72,"$1,238,160,947",-0.570
2026-02-06,$0.00193,$0.00218,$0.00173,$0.00199,$0.00211,9.38,"$256,771,982",22.88,"$1,245,257,846",9.06
2026-02-05,$0.00227,$0.0023,$0.00194,$0.00211,$0.00194,-14.69,"$208,964,335",27.83,"$1,141,778,645",-14.77
2026-02-04,$0.0024,$0.00244,$0.00223,$0.00233,$0.00227,-5.40,"$163,476,196",-20.69,"$1,339,686,544",-5.32
2026-02-03,$0.0024,$0.00257,$0.0023,$0.00242,$0.0024,-0.0712,"$206,119,595",8.35,"$1,415,012,886",-0.306
2026-02-02,$0.00256,$0.00263,$0.00236,$0.00249,$0.00241,-6.12,"$190,227,989",30.42,"$1,419,355,054",-6.21
2026-02-01,$0.0027,$0.00272,$0.00249,$0.00262,$0.00256,-4.87,"$145,852,874",-41.16,"$1,513,322,895",-4.91
2026-01-31,$0.0028,$0.00286,$0.00244,$0.0027,$0.0027,-3.78,"$247,888,584",17.11,"$1,591,531,571",-3.73
2026-01-30,$0.00282,$0.00292,$0.00267,$0.0028,$0.0028,-0.775,"$211,679,409",-16.48,"$1,653,217,623",-0.874
2026-01-29,$0.00306,$0.00306,$0.00278,$0.00293,$0.00283,-7.64,"$253,447,743",27.89,"$1,667,791,521",-7.76
2026-01-28,$0.00317,$0.00334,$0.00305,$0.00316,$0.00306,-3.32,"$198,172,825",-47.47,"$1,808,137,729",-3.55
2026-01-27,$0.00271,$0.00322,$0.00268,$0.00294,$0.00318,17.35,"$377,240,580",189.10,"$1,874,677,672",17.46
2026-01-26,$0.00246,$0.00276,$0.00246,$0.00259,$0.00271,10.06,"$130,488,240",-16.26,"$1,596,079,005",9.96
2026-01-25,$0.00274,$0.00276,$0.00234,$0.00258,$0.00246,-10.12,"$155,833,146",14.12,"$1,451,504,634",-10.00
2026-01-24,$0.00239,$0.00278,$0.00237,$0.00257,$0.00273,14.21,"$136,546,055",48.36,"$1,612,776,572",14.27
2026-01-23,$0.00247,$0.00252,$0.00237,$0.00244,$0.00239,-3.03,"$92,034,015",-9.83,"$1,411,351,132",-2.88
2026-01-22,$0.00264,$0.00268,$0.00246,$0.00256,$0.00246,-6.70,"$102,063,475",-33.68,"$1,453,191,619",-6.93
2026-01-21,$0.0024,$0.00274,$0.00238,$0.00254,$0.00265,10.50,"$153,902,180",7.94,"$1,561,428,955",10.52
2026-01-20,$0.00264,$0.00264,$0.00239,$0.00252,$0.00239,-9.45,"$142,585,471",-11.12,"$1,412,845,233",-9.58
2026-01-19,$0.00261,$0.00265,$0.00244,$0.00259,$0.00265,1.63,"$160,422,366",69.91,"$1,562,511,906",1.15
2026-01-18,$0.00279,$0.00283,$0.00262,$0.00272,$0.00262,-6.26,"$94,416,319",-28.79,"$1,544,713,707",-6.15
2026-01-17,$0.00295,$0.00307,$0.00278,$0.0029,$0.00279,-5.49,"$132,596,086",-31.60,"$1,645,952,214",-5.40
2026-01-16,$0.00272,$0.003,$0.00272,$0.00284,$0.00295,8.60,"$193,867,019",-17.01,"$1,739,897,343",8.83
2026-01-15,$0.00282,$0.00296,$0.00263,$0.00278,$0.00271,-3.87,"$233,606,489",-1.28,"$1,598,728,479",-3.98
2026-01-14,$0.00266,$0.003,$0.00266,$0.00278,$0.00282,6.11,"$236,629,896",2.54,"$1,665,024,366",6.29
2026-01-13,$0.00243,$0.00274,$0.0024,$0.00256,$0.00266,9.19,"$230,768,529",50.16,"$1,566,551,612",9.42
2026-01-12,$0.00239,$0.00263,$0.00233,$0.00245,$0.00243,1.42,"$153,679,304",45.03,"$1,431,699,434",1.77
2026-01-11,$0.00229,$0.00251,$0.00228,$0.00237,$0.00238,4.08,"$105,961,363",-4.49,"$1,406,799,444",3.93
2026-01-10,$0.00235,$0.00244,$0.00222,$0.00233,$0.00229,-2.24,"$110,941,317",-36.65,"$1,353,579,253",-2.28
2026-01-09,$0.00218,$0.00249,$0.00213,$0.00229,$0.00235,7.52,"$175,120,361",51.70,"$1,385,152,592",7.44
2026-01-08,$0.00235,$0.00237,$0.00206,$0.00224,$0.00219,-7.09,"$115,439,218",6.61,"$1,289,270,103",-6.83
2026-01-07,$0.00265,$0.00265,$0.00232,$0.00249,$0.00235,-11.47,"$108,282,913",-30.47,"$1,383,780,973",-11.40
2026-01-06,$0.00251,$0.00265,$0.00236,$0.00254,$0.00265,5.63,"$155,740,594",17.39,"$1,561,915,515",5.42
2026-01-05,$0.00235,$0.00255,$0.00221,$0.00241,$0.00251,6.79,"$132,671,036",32.71,"$1,481,573,472",6.98
2026-01-04,$0.00233,$0.0024,$0.00227,$0.00233,$0.00235,0.951,"$99,967,700",-21.29,"$1,384,870,927",0.825
2026-01-03,$0.00227,$0.00236,$0.00218,$0.00228,$0.00233,2.69,"$127,012,933",-6.12,"$1,373,533,476",2.69
2026-01-02,$0.00211,$0.0023,$0.00209,$0.00219,$0.00227,7.48,"$135,287,084",45.62,"$1,337,537,784",7.17
2026-01-01,$0.00191,$0.00212,$0.00191,$0.00201,$0.00212,10.47,"$92,901,135",20.17,"$1,248,091,105",10.19
2025-12-31,$0.00184,$0.00195,$0.00183,$0.00189,$0.00192,4.15,"$77,311,080",123.18,"$1,132,671,633",4.34
2025-12-30,$0.00181,$0.00184,$0.00178,$0.00182,$0.00184,1.74,"$34,640,410",-36.09,"$1,085,509,944",1.81
2025-12-29,$0.00188,$0.00192,$0.00177,$0.00184,$0.00181,-3.73,"$54,205,765",66.97,"$1,066,246,619",-3.93
2025-12-28,$0.00187,$0.0019,$0.00184,$0.00187,$0.00188,0.376,"$32,464,154",-21.52,"$1,109,911,152",0.403
2025-12-27,$0.00181,$0.00187,$0.0018,$0.00184,$0.00187,3.78,"$41,366,941",-25.03,"$1,105,455,739",3.78
2025-12-26,$0.00173,$0.00182,$0.00173,$0.00177,$0.00181,4.28,"$55,178,140",-4.07,"$1,065,233,756",4.32
2025-12-25,$0.00174,$0.00185,$0.00173,$0.00176,$0.00173,-0.654,"$57,518,428",-2.43,"$1,021,073,704",-0.638
