Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.0697,$0.071,$0.0696,$0.0702,$0.0706,1.23,"$9,871,223",3.19,"$1,656,473,299",1.20
2026-03-27,$0.0707,$0.0711,$0.0694,$0.0702,$0.0698,-1.28,"$9,565,665",-23.78,"$1,636,907,697",-1.14
2026-03-26,$0.0732,$0.074,$0.0701,$0.072,$0.0706,-3.55,"$12,550,114",-41.55,"$1,655,860,453",-3.49
2026-03-25,$0.0715,$0.077,$0.0708,$0.0731,$0.0731,2.22,"$21,473,263",48.37,"$1,715,794,632",2.35
2026-03-24,$0.0733,$0.0735,$0.0703,$0.0721,$0.0714,-2.52,"$14,472,613",-46.51,"$1,676,328,567",-2.46
2026-03-23,$0.0708,$0.0739,$0.0663,$0.0711,$0.0732,3.43,"$27,055,011",-6.92,"$1,718,542,446",3.17
2026-03-22,$0.0764,$0.0764,$0.071,$0.0737,$0.071,-7.08,"$29,065,559",96.00,"$1,665,805,819",-7.85
2026-03-21,$0.0739,$0.0796,$0.0735,$0.076,$0.077,4.26,"$14,829,057",-9.75,"$1,807,782,886",4.37
2026-03-20,$0.0714,$0.0748,$0.0709,$0.0727,$0.0738,3.42,"$16,430,278",22.99,"$1,732,042,801",3.47
2026-03-19,$0.0722,$0.0734,$0.0705,$0.0719,$0.0713,-1.14,"$13,359,383",-36.14,"$1,673,913,245",-1.06
2026-03-18,$0.0738,$0.0745,$0.0704,$0.0727,$0.0721,-2.25,"$20,920,721",-17.68,"$1,691,792,283",-2.23
2026-03-17,$0.0755,$0.08,$0.0734,$0.0757,$0.0738,-2.32,"$25,413,175",-19.97,"$1,730,428,925",-2.31
2026-03-16,$0.0735,$0.0799,$0.0704,$0.0748,$0.0755,2.76,"$31,754,386",116.42,"$1,771,384,872",2.98
2026-03-15,$0.0728,$0.0759,$0.0724,$0.0736,$0.0733,0.753,"$14,672,459",-6.95,"$1,720,206,414",0.835
2026-03-14,$0.0789,$0.0794,$0.0722,$0.0758,$0.0727,-7.84,"$15,767,714",-33.88,"$1,705,969,955",-7.72
2026-03-13,$0.0813,$0.0849,$0.0787,$0.0809,$0.0788,-3.05,"$23,846,015",5.39,"$1,848,724,440",-3.04
2026-03-12,$0.0794,$0.082,$0.0792,$0.0805,$0.0813,2.35,"$22,626,482",7.71,"$1,906,778,654",2.34
2026-03-11,$0.0781,$0.0799,$0.073,$0.0776,$0.0794,1.71,"$21,007,131",-25.31,"$1,863,089,776",1.57
2026-03-10,$0.0754,$0.0809,$0.0754,$0.0774,$0.0782,3.71,"$28,125,710",85.33,"$1,834,240,285",3.70
2026-03-09,$0.0723,$0.0759,$0.0721,$0.0739,$0.0754,4.26,"$15,176,265",20.40,"$1,768,829,379",4.25
2026-03-08,$0.0719,$0.0737,$0.0714,$0.0723,$0.0723,0.641,"$12,604,520",-4.77,"$1,696,692,186",0.598
2026-03-07,$0.0709,$0.0737,$0.0694,$0.0715,$0.0719,1.40,"$13,235,851",6.02,"$1,686,612,946",1.28
2026-03-06,$0.0763,$0.0771,$0.071,$0.0738,$0.071,-6.94,"$12,484,023",-56.75,"$1,665,339,162",-6.93
2026-03-05,$0.0762,$0.0786,$0.076,$0.0768,$0.0763,0.0856,"$28,862,572",18.95,"$1,789,336,141",-0.0123
2026-03-04,$0.0712,$0.0774,$0.0703,$0.0738,$0.0763,7.05,"$24,265,357",12.91,"$1,789,555,780",6.89
2026-03-03,$0.0708,$0.0714,$0.0684,$0.0705,$0.0714,0.750,"$21,490,817",7.91,"$1,674,278,907",0.755
2026-03-02,$0.067,$0.0719,$0.067,$0.0692,$0.0708,5.78,"$19,916,210",27.43,"$1,661,737,136",5.82
2026-03-01,$0.0681,$0.0697,$0.0662,$0.0677,$0.0669,-1.79,"$15,628,790",11.95,"$1,570,332,450",-1.68
2026-02-28,$0.0672,$0.0683,$0.0642,$0.0669,$0.0681,1.33,"$13,960,321",12.25,"$1,597,207,588",1.39
2026-02-27,$0.0691,$0.0691,$0.0668,$0.068,$0.0671,-2.78,"$12,436,781",-6.15,"$1,575,279,934",-2.86
2026-02-26,$0.0689,$0.0709,$0.0678,$0.0692,$0.0691,0.371,"$13,251,476",-37.51,"$1,621,736,225",0.489
2026-02-25,$0.066,$0.0712,$0.0659,$0.068,$0.0688,4.29,"$21,204,928",44.58,"$1,613,843,722",4.28
2026-02-24,$0.063,$0.0661,$0.0621,$0.0643,$0.066,4.77,"$14,666,953",-9.72,"$1,547,619,630",4.86
2026-02-23,$0.0643,$0.0643,$0.0612,$0.0632,$0.0629,-2.10,"$16,246,320",128.07,"$1,475,882,572",-2.08
2026-02-22,$0.0643,$0.0652,$0.0642,$0.0645,$0.0642,-0.0877,"$7,123,418",-21.35,"$1,507,250,739",-0.118
2026-02-21,$0.0645,$0.0649,$0.0641,$0.0645,$0.0643,-0.316,"$9,056,805",-23.88,"$1,509,030,850",-0.305
2026-02-20,$0.064,$0.0646,$0.062,$0.0638,$0.0645,0.812,"$11,897,323",-22.95,"$1,513,642,242",0.732
2026-02-19,$0.0661,$0.0671,$0.0623,$0.0649,$0.064,-3.10,"$15,441,238",-31.78,"$1,502,637,502",-3.61
2026-02-18,$0.0629,$0.0671,$0.0604,$0.0642,$0.0664,5.55,"$22,635,904",49.48,"$1,558,862,734",5.40
2026-02-17,$0.0669,$0.0687,$0.063,$0.0654,$0.063,-5.77,"$15,142,640",60.42,"$1,478,971,355",-5.76
2026-02-16,$0.0665,$0.0682,$0.0662,$0.067,$0.0669,0.542,"$9,439,246",-28.74,"$1,569,386,274",0.568
2026-02-15,$0.0704,$0.0704,$0.0658,$0.0683,$0.0665,-5.58,"$13,246,962",6.71,"$1,560,526,336",-5.58
2026-02-14,$0.069,$0.0705,$0.0677,$0.0694,$0.0704,2.07,"$12,414,163",-32.63,"$1,652,792,140",2.10
2026-02-13,$0.0667,$0.0701,$0.0656,$0.0679,$0.069,3.43,"$18,426,666",69.92,"$1,618,839,253",3.53
2026-02-12,$0.0657,$0.0673,$0.0653,$0.0663,$0.0666,1.36,"$10,844,615",-48.60,"$1,563,609,354",1.46
2026-02-11,$0.0688,$0.0691,$0.0635,$0.0668,$0.0657,-4.59,"$21,096,945",-2.19,"$1,541,145,863",-4.56
2026-02-10,$0.0695,$0.0706,$0.0678,$0.0692,$0.0688,-0.955,"$21,570,182",-45.25,"$1,614,805,148",-1.14
2026-02-09,$0.0676,$0.0712,$0.0661,$0.0686,$0.0696,3.04,"$39,397,850",-3.76,"$1,633,409,740",2.72
2026-02-08,$0.0648,$0.0682,$0.0647,$0.0664,$0.0678,4.60,"$40,936,065",43.18,"$1,590,097,645",4.57
2026-02-07,$0.0636,$0.0652,$0.0627,$0.0641,$0.0648,1.87,"$28,591,518",-44.66,"$1,520,561,508",1.83
2026-02-06,$0.056,$0.0652,$0.0537,$0.0596,$0.0636,13.74,"$51,660,911",7.08,"$1,493,215,402",13.51
2026-02-05,$0.0611,$0.0611,$0.0559,$0.0586,$0.0561,-8.30,"$48,246,103",65.23,"$1,315,532,415",-8.36
2026-02-04,$0.0615,$0.0625,$0.0598,$0.0612,$0.0612,-0.434,"$29,199,787",-10.44,"$1,435,587,022",0.102
2026-02-03,$0.0628,$0.0629,$0.0581,$0.0612,$0.0611,-2.68,"$32,603,259",10.93,"$1,434,128,353",-2.73
2026-02-02,$0.0612,$0.0629,$0.0587,$0.0614,$0.0628,2.70,"$29,391,851",47.37,"$1,474,307,503",2.71
2026-02-01,$0.0608,$0.0616,$0.0603,$0.061,$0.0612,0.607,"$19,944,648",-48.29,"$1,435,437,318",0.497
2026-01-31,$0.0645,$0.0645,$0.0588,$0.0622,$0.0609,-5.57,"$38,571,834",78.40,"$1,428,344,080",-5.56
2026-01-30,$0.0649,$0.0656,$0.0634,$0.0646,$0.0645,-0.640,"$21,620,379",-2.62,"$1,512,503,405",-0.620
2026-01-29,$0.0673,$0.0673,$0.0636,$0.0658,$0.0649,-3.58,"$22,201,776",43.72,"$1,521,934,465",-3.54
2026-01-28,$0.0636,$0.0672,$0.0636,$0.0654,$0.0672,5.69,"$15,448,440",42.13,"$1,577,731,517",5.63
2026-01-27,$0.0648,$0.0648,$0.0628,$0.064,$0.0637,-1.83,"$10,869,266",-32.96,"$1,493,603,419",-2.08
2026-01-26,$0.064,$0.0666,$0.064,$0.0649,$0.065,1.64,"$16,213,687",16.49,"$1,525,362,038",1.55
2026-01-25,$0.0666,$0.0678,$0.0634,$0.0654,$0.064,-3.91,"$13,918,219",63.71,"$1,502,076,647",-3.78
2026-01-24,$0.0666,$0.0671,$0.0659,$0.0665,$0.0665,-0.0265,"$8,501,864",-46.15,"$1,561,130,230",0.0589
2026-01-23,$0.0671,$0.0679,$0.0649,$0.0666,$0.0665,-0.961,"$15,789,133",-50.59,"$1,560,211,797",-0.961
2026-01-22,$0.0643,$0.0683,$0.0643,$0.066,$0.0671,4.35,"$31,958,211",76.31,"$1,575,352,904",4.18
2026-01-21,$0.063,$0.0651,$0.0615,$0.0635,$0.0645,2.24,"$18,126,260",27.52,"$1,512,214,635",2.25
2026-01-20,$0.0643,$0.0647,$0.0617,$0.0634,$0.063,-1.92,"$14,213,923",-39.32,"$1,479,005,288",-1.87
2026-01-19,$0.0639,$0.0666,$0.0627,$0.0644,$0.0642,0.519,"$23,423,772",125.70,"$1,507,127,169",0.391
2026-01-18,$0.0641,$0.0646,$0.0636,$0.0641,$0.064,-0.228,"$10,378,506",-13.98,"$1,501,253,014",-0.209
2026-01-17,$0.0648,$0.0652,$0.0635,$0.0644,$0.0641,-0.989,"$12,065,876",-44.16,"$1,504,393,756",-1.01
2026-01-16,$0.0599,$0.0652,$0.0599,$0.0624,$0.0648,8.18,"$21,608,976",96.79,"$1,519,781,515",8.16
2026-01-15,$0.0598,$0.0605,$0.0591,$0.0598,$0.0599,0.106,"$10,980,788",-2.69,"$1,405,178,462",0.228
2026-01-14,$0.0592,$0.06,$0.0591,$0.0595,$0.0598,0.959,"$11,284,265",-15.82,"$1,401,980,846",0.99950
2026-01-13,$0.0558,$0.061,$0.0558,$0.0579,$0.0592,6.10,"$13,405,449",-22.70,"$1,388,106,716",6.17
2026-01-12,$0.0586,$0.0596,$0.0549,$0.0572,$0.0557,-4.90,"$17,342,769",39.21,"$1,307,447,440",-4.83
2026-01-11,$0.0587,$0.0597,$0.0578,$0.0587,$0.0585,-0.281,"$12,457,885",3.53,"$1,373,736,269",-0.292
2026-01-10,$0.0557,$0.0587,$0.0552,$0.0571,$0.0587,5.50,"$12,032,650",-19.25,"$1,377,753,002",5.52
2026-01-09,$0.0572,$0.0588,$0.0554,$0.0568,$0.0556,-2.67,"$14,900,424",3.42,"$1,305,667,371",-2.61
2026-01-08,$0.0614,$0.062,$0.0564,$0.0593,$0.0571,-6.92,"$14,407,266",47.76,"$1,340,695,742",-6.99
2026-01-07,$0.0638,$0.0638,$0.0609,$0.0625,$0.0614,-3.74,"$9,750,158",-32.85,"$1,441,502,555",-3.76
2026-01-06,$0.0642,$0.0643,$0.0628,$0.0638,$0.0638,-0.530,"$14,520,104",6.14,"$1,497,807,089",-0.617
2026-01-05,$0.0622,$0.0644,$0.0622,$0.0632,$0.0642,3.30,"$13,680,227",10.44,"$1,507,099,974",3.32
2026-01-04,$0.062,$0.0633,$0.0613,$0.0622,$0.0622,0.245,"$12,387,019",-16.73,"$1,458,739,690",0.235
