Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$83.00,$84.02,$82.32,$83.02,$82.74,-0.311,"$846,104,787",-41.73,"$47,357,631,344",-0.299
2026-03-27,$86.42,$86.90,$82.02,$84.58,$82.99,-3.98,"$1,451,998,915",-12.50,"$47,499,714,860",-3.96
2026-03-26,$91.65,$91.89,$85.50,$88.87,$86.43,-5.70,"$1,659,391,473",14.58,"$49,459,280,925",-5.75
2026-03-25,$90.80,$93.24,$90.80,$91.64,$91.70,0.990,"$1,448,197,522",-11.89,"$52,476,741,097",0.978
2026-03-24,$91.31,$92.05,$88.50,$90.67,$90.83,-0.524,"$1,643,639,901",-27.46,"$51,968,342,919",-0.501
2026-03-23,$86.13,$91.94,$85.33,$88.67,$91.29,5.99,"$2,265,753,668",85.91,"$52,230,174,519",5.90
2026-03-22,$88.15,$89.00,$85.57,$87.23,$86.22,-2.19,"$1,218,751,857",87.94,"$49,320,242,912",-2.60
2026-03-21,$89.87,$90.66,$88.57,$89.42,$88.57,-1.45,"$648,478,385",-43.85,"$50,634,583,118",-1.46
2026-03-20,$88.92,$90.15,$88.35,$89.33,$89.90,1.10,"$1,154,895,544",-19.66,"$51,383,353,707",1.20
2026-03-19,$90.07,$91.18,$87.24,$89.33,$88.83,-1.37,"$1,437,451,649",-16.14,"$50,774,352,184",-1.32
2026-03-18,$94.72,$95.44,$88.90,$92.27,$90.04,-4.94,"$1,714,061,724",0.805,"$51,451,016,564",-4.98
2026-03-17,$96.17,$96.41,$93.36,$95.17,$94.76,-1.47,"$1,700,376,995",-40.35,"$54,147,738,096",-1.53
2026-03-16,$92.42,$97.26,$91.31,$94.31,$96.24,4.13,"$2,850,475,156",107.08,"$54,988,774,754",4.45
2026-03-15,$88.05,$92.95,$87.52,$90.16,$92.14,4.65,"$1,376,508,288",67.65,"$52,645,950,087",4.68
2026-03-14,$88.15,$88.67,$86.64,$87.87,$88.04,-0.118,"$821,070,129",-66.34,"$50,293,100,603",-0.0856
2026-03-13,$86.86,$92.69,$86.84,$88.63,$88.12,1.45,"$2,439,208,376",54.66,"$50,336,205,934",1.44
2026-03-12,$86.58,$87.48,$84.90,$86.46,$86.88,0.351,"$1,577,163,184",-8.67,"$49,619,858,086",0.315
2026-03-11,$85.82,$87.86,$84.50,$86.20,$86.61,0.919,"$1,726,849,296",-5.47,"$49,464,136,554",1.13
2026-03-10,$84.93,$88.53,$84.93,$86.02,$85.69,0.896,"$1,826,725,965",-1.46,"$48,912,886,351",0.874
2026-03-09,$81.66,$86.62,$81.66,$83.72,$84.95,4.03,"$1,853,789,244",69.84,"$48,489,075,815",3.97
2026-03-08,$83.21,$83.94,$81.04,$82.48,$81.72,-1.79,"$1,091,505,236",36.37,"$46,637,857,025",-1.76
2026-03-07,$84.68,$84.92,$82.46,$83.81,$83.18,-1.77,"$800,410,057",-53.50,"$47,471,332,620",-1.65
2026-03-06,$88.75,$89.15,$83.86,$86.61,$84.69,-4.57,"$1,721,475,972",-14.66,"$48,267,786,871",-4.56
2026-03-05,$90.95,$92.70,$88.14,$90.13,$88.74,-2.43,"$2,017,082,125",-39.27,"$50,572,459,817",-2.44
2026-03-04,$87.07,$93.73,$85.01,$89.20,$90.98,4.49,"$3,321,514,352",44.39,"$51,835,737,098",4.25
2026-03-03,$86.67,$87.27,$82.97,$86.04,$87.26,0.681,"$2,300,330,549",-8.85,"$49,720,404,992",0.680
2026-03-02,$83.58,$89.73,$82.55,$85.64,$86.69,3.73,"$2,523,796,841",15.73,"$49,384,756,196",3.71
2026-03-01,$84.37,$88.53,$81.85,$84.59,$83.60,-0.916,"$2,180,796,942",-5.63,"$47,620,350,023",-0.868
2026-02-28,$81.91,$85.00,$77.59,$82.21,$84.35,2.98,"$2,310,894,914",31.94,"$48,037,344,269",2.99
