Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.206,$0.211,$0.200,$0.207,$0.210,1.93,"$6,776,771",27.19,"$252,135,959",1.86
2026-03-27,$0.219,$0.221,$0.205,$0.213,$0.206,-5.60,"$5,328,260",7.93,"$247,525,464",-5.62
2026-03-26,$0.234,$0.234,$0.219,$0.227,$0.219,-6.73,"$4,936,845",-1.22,"$262,253,053",-6.72
2026-03-25,$0.233,$0.238,$0.232,$0.235,$0.234,0.468,"$4,997,949",10.86,"$281,144,336",0.425
2026-03-24,$0.233,$0.234,$0.230,$0.233,$0.233,-0.00887,"$4,508,335",-30.81,"$279,955,868",-0.0335
2026-03-23,$0.229,$0.236,$0.226,$0.231,$0.234,2.19,"$6,515,868",81.23,"$280,049,779",2.11
2026-03-22,$0.236,$0.236,$0.229,$0.232,$0.229,-2.98,"$3,595,425",46.06,"$274,257,352",-3.41
2026-03-21,$0.238,$0.240,$0.235,$0.238,$0.237,-0.550,"$2,461,613",-67.84,"$283,949,849",-0.555
2026-03-20,$0.244,$0.245,$0.236,$0.241,$0.238,-2.32,"$7,653,587",31.85,"$285,534,046",-1.81
2026-03-19,$0.241,$0.250,$0.238,$0.243,$0.243,0.702,"$5,804,593",-27.30,"$290,809,283",0.675
2026-03-18,$0.259,$0.259,$0.240,$0.250,$0.241,-6.90,"$7,984,184",-3.53,"$288,859,711",-6.83
2026-03-17,$0.272,$0.277,$0.259,$0.267,$0.259,-5.06,"$8,276,678",-12.01,"$310,021,693",-5.26
2026-03-16,$0.265,$0.275,$0.259,$0.268,$0.273,3.15,"$9,406,636",-9.17,"$327,218,738",3.21
2026-03-15,$0.264,$0.275,$0.258,$0.265,$0.264,0.319,"$10,356,054",15.27,"$317,049,925",0.203
2026-03-14,$0.255,$0.265,$0.252,$0.259,$0.264,3.48,"$8,983,884",-25.09,"$316,407,259",3.54
2026-03-13,$0.247,$0.261,$0.246,$0.252,$0.255,3.35,"$11,992,781",-20.17,"$305,599,163",3.33
2026-03-12,$0.233,$0.251,$0.229,$0.240,$0.247,5.94,"$15,022,927",199.19,"$295,752,352",6.08
2026-03-11,$0.226,$0.233,$0.222,$0.228,$0.232,3.05,"$5,021,208",-24.94,"$278,796,807",3.14
2026-03-10,$0.222,$0.233,$0.222,$0.225,$0.225,1.54,"$6,689,569",1.37,"$270,299,862",1.54
2026-03-09,$0.217,$0.230,$0.216,$0.221,$0.222,2.09,"$6,599,388",17.26,"$266,209,079",2.08
2026-03-08,$0.222,$0.223,$0.217,$0.220,$0.217,-2.11,"$5,627,919",-4.77,"$260,791,985",-2.08
2026-03-07,$0.229,$0.236,$0.221,$0.227,$0.222,-2.98,"$5,909,639",-26.62,"$266,322,720",-3.33
2026-03-06,$0.239,$0.244,$0.224,$0.234,$0.230,-4.03,"$8,054,000",10.94,"$275,489,516",-4.02
2026-03-05,$0.246,$0.246,$0.235,$0.242,$0.239,-2.63,"$7,260,083",-14.13,"$287,032,609",-2.65
2026-03-04,$0.229,$0.250,$0.226,$0.238,$0.246,7.25,"$8,454,821",27.27,"$294,843,804",6.93
2026-03-03,$0.237,$0.237,$0.228,$0.233,$0.230,-2.96,"$6,643,253",-8.79,"$275,747,795",-2.95
2026-03-02,$0.231,$0.244,$0.228,$0.235,$0.237,2.44,"$7,283,738",-40.50,"$284,143,615",2.46
2026-03-01,$0.228,$0.243,$0.224,$0.232,$0.231,1.54,"$12,241,862",23.28,"$277,323,737",1.55
2026-02-28,$0.233,$0.233,$0.210,$0.226,$0.228,-2.14,"$9,929,994",11.84,"$273,103,170",-2.01
2026-02-27,$0.241,$0.244,$0.227,$0.236,$0.232,-3.69,"$8,878,705",-52.52,"$278,715,816",-3.15
2026-02-26,$0.231,$0.245,$0.231,$0.237,$0.240,3.91,"$18,700,136",-21.23,"$287,794,697",4.42
2026-02-25,$0.210,$0.238,$0.210,$0.222,$0.230,9.50,"$23,739,590",158.96,"$275,600,089",9.58
2026-02-24,$0.207,$0.210,$0.195,$0.205,$0.210,1.48,"$9,167,105",2.27,"$251,512,952",1.54
2026-02-23,$0.221,$0.221,$0.203,$0.213,$0.207,-6.59,"$8,963,615",83.97,"$247,705,954",-6.33
2026-02-22,$0.231,$0.231,$0.220,$0.226,$0.221,-4.49,"$4,872,422",-14.00,"$264,436,698",-4.48
2026-02-21,$0.228,$0.237,$0.225,$0.230,$0.231,1.26,"$5,665,707",-31.26,"$276,832,007",1.46
2026-02-20,$0.228,$0.232,$0.221,$0.227,$0.228,-0.267,"$8,241,973",7.60,"$272,854,851",-0.263
2026-02-19,$0.234,$0.236,$0.225,$0.231,$0.228,-2.67,"$7,659,915",-10.04,"$273,574,173",-2.74
2026-02-18,$0.245,$0.247,$0.233,$0.240,$0.235,-4.08,"$8,514,772",-11.03,"$281,269,347",-4.10
2026-02-17,$0.252,$0.256,$0.240,$0.248,$0.245,-2.84,"$9,570,109",-2.60,"$293,292,063",-2.76
2026-02-16,$0.263,$0.263,$0.241,$0.255,$0.252,-4.27,"$9,825,295",42.77,"$301,629,426",-4.35
2026-02-15,$0.284,$0.284,$0.260,$0.273,$0.263,-7.25,"$6,882,019",-2.19,"$315,353,899",-7.42
2026-02-14,$0.277,$0.287,$0.274,$0.280,$0.284,2.67,"$7,035,857",-2.20,"$340,645,688",2.68
2026-02-13,$0.268,$0.284,$0.265,$0.273,$0.277,3.24,"$7,194,334",-14.21,"$331,741,595",3.41
2026-02-12,$0.267,$0.269,$0.260,$0.266,$0.268,0.252,"$8,386,053",-9.95,"$320,808,372",0.258
2026-02-11,$0.273,$0.279,$0.262,$0.270,$0.267,-2.42,"$9,313,167",73.58,"$319,983,644",-2.46
2026-02-10,$0.281,$0.283,$0.272,$0.277,$0.274,-2.71,"$5,365,191",-49.23,"$328,058,369",-2.85
2026-02-09,$0.280,$0.289,$0.267,$0.280,$0.282,0.582,"$10,567,462",28.04,"$337,674,809",0.399
2026-02-08,$0.280,$0.290,$0.275,$0.281,$0.280,0.132,"$8,253,560",-39.82,"$336,332,638",0.0658
2026-02-07,$0.282,$0.287,$0.270,$0.280,$0.280,-0.645,"$13,714,275",-27.91,"$336,111,331",-0.630
2026-02-06,$0.255,$0.286,$0.239,$0.266,$0.282,10.73,"$19,023,744",6.27,"$338,242,399",10.62
2026-02-05,$0.298,$0.298,$0.253,$0.276,$0.255,-14.49,"$17,901,788",5.21,"$305,779,965",-14.65
2026-02-04,$0.306,$0.317,$0.290,$0.303,$0.299,-2.21,"$17,016,081",-7.37,"$358,280,746",-2.13
2026-02-03,$0.297,$0.317,$0.290,$0.302,$0.305,2.86,"$18,369,830",8.33,"$366,060,858",2.81
2026-02-02,$0.293,$0.301,$0.279,$0.293,$0.297,1.37,"$16,956,621",30.26,"$356,043,809",1.23
2026-02-01,$0.306,$0.309,$0.288,$0.299,$0.293,-4.19,"$13,017,298",-22.18,"$351,723,304",-4.17
2026-01-31,$0.330,$0.331,$0.284,$0.313,$0.306,-7.35,"$16,727,140",19.42,"$367,029,589",-7.31
2026-01-30,$0.346,$0.349,$0.325,$0.338,$0.330,-4.54,"$14,007,177",-19.80,"$395,993,735",-4.50
2026-01-29,$0.353,$0.357,$0.330,$0.347,$0.346,-2.10,"$17,466,090",16.82,"$414,660,657",-1.91
2026-01-28,$0.343,$0.362,$0.338,$0.349,$0.353,2.87,"$14,951,711",68.86,"$422,718,664",2.80
2026-01-27,$0.341,$0.344,$0.332,$0.340,$0.343,0.688,"$8,854,517",-42.46,"$411,191,069",0.619
2026-01-26,$0.308,$0.343,$0.307,$0.325,$0.341,10.56,"$15,387,430",69.49,"$408,662,350",10.54
2026-01-25,$0.331,$0.338,$0.307,$0.321,$0.308,-6.90,"$9,078,709",-11.15,"$369,693,340",-6.81
2026-01-24,$0.324,$0.335,$0.324,$0.329,$0.331,1.96,"$10,217,768",-33.27,"$396,693,136",2.10
2026-01-23,$0.332,$0.335,$0.319,$0.328,$0.324,-2.43,"$15,312,415",-65.18,"$388,542,048",-2.39
2026-01-22,$0.335,$0.356,$0.329,$0.338,$0.332,-0.906,"$43,981,783",79.52,"$398,070,314",-0.811
2026-01-21,$0.329,$0.344,$0.310,$0.330,$0.335,1.75,"$24,499,029",31.21,"$401,324,554",1.86
2026-01-20,$0.357,$0.372,$0.326,$0.346,$0.329,-7.92,"$18,671,024",25.23,"$393,984,077",-7.92
2026-01-19,$0.348,$0.362,$0.345,$0.353,$0.357,2.39,"$14,909,203",94.45,"$427,855,940",1.90
2026-01-18,$0.365,$0.365,$0.350,$0.358,$0.350,-4.06,"$7,667,561",-35.37,"$419,893,595",-4.07
2026-01-17,$0.362,$0.369,$0.358,$0.363,$0.365,0.953,"$11,863,241",-54.01,"$437,697,380",0.976
2026-01-16,$0.376,$0.377,$0.340,$0.364,$0.361,-3.97,"$25,797,798",68.42,"$433,468,233",-3.84
2026-01-15,$0.389,$0.395,$0.370,$0.383,$0.376,-3.46,"$15,317,233",-12.64,"$450,796,513",-3.43
2026-01-14,$0.398,$0.412,$0.384,$0.396,$0.389,-2.15,"$17,533,341",10.05,"$466,791,310",-2.08
2026-01-13,$0.389,$0.405,$0.383,$0.394,$0.398,2.25,"$15,932,671",0.557,"$476,707,739",2.26
2026-01-12,$0.399,$0.406,$0.384,$0.394,$0.389,-2.67,"$15,844,426",50.46,"$466,183,272",-2.34
2026-01-11,$0.395,$0.404,$0.393,$0.398,$0.398,0.671,"$10,530,351",-15.97,"$477,369,165",0.644
2026-01-10,$0.388,$0.400,$0.381,$0.391,$0.396,1.98,"$12,531,151",-37.41,"$474,315,221",1.99
2026-01-09,$0.385,$0.400,$0.382,$0.388,$0.388,0.851,"$20,020,480",5.51,"$465,078,911",0.908
2026-01-08,$0.377,$0.385,$0.359,$0.376,$0.384,1.91,"$18,974,905",57.14,"$460,895,239",1.71
2026-01-07,$0.389,$0.389,$0.355,$0.378,$0.378,-2.96,"$12,075,245",-48.44,"$453,161,834",-2.82
2026-01-06,$0.377,$0.401,$0.375,$0.385,$0.389,3.26,"$23,419,653",17.55,"$466,319,378",2.81
2026-01-05,$0.373,$0.381,$0.350,$0.371,$0.378,1.51,"$19,922,458",50.90,"$453,565,149",1.47
2026-01-04,$0.366,$0.377,$0.357,$0.368,$0.373,1.85,"$13,202,118",5.18,"$447,003,817",1.87
2026-01-03,$0.367,$0.368,$0.351,$0.363,$0.366,-0.424,"$12,552,227",-30.87,"$438,814,391",-0.403
2026-01-02,$0.370,$0.371,$0.359,$0.367,$0.367,-0.771,"$18,157,393",-37.74,"$440,591,754",-0.826
2026-01-01,$0.322,$0.373,$0.320,$0.346,$0.370,15.20,"$29,161,849",119.81,"$444,260,429",15.41
2025-12-31,$0.325,$0.334,$0.318,$0.325,$0.321,-1.13,"$13,266,951",17.33,"$384,929,655",-1.09
2025-12-30,$0.316,$0.328,$0.311,$0.320,$0.325,2.65,"$11,307,588",-2.16,"$389,168,001",2.66
2025-12-29,$0.326,$0.335,$0.313,$0.323,$0.316,-2.94,"$11,556,803",14.29,"$379,073,541",-2.95
2025-12-28,$0.337,$0.337,$0.321,$0.330,$0.326,-3.43,"$10,111,790",-6.06,"$390,580,364",-3.47
2025-12-27,$0.340,$0.345,$0.333,$0.339,$0.337,-0.664,"$10,763,803",-33.74,"$404,630,184",-0.656
2025-12-26,$0.334,$0.344,$0.324,$0.335,$0.340,1.64,"$16,243,910",-1.51,"$407,302,244",1.65
2025-12-25,$0.308,$0.349,$0.308,$0.325,$0.334,8.32,"$16,493,126",96.65,"$400,709,580",8.29
2025-12-24,$0.315,$0.318,$0.304,$0.311,$0.309,-1.95,"$8,387,113",-41.18,"$370,017,766",-1.96
2025-12-23,$0.332,$0.336,$0.313,$0.324,$0.315,-5.08,"$14,258,465",-25.35,"$377,404,056",-5.08
2025-12-22,$0.346,$0.354,$0.330,$0.340,$0.332,-4.10,"$19,099,884",-36.18,"$397,618,373",-4.20
2025-12-21,$0.325,$0.358,$0.321,$0.337,$0.346,6.65,"$29,928,090",70.57,"$415,039,159",6.91
2025-12-20,$0.317,$0.329,$0.312,$0.321,$0.324,2.06,"$17,545,802",-32.23,"$388,200,541",2.01
2025-12-19,$0.273,$0.324,$0.272,$0.297,$0.317,16.18,"$25,889,671",10.11,"$380,561,731",16.30
2025-12-18,$0.273,$0.290,$0.272,$0.277,$0.273,-0.231,"$23,513,387",-44.21,"$327,211,898",-0.188
2025-12-17,$0.269,$0.296,$0.265,$0.276,$0.273,1.78,"$42,142,890",169.03,"$327,827,486",1.55
