Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.250,$0.275,$0.245,$0.261,$0.273,9.35,"$153,742,810",27.95,"$617,005,770",8.96
2026-03-27,$0.293,$0.294,$0.250,$0.272,$0.251,-14.30,"$120,156,019",34.90,"$566,263,073",-14.45
2026-03-26,$0.325,$0.325,$0.290,$0.308,$0.293,-9.74,"$89,068,718",12.86,"$661,874,922",-9.72
2026-03-25,$0.322,$0.327,$0.317,$0.323,$0.325,0.985,"$78,921,949",55.36,"$733,149,350",1.12
2026-03-24,$0.326,$0.326,$0.313,$0.321,$0.321,-1.43,"$50,800,154",-38.31,"$725,007,675",-1.34
2026-03-23,$0.308,$0.329,$0.305,$0.317,$0.325,5.69,"$82,348,689",19.25,"$734,833,154",5.79
2026-03-22,$0.319,$0.321,$0.303,$0.313,$0.308,-3.43,"$69,054,897",-26.92,"$694,591,201",-3.90
2026-03-21,$0.322,$0.329,$0.313,$0.321,$0.320,-0.456,"$94,490,142",-30.26,"$722,791,060",-0.526
2026-03-20,$0.331,$0.343,$0.319,$0.329,$0.322,-2.73,"$135,482,934",7.84,"$726,616,148",-2.71
2026-03-19,$0.369,$0.369,$0.328,$0.349,$0.331,-10.33,"$125,637,743",86.09,"$746,893,120",-10.22
2026-03-18,$0.394,$0.401,$0.359,$0.381,$0.368,-6.61,"$67,513,541",-8.76,"$831,874,995",-6.55
2026-03-17,$0.400,$0.400,$0.385,$0.395,$0.394,-1.38,"$73,997,687",-32.18,"$890,176,653",-1.42
2026-03-16,$0.366,$0.403,$0.364,$0.383,$0.400,9.32,"$109,113,313",170.04,"$902,956,764",9.70
2026-03-15,$0.356,$0.366,$0.354,$0.360,$0.365,2.37,"$40,407,081",21.77,"$823,148,939",2.40
2026-03-14,$0.357,$0.362,$0.350,$0.356,$0.356,-0.336,"$33,182,698",-52.19,"$803,880,779",-0.327
2026-03-13,$0.359,$0.376,$0.355,$0.362,$0.357,-0.580,"$69,402,840",-13.51,"$806,519,633",-0.584
2026-03-12,$0.356,$0.367,$0.349,$0.358,$0.359,1.05,"$80,244,199",74.31,"$811,257,559",0.987
2026-03-11,$0.357,$0.364,$0.352,$0.357,$0.356,-0.245,"$46,036,444",-40.96,"$803,330,522",-0.392
2026-03-10,$0.364,$0.380,$0.353,$0.363,$0.357,-1.78,"$77,970,877",19.90,"$806,491,063",-1.69
2026-03-09,$0.361,$0.371,$0.360,$0.364,$0.363,0.779,"$65,030,846",59.74,"$820,365,944",0.747
2026-03-08,$0.378,$0.378,$0.360,$0.369,$0.361,-4.53,"$40,711,456",57.02,"$814,286,480",-4.51
2026-03-07,$0.389,$0.390,$0.375,$0.383,$0.378,-2.81,"$25,927,506",-43.79,"$852,710,016",-2.83
2026-03-06,$0.409,$0.410,$0.383,$0.397,$0.389,-4.88,"$46,123,994",-3.05,"$877,509,002",-4.96
2026-03-05,$0.420,$0.420,$0.404,$0.413,$0.409,-2.68,"$47,575,179",-53.33,"$923,307,536",-2.71
2026-03-04,$0.393,$0.440,$0.387,$0.410,$0.420,6.98,"$101,930,119",80.79,"$948,996,209",6.81
2026-03-03,$0.405,$0.405,$0.387,$0.398,$0.393,-2.94,"$56,379,382",-19.51,"$888,478,689",-2.95
2026-03-02,$0.384,$0.416,$0.380,$0.396,$0.405,5.59,"$70,043,701",47.62,"$915,519,330",5.60
2026-03-01,$0.399,$0.407,$0.378,$0.392,$0.384,-3.73,"$47,449,147",-21.39,"$866,994,495",-3.70
2026-02-28,$0.389,$0.401,$0.364,$0.388,$0.399,2.40,"$60,358,161",50.10,"$900,335,207",2.45
2026-02-27,$0.400,$0.408,$0.384,$0.395,$0.389,-2.60,"$40,212,217",-27.30,"$878,792,817",-2.66
2026-02-26,$0.414,$0.414,$0.390,$0.405,$0.400,-3.36,"$55,312,324",-45.95,"$902,783,361",-3.01
2026-02-25,$0.376,$0.433,$0.375,$0.399,$0.412,9.56,"$102,340,697",103.30,"$930,798,993",9.67
2026-02-24,$0.373,$0.385,$0.364,$0.375,$0.376,0.741,"$50,338,730",-24.89,"$848,731,657",0.887
2026-02-23,$0.384,$0.393,$0.364,$0.378,$0.373,-2.95,"$67,023,010",139.99,"$841,271,342",-2.57
2026-02-22,$0.387,$0.387,$0.376,$0.383,$0.382,-1.23,"$27,927,710",-16.07,"$863,502,428",-1.32
2026-02-21,$0.391,$0.397,$0.388,$0.391,$0.388,-0.799,"$33,273,633",-35.04,"$875,073,351",-0.756
2026-02-20,$0.374,$0.394,$0.373,$0.383,$0.390,4.52,"$51,220,623",32.94,"$881,737,574",4.57
2026-02-19,$0.379,$0.383,$0.369,$0.376,$0.373,-1.46,"$38,530,092",-8.30,"$843,225,337",-1.38
2026-02-18,$0.398,$0.398,$0.375,$0.387,$0.379,-4.75,"$42,018,708",-16.18,"$855,061,768",-4.77
2026-02-17,$0.404,$0.407,$0.387,$0.399,$0.398,-1.57,"$50,127,896",2.08,"$897,867,328",-1.61
2026-02-16,$0.404,$0.407,$0.396,$0.403,$0.404,0.0561,"$49,108,094",-19.82,"$912,516,552",0.0069
2026-02-15,$0.427,$0.430,$0.401,$0.416,$0.404,-5.43,"$61,245,812",-6.64,"$912,453,563",-5.52
2026-02-14,$0.396,$0.435,$0.396,$0.414,$0.428,8.01,"$65,604,961",56.39,"$965,775,883",7.93
2026-02-13,$0.382,$0.398,$0.377,$0.388,$0.396,3.84,"$41,949,719",-25.64,"$894,852,233",3.93
2026-02-12,$0.368,$0.394,$0.368,$0.378,$0.381,3.60,"$56,414,893",0.356,"$861,035,059",3.74
2026-02-11,$0.379,$0.382,$0.362,$0.373,$0.368,-2.91,"$56,214,588",-27.55,"$830,000,463",-2.86
2026-02-10,$0.388,$0.393,$0.375,$0.384,$0.378,-2.48,"$77,595,054",55.73,"$854,431,211",-2.65
2026-02-09,$0.389,$0.394,$0.375,$0.387,$0.389,-0.0885,"$49,828,172",10.33,"$877,685,071",-0.336
2026-02-08,$0.397,$0.403,$0.388,$0.395,$0.390,-1.72,"$45,164,415",-56.45,"$880,640,351",-1.93
2026-02-07,$0.405,$0.421,$0.391,$0.404,$0.398,-1.87,"$103,699,661",-49.61,"$897,975,428",-1.87
