Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.0834,$0.0838,$0.08,$0.0818,$0.0802,-3.84,"$164,771",-68.35,"$80,182,186",-3.86
2026-03-27,$0.0823,$0.0888,$0.0788,$0.0833,$0.0834,1.39,"$520,563",11.21,"$83,404,820",1.40
2026-03-26,$0.0833,$0.0878,$0.0774,$0.0827,$0.0823,-1.20,"$468,092",-40.26,"$82,255,414",-1.17
2026-03-25,$0.0888,$0.1000,$0.0832,$0.0888,$0.0832,-6.30,"$783,512",58.06,"$83,228,370",-6.86
2026-03-24,$0.0908,$0.0927,$0.0815,$0.0886,$0.0894,-1.55,"$495,716",-13.72,"$89,359,138",-1.55
2026-03-23,$0.0927,$0.0962,$0.0853,$0.0913,$0.0908,-2.11,"$574,528",-70.93,"$90,765,752",-2.10
2026-03-22,$0.113,$0.113,$0.0797,$0.0994,$0.0927,-17.61,"$1,976,284",428.94,"$92,716,548",-18.92
2026-03-21,$0.111,$0.117,$0.111,$0.114,$0.114,2.66,"$373,629",-66.69,"$114,348,027",2.62
2026-03-20,$0.112,$0.114,$0.102,$0.110,$0.111,-0.273,"$1,121,662",4.40,"$111,427,833",23.84
2026-03-19,$0.118,$0.126,$0.101,$0.114,$0.112,-5.39,"$1,074,404",-6.56,"$89,974,517",-5.45
2026-03-18,$0.120,$0.125,$0.102,$0.116,$0.118,-1.58,"$1,149,882",9.53,"$95,162,057",-1.69
2026-03-17,$0.114,$0.122,$0.101,$0.114,$0.120,5.67,"$1,049,805",-10.15,"$96,799,485",5.69
2026-03-16,$0.0898,$0.122,$0.0883,$0.104,$0.114,26.52,"$1,168,361",54.20,"$91,586,876",26.86
2026-03-15,$0.0922,$0.093,$0.0775,$0.0881,$0.0896,-2.86,"$757,706",186.41,"$72,194,376",-2.86
2026-03-14,$0.0935,$0.0935,$0.0888,$0.092,$0.0922,-1.37,"$264,557",-73.15,"$74,320,687",-1.38
2026-03-13,$0.094,$0.111,$0.0935,$0.0981,$0.0935,-0.546,"$985,142",-67.20,"$75,359,506",-0.551
2026-03-12,$0.0798,$0.118,$0.0796,$0.0929,$0.094,17.84,"$3,003,544",58.40,"$75,777,344",17.79
2026-03-11,$0.0685,$0.0866,$0.0596,$0.0736,$0.0798,16.58,"$1,896,161",-1.63,"$64,332,880",16.32
2026-03-10,$0.0734,$0.0858,$0.0639,$0.0729,$0.0686,-6.51,"$1,927,628",-14.89,"$55,304,773",-7.03
2026-03-09,$0.0597,$0.0803,$0.0452,$0.0647,$0.0738,23.68,"$2,264,941",217.80,"$59,485,798",23.56
2026-03-08,$0.0674,$0.0707,$0.0514,$0.0623,$0.0597,-11.38,"$712,703",-80.35,"$48,142,796",-11.35
2026-03-07,$0.0423,$0.083,$0.0423,$0.0587,$0.0674,59.45,"$3,626,738","2,882","$54,303,897",59.70
2026-03-06,$0.0411,$0.0423,$0.0408,$0.0416,$0.0422,2.77,"$121,608",232.66,"$34,003,424",2.59
2026-03-05,$0.0417,$0.0424,$0.0407,$0.0415,$0.0411,-1.28,"$36,556",-78.66,"$33,145,911",-1.31
2026-03-04,$0.0405,$0.0426,$0.0396,$0.0411,$0.0417,2.82,"$171,267",-5.77,"$33,585,989",2.78
2026-03-03,$0.0409,$0.042,$0.0396,$0.0408,$0.0405,-0.981,"$181,757",43.93,"$32,676,309",-0.981
2026-03-02,$0.0379,$0.0419,$0.0379,$0.0396,$0.0409,8.17,"$126,283",116.23,"$32,999,971",8.15
2026-03-01,$0.0372,$0.0387,$0.037,$0.0377,$0.0379,1.72,"$58,404",40.09,"$30,512,274",1.72
2026-02-28,$0.0369,$0.0374,$0.0353,$0.0367,$0.0372,0.907,"$41,691",0.839,"$29,995,849",0.918
2026-02-27,$0.0385,$0.0391,$0.0367,$0.0378,$0.0369,-4.10,"$41,345",74.49,"$29,723,115",-4.10
2026-02-26,$0.0394,$0.0398,$0.0382,$0.039,$0.0385,-2.29,"$23,695",-72.82,"$30,994,776",-1.27
2026-02-25,$0.0357,$0.04,$0.0356,$0.0376,$0.039,9.21,"$87,190",207.33,"$31,394,342",9.18
