Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.174,$0.176,$0.171,$0.174,$0.173,-0.822,"$9,808,583",-7.77,"$112,140,009",-0.754
2026-03-27,$0.186,$0.187,$0.174,$0.180,$0.174,-6.25,"$10,634,714",-5.17,"$112,992,040",-6.44
2026-03-26,$0.199,$0.199,$0.184,$0.192,$0.186,-6.53,"$11,214,694",-9.03,"$120,766,123",-6.20
2026-03-25,$0.199,$0.204,$0.197,$0.200,$0.199,0.168,"$12,327,989",5.19,"$128,752,390",0.351
2026-03-24,$0.196,$0.201,$0.192,$0.197,$0.198,1.02,"$11,719,969",-37.23,"$128,301,907",1.10
2026-03-23,$0.187,$0.199,$0.186,$0.192,$0.196,4.94,"$18,671,698",60.23,"$126,903,434",4.87
2026-03-22,$0.194,$0.196,$0.184,$0.190,$0.187,-3.69,"$11,653,054",-9.20,"$121,008,656",-4.96
2026-03-21,$0.194,$0.205,$0.194,$0.198,$0.197,1.21,"$12,834,145",-15.05,"$127,321,055",1.19
2026-03-20,$0.193,$0.202,$0.191,$0.195,$0.194,0.809,"$15,108,518",28.35,"$125,828,615",0.644
2026-03-19,$0.203,$0.204,$0.190,$0.198,$0.193,-4.94,"$11,770,950",-29.49,"$125,024,079",-4.62
2026-03-18,$0.218,$0.220,$0.199,$0.210,$0.203,-6.87,"$16,694,825",-35.91,"$131,084,280",-6.78
2026-03-17,$0.229,$0.238,$0.217,$0.226,$0.218,-4.88,"$26,047,271",-42.86,"$140,624,934",-4.86
2026-03-16,$0.213,$0.235,$0.211,$0.222,$0.229,7.63,"$45,585,623",-37.54,"$147,801,301",8.11
2026-03-15,$0.193,$0.224,$0.190,$0.205,$0.212,10.11,"$72,986,874",565.35,"$136,709,863",10.12
2026-03-14,$0.188,$0.193,$0.185,$0.190,$0.193,2.18,"$10,969,711",-20.11,"$124,148,491",2.19
2026-03-13,$0.189,$0.198,$0.188,$0.191,$0.188,-0.182,"$13,731,187",22.90,"$121,488,796",-0.174
2026-03-12,$0.187,$0.189,$0.184,$0.187,$0.189,0.747,"$11,172,468",3.18,"$121,701,087",1.18
2026-03-11,$0.187,$0.190,$0.184,$0.187,$0.187,0.331,"$10,828,168",-18.68,"$120,276,644",0.546
2026-03-10,$0.183,$0.190,$0.183,$0.186,$0.186,1.50,"$13,315,049",-15.76,"$119,623,927",1.62
2026-03-09,$0.178,$0.190,$0.178,$0.182,$0.183,2.78,"$15,806,175",40.79,"$117,719,817",2.83
2026-03-08,$0.176,$0.183,$0.173,$0.178,$0.178,1.06,"$11,226,384",46.00,"$114,479,108",1.05
2026-03-07,$0.184,$0.184,$0.175,$0.180,$0.176,-4.06,"$7,689,363",-43.94,"$113,288,132",-3.76
2026-03-06,$0.195,$0.197,$0.181,$0.189,$0.183,-5.93,"$13,716,439",-33.68,"$117,713,663",-5.73
2026-03-05,$0.197,$0.202,$0.193,$0.196,$0.194,-1.40,"$20,683,753",1.18,"$124,873,159",-1.17
2026-03-04,$0.191,$0.202,$0.187,$0.194,$0.197,3.14,"$20,442,133",5.01,"$126,347,621",3.25
2026-03-03,$0.186,$0.192,$0.180,$0.187,$0.191,2.62,"$19,466,767",-2.61,"$122,373,836",2.53
2026-03-02,$0.178,$0.191,$0.175,$0.182,$0.186,4.69,"$19,989,419",11.18,"$119,352,593",4.46
2026-03-01,$0.185,$0.193,$0.174,$0.182,$0.179,-3.52,"$17,978,868",5.64,"$114,260,075",-3.46
2026-02-28,$0.187,$0.188,$0.172,$0.183,$0.185,-0.934,"$17,018,770",43.59,"$118,357,217",5.94
2026-02-27,$0.194,$0.200,$0.184,$0.191,$0.187,-3.66,"$11,852,526",-37.08,"$111,720,573",-3.53
2026-02-26,$0.197,$0.205,$0.189,$0.196,$0.193,-1.89,"$18,836,712",-15.23,"$115,805,945",-1.17
2026-02-25,$0.192,$0.206,$0.189,$0.196,$0.196,2.56,"$22,219,789",-18.41,"$117,171,097",2.66
2026-02-24,$0.185,$0.194,$0.179,$0.187,$0.191,3.33,"$27,234,474",-14.17,"$114,134,711",3.47
2026-02-23,$0.180,$0.196,$0.170,$0.183,$0.185,2.49,"$31,729,302",259.23,"$110,301,739",2.62
2026-02-22,$0.191,$0.191,$0.178,$0.185,$0.180,-5.84,"$8,832,602",21.40,"$107,489,814",-5.92
2026-02-21,$0.197,$0.199,$0.191,$0.195,$0.192,-2.90,"$7,275,878",-49.01,"$114,257,612",-2.77
2026-02-20,$0.193,$0.200,$0.190,$0.195,$0.197,2.09,"$14,269,186",16.13,"$117,517,679",2.26
2026-02-19,$0.198,$0.199,$0.189,$0.195,$0.193,-2.65,"$12,286,798",-16.36,"$114,921,236",-1.88
2026-02-18,$0.207,$0.211,$0.196,$0.203,$0.197,-4.94,"$14,690,450",13.95,"$117,117,324",-5.03
2026-02-17,$0.213,$0.214,$0.206,$0.210,$0.208,-2.49,"$12,892,553",20.20,"$123,315,498",-2.45
2026-02-16,$0.209,$0.213,$0.205,$0.210,$0.213,1.94,"$10,726,140",-10.69,"$126,413,757",1.93
2026-02-15,$0.219,$0.220,$0.203,$0.213,$0.209,-4.73,"$12,010,040",11.74,"$124,014,822",-4.93
2026-02-14,$0.208,$0.222,$0.208,$0.215,$0.220,5.34,"$10,748,075",-20.38,"$130,446,476",5.34
2026-02-13,$0.204,$0.210,$0.198,$0.205,$0.208,2.34,"$13,498,650",-6.91,"$123,832,284",2.40
2026-02-12,$0.197,$0.208,$0.196,$0.201,$0.204,3.12,"$14,501,132",-23.48,"$120,932,539",3.46
2026-02-11,$0.197,$0.204,$0.191,$0.197,$0.197,0.172,"$18,951,058",41.82,"$116,884,650",0.0477
2026-02-10,$0.203,$0.205,$0.196,$0.201,$0.197,-2.95,"$13,362,298",-10.24,"$116,828,919",-3.00
2026-02-09,$0.207,$0.211,$0.200,$0.205,$0.203,-1.83,"$14,887,354",20.35,"$120,442,925",-1.90
2026-02-08,$0.217,$0.217,$0.204,$0.211,$0.207,-4.31,"$12,370,104",-18.08,"$122,781,291",-4.50
2026-02-07,$0.225,$0.225,$0.212,$0.220,$0.217,-3.26,"$15,100,813",-45.35,"$128,573,263",-3.17
2026-02-06,$0.199,$0.228,$0.182,$0.209,$0.224,12.58,"$27,632,836",-13.73,"$132,775,773",13.10
2026-02-05,$0.244,$0.244,$0.198,$0.221,$0.199,-18.47,"$32,028,956",37.39,"$117,397,288",-18.52
2026-02-04,$0.248,$0.256,$0.238,$0.247,$0.244,-1.63,"$23,313,098",0.00457,"$144,086,552",-1.34
2026-02-03,$0.253,$0.263,$0.237,$0.250,$0.248,-2.20,"$23,312,033",-1.23,"$146,046,890",-2.50
2026-02-02,$0.251,$0.265,$0.243,$0.253,$0.254,1.35,"$23,602,996",4.66,"$149,791,131",1.31
2026-02-01,$0.263,$0.265,$0.246,$0.256,$0.251,-4.58,"$22,552,083",-43.60,"$147,848,467",-4.55
2026-01-31,$0.295,$0.295,$0.244,$0.274,$0.263,-10.78,"$39,982,867",44.35,"$154,903,666",-10.69
2026-01-30,$0.300,$0.305,$0.287,$0.297,$0.294,-1.97,"$27,699,470",13.46,"$173,440,646",5.45
2026-01-29,$0.333,$0.333,$0.291,$0.314,$0.300,-9.87,"$24,413,158",32.16,"$164,475,184",-9.54
2026-01-28,$0.336,$0.343,$0.332,$0.336,$0.333,-0.892,"$18,471,998",12.52,"$181,821,018",-1.04
2026-01-27,$0.325,$0.337,$0.319,$0.329,$0.337,3.63,"$16,417,218",-9.49,"$183,726,330",3.57
2026-01-26,$0.314,$0.336,$0.313,$0.322,$0.325,3.40,"$18,138,528",-25.02,"$177,389,466",3.33
2026-01-25,$0.335,$0.339,$0.306,$0.324,$0.315,-6.10,"$24,190,235",158.92,"$171,681,033",-5.95
2026-01-24,$0.334,$0.337,$0.330,$0.334,$0.335,0.00442,"$9,342,887",-58.41,"$182,539,941",0.123
2026-01-23,$0.332,$0.347,$0.328,$0.335,$0.334,0.739,"$22,463,855",16.82,"$182,316,282",0.912
2026-01-22,$0.341,$0.350,$0.329,$0.338,$0.331,-2.97,"$19,229,316",-38.69,"$180,669,355",-2.57
2026-01-21,$0.325,$0.354,$0.325,$0.336,$0.341,4.98,"$31,364,847",3.42,"$185,439,536",5.07
2026-01-20,$0.343,$0.349,$0.324,$0.335,$0.325,-5.38,"$30,327,527",-42.91,"$176,489,647",-5.48
2026-01-19,$0.369,$0.369,$0.338,$0.355,$0.344,-6.90,"$53,122,238",182.28,"$186,728,362",-7.08
2026-01-18,$0.404,$0.407,$0.370,$0.388,$0.370,-8.49,"$18,818,985",30.74,"$200,959,757",-8.49
2026-01-17,$0.406,$0.422,$0.404,$0.409,$0.404,-0.381,"$14,394,403",-12.81,"$219,615,103",-0.276
2026-01-16,$0.407,$0.410,$0.393,$0.404,$0.405,-0.520,"$16,509,003",-21.58,"$220,223,512",-0.385
2026-01-15,$0.432,$0.433,$0.401,$0.418,$0.407,-5.89,"$21,051,259",-33.13,"$221,075,558",-5.51
2026-01-14,$0.446,$0.455,$0.430,$0.441,$0.432,-3.06,"$31,478,579",-20.03,"$233,960,521",-2.88
2026-01-13,$0.399,$0.453,$0.393,$0.422,$0.445,11.64,"$39,360,547",27.97,"$240,890,322",11.72
2026-01-12,$0.406,$0.425,$0.396,$0.407,$0.399,-1.80,"$30,757,838",80.23,"$215,627,295",-1.68
2026-01-11,$0.405,$0.415,$0.399,$0.406,$0.405,0.136,"$17,066,285",11.67,"$219,312,907",0.156
2026-01-10,$0.409,$0.418,$0.403,$0.409,$0.405,-0.993,"$15,282,252",-44.98,"$218,971,636",-1.06
2026-01-09,$0.419,$0.421,$0.400,$0.413,$0.409,-2.46,"$27,776,735",-25.53,"$221,323,267",-2.47
