Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,"$1,991","$2,034","$1,983","$2,006","$2,017",1.33,"$3,130,882,211",-50.16,"$243,430,962,343",1.27
2026-03-27,"$2,059","$2,074","$1,973","$2,024","$1,992",-3.26,"$6,281,568,001",4.18,"$240,374,318,178",-3.29
2026-03-26,"$2,168","$2,169","$2,040","$2,109","$2,059",-5.03,"$6,029,299,106",9.38,"$248,542,970,605",-5.03
2026-03-25,"$2,156","$2,196","$2,149","$2,167","$2,168",0.583,"$5,512,037,076",-10.15,"$261,698,238,259",0.535
2026-03-24,"$2,147","$2,171","$2,106","$2,145","$2,157",0.448,"$6,134,992,339",-35.86,"$260,305,308,095",0.455
2026-03-23,"$2,052","$2,185","$2,032","$2,104","$2,147",4.62,"$9,564,739,179",76.29,"$259,126,141,020",4.54
2026-03-22,"$2,101","$2,119","$2,034","$2,077","$2,054",-2.24,"$5,425,521,427",193.31,"$247,883,740,366",-2.65
2026-03-21,"$2,147","$2,162","$2,110","$2,132","$2,110",-1.73,"$1,849,770,342",-67.60,"$254,625,730,985",-1.72
2026-03-20,"$2,139","$2,168","$2,120","$2,143","$2,147",0.381,"$5,709,615,351",-27.98,"$259,088,189,596",0.420
2026-03-19,"$2,204","$2,229","$2,108","$2,170","$2,138",-3.01,"$7,928,219,112",-4.08,"$258,004,347,388",-3.01
2026-03-18,"$2,319","$2,343","$2,169","$2,259","$2,204",-4.94,"$8,265,377,321",-8.55,"$266,014,316,945",-4.98
2026-03-17,"$2,351","$2,370","$2,302","$2,336","$2,320",-1.34,"$9,038,567,626",-35.53,"$279,948,865,239",-1.43
2026-03-16,"$2,180","$2,376","$2,169","$2,270","$2,353",7.96,"$14,019,549,173",180.52,"$284,008,225,067",8.19
2026-03-15,"$2,097","$2,197","$2,085","$2,138","$2,175",3.73,"$4,997,675,143",80.20,"$262,516,175,463",3.73
2026-03-14,"$2,092","$2,105","$2,064","$2,089","$2,097",0.217,"$2,773,337,885",-71.42,"$253,064,813,842",0.202
2026-03-13,"$2,074","$2,199","$2,074","$2,110","$2,093",0.894,"$9,703,048,402",38.71,"$252,554,404,159",0.865
