Date,Open,High,Low,Avg,Close,Chg,Volume,Vol Chg,Market Cap,MCap Chg
2026-03-28,$0.143,$0.148,$0.141,$0.144,$0.146,2.73,"$8,798,869",-32.83,"$520,060,718",4.49
2026-03-27,$0.149,$0.150,$0.140,$0.145,$0.142,-4.50,"$13,099,901",-19.34,"$497,700,108",-4.48
2026-03-26,$0.155,$0.155,$0.146,$0.151,$0.149,-3.81,"$16,241,299",-3.08,"$521,036,646",-3.93
2026-03-25,$0.156,$0.160,$0.154,$0.156,$0.155,-0.506,"$16,757,226",30.61,"$542,363,223",-0.626
2026-03-24,$0.153,$0.159,$0.151,$0.155,$0.156,1.76,"$12,829,744",-7.18,"$545,778,818",1.81
2026-03-23,$0.153,$0.158,$0.152,$0.154,$0.153,0.490,"$13,821,956",21.15,"$536,088,504",0.501
2026-03-22,$0.156,$0.156,$0.151,$0.154,$0.153,-2.05,"$11,409,207",57.70,"$533,416,254",-2.85
2026-03-21,$0.160,$0.161,$0.157,$0.159,$0.157,-1.59,"$7,234,671",-28.17,"$549,089,726",-1.57
2026-03-20,$0.160,$0.161,$0.157,$0.159,$0.160,-0.0445,"$10,072,351",-4.76,"$557,836,457",0.0461
2026-03-19,$0.163,$0.165,$0.157,$0.161,$0.159,-2.36,"$10,575,899",-26.54,"$557,579,193",-2.27
2026-03-18,$0.172,$0.175,$0.161,$0.168,$0.163,-5.28,"$14,396,963",-27.05,"$570,515,367",-5.26
2026-03-17,$0.169,$0.177,$0.163,$0.170,$0.172,1.69,"$19,735,161",-6.95,"$602,205,057",1.57
2026-03-16,$0.164,$0.170,$0.163,$0.167,$0.170,3.59,"$21,208,335",86.42,"$592,905,242",4.03
2026-03-15,$0.161,$0.164,$0.159,$0.162,$0.163,1.46,"$11,376,739",15.44,"$569,914,735",1.44
2026-03-14,$0.165,$0.165,$0.158,$0.162,$0.161,-2.64,"$9,855,418",-53.56,"$561,842,052",-2.57
2026-03-13,$0.163,$0.172,$0.163,$0.166,$0.165,1.33,"$21,222,821",62.40,"$576,647,038",1.31
2026-03-12,$0.165,$0.166,$0.160,$0.164,$0.163,-1.43,"$13,068,313",-15.25,"$569,175,049",-1.49
2026-03-11,$0.167,$0.168,$0.162,$0.166,$0.165,-1.33,"$15,420,527",-48.07,"$577,773,552",-1.40
2026-03-10,$0.160,$0.180,$0.160,$0.167,$0.168,4.56,"$29,697,216",145.69,"$585,971,753",4.67
2026-03-09,$0.164,$0.166,$0.160,$0.163,$0.160,-2.57,"$12,087,111",-3.21,"$559,835,028",-2.70
2026-03-08,$0.171,$0.171,$0.162,$0.167,$0.165,-3.60,"$12,488,543",80.33,"$575,366,342",-3.59
2026-03-07,$0.177,$0.178,$0.171,$0.174,$0.171,-3.35,"$6,925,432",-46.47,"$596,770,024",-3.45
2026-03-06,$0.187,$0.188,$0.175,$0.182,$0.177,-5.35,"$12,936,440",-38.47,"$618,100,424",-5.34
2026-03-05,$0.190,$0.200,$0.185,$0.190,$0.187,-1.70,"$21,022,962",-19.33,"$652,938,622",-1.71
2026-03-04,$0.181,$0.200,$0.178,$0.187,$0.190,5.11,"$26,059,377",36.02,"$664,305,215",4.92
2026-03-03,$0.176,$0.182,$0.173,$0.178,$0.181,2.73,"$19,158,165",-29.73,"$633,182,204",2.74
2026-03-02,$0.165,$0.184,$0.165,$0.173,$0.176,6.85,"$27,264,880",-11.69,"$616,293,587",6.83
2026-03-01,$0.162,$0.174,$0.159,$0.165,$0.165,1.83,"$30,875,788",28.50,"$576,884,242",2.09
2026-02-28,$0.153,$0.162,$0.145,$0.155,$0.162,5.82,"$24,027,326",59.40,"$565,054,233",5.82
2026-02-27,$0.154,$0.161,$0.151,$0.155,$0.153,-1.16,"$15,073,897",-7.52,"$533,954,441",-1.15
2026-02-26,$0.161,$0.163,$0.151,$0.157,$0.154,-3.78,"$16,299,262",10.68,"$540,187,285",4.33
2026-02-25,$0.145,$0.167,$0.145,$0.154,$0.160,10.09,"$14,726,285",34.59,"$517,786,164",10.07
2026-02-24,$0.146,$0.147,$0.141,$0.145,$0.145,-0.445,"$10,941,535",-31.19,"$470,428,500",-0.445
2026-02-23,$0.150,$0.151,$0.141,$0.147,$0.146,-3.17,"$15,901,450",89.34,"$472,532,401",-2.89
2026-02-22,$0.158,$0.158,$0.149,$0.154,$0.150,-4.90,"$8,398,372",-21.95,"$486,599,075",-5.01
2026-02-21,$0.160,$0.160,$0.157,$0.159,$0.158,-1.20,"$10,760,888",-56.78,"$512,239,186",-1.07
2026-02-20,$0.151,$0.162,$0.151,$0.156,$0.160,5.92,"$24,899,990",11.98,"$517,766,455",5.95
2026-02-19,$0.152,$0.159,$0.149,$0.153,$0.151,-0.920,"$22,235,720",48.23,"$488,671,169",-0.939
